Distance_PFRC2_(m), Plug_flow_residence_time_PFRC2_(sec), Internal_surface_area_per_unit_distance_PFRC2_(m), Cross-section_area_PFRC2_(m2), External_surface_area_per_unit_distance_PFRC2_(m), Velocity_PFRC2_(m/sec), Exit_mass_flow_rate_PFRC2_(kg/sec), Volumetric_heat_production_rate_PFRC2_(J/m3-sec), Surface_temperature_PFRC2_(K), Heat_loss_rate_PFRC2_(J/m-sec), Temperature_PFRC2_(K), Pressure_PFRC2_(Pa), Mass_fraction_N2_PFRC2_(), Mass_fraction_H2_PFRC2_(), Mass_fraction_H_PFRC2_(), Mass_fraction_O2_PFRC2_(), Mass_fraction_H2O_PFRC2_(), Mass_fraction_OH_PFRC2_(), Mass_fraction_HO2_PFRC2_(), Mass_fraction_CO_PFRC2_(), Mass_fraction_CO2_PFRC2_(), Mass_fraction_CH4_PFRC2_(), Mass_fraction_CH3_PFRC2_(), Mass_fraction_CH3OH_PFRC2_(), Mass_fraction_CH2O_PFRC2_(), Mass_fraction_HCO_PFRC2_(), Mass_fraction_HOCHO_PFRC2_(), Mass_fraction_C2H6_PFRC2_(), Mass_fraction_C2H5_PFRC2_(), Mass_fraction_C2H4_PFRC2_(), Mass_fraction_C2H3_PFRC2_(), Mass_fraction_CHCHO_PFRC2_(), Mass_fraction_C2H2_PFRC2_(), Mass_fraction_CH3CHO_PFRC2_(), Mass_fraction_C2H3OH_PFRC2_(), Mass_fraction_CH2CO_PFRC2_(), Mass_fraction_HCCOH_PFRC2_(), Mass_fraction_C3H6_PFRC2_(), Mass_fraction_CH3CHCO_PFRC2_(), Mass_fraction_C3H4-P_PFRC2_(), Mass_fraction_C3H4-A_PFRC2_(), Mass_fraction_C3H3_PFRC2_(), Mass_fraction_C4H4_PFRC2_(), Mass_fraction_C4H2_PFRC2_(), Mass_fraction_C6H6_PFRC2_(), Molecular_weight_PFRC2_(kg/mole), Mass_density_PFRC2_(kg/m3), Unburned_hydrocarbons_PFRC2_(ppm), Volatile_organic_compounds_PFRC2_(ppm)
1.350000e-01, 0.000000e+00, 1.130973e+00, 1.017876e-01, 1.130973e+00, 2.879135e-01, 1.766300e-01, 3.574329e+07, 1.779793e+03, 0.000000e+00, 1.779793e+03, 4.700000e+06, 4.456110e-03, 2.968919e-02, 1.250125e-06, 3.745091e-05, 2.928970e-01, 1.684628e-06, 9.547622e-08, 4.523689e-01, 2.103462e-01, 9.578359e-03, 1.541553e-05, 3.391541e-06, 4.561449e-06, 3.295756e-07, 6.803272e-07, 5.075093e-06, 4.238376e-08, 1.639881e-04, 1.168044e-07, 1.010845e-05, 4.089189e-04, 3.184459e-07, 4.123402e-07, 4.792972e-06, 3.120458e-07, 5.072426e-07, 3.253500e-08, 2.780627e-06, 1.092216e-06, 2.540893e-07, 2.728803e-07, 2.390740e-07, 6.057184e-08, 1.897640e-02, 6.027087e+00, 1.218119e+04, 1.220102e+04
1.416408e-01, 2.313890e-02, 1.130973e+00, 1.017876e-01, 1.130973e+00, 2.863547e-01, 1.766300e-01, -8.851038e+06, 1.750870e+03, 2.501106e+04, 1.750870e+03, 4.700076e+06, 4.456110e-03, 3.130007e-02, 9.788523e-07, 2.621194e-09, 2.886882e-01, 1.152305e-06, 6.435256e-12, 4.629229e-01, 2.072533e-01, 5.229292e-03, 6.270012e-06, 1.400746e-06, 3.632246e-06, 2.833705e-07, 7.224549e-07, 1.309802e-06, 9.765921e-09, 4.145107e-05, 2.181446e-08, 8.291603e-06, 8.228808e-05, 9.021389e-08, 8.681885e-08, 1.608768e-06, 5.119248e-08, 6.242895e-08, 4.033803e-09, 2.792891e-07, 1.089074e-07, 2.047253e-08, 1.323026e-08, 9.099214e-09, 1.079358e-09, 1.876932e-02, 6.059891e+00, 6.302243e+03, 6.314867e+03
1.470000e-01, 4.187515e-02, 1.130973e+00, 1.017876e-01, 1.130973e+00, 2.857586e-01, 1.766300e-01, -5.363934e+06, 1.741172e+03, 2.501106e+04, 1.741172e+03, 4.700076e+06, 4.456110e-03, 3.182325e-02, 9.084793e-07, 2.200976e-09, 2.873050e-01, 1.022977e-06, 5.324328e-12, 4.660844e-01, 2.064606e-01, 3.792826e-03, 4.154047e-06, 9.389978e-07, 3.457018e-06, 2.713859e-07, 7.332419e-07, 6.662082e-07, 4.669612e-09, 2.018360e-05, 9.635208e-09, 7.266011e-06, 3.688895e-05, 5.028032e-08, 4.029538e-08, 1.014079e-06, 2.144812e-08, 2.139374e-08, 1.541789e-09, 8.812542e-08, 3.426251e-08, 5.909446e-09, 2.991733e-09, 1.776927e-09, 5.718362e-11, 1.870428e-02, 6.072527e+00, 4.508134e+03, 4.518783e+03
1.590000e-01, 8.392979e-02, 1.130973e+00, 1.017876e-01, 1.130973e+00, 2.850130e-01, 1.766300e-01, -2.454186e+06, 1.729992e+03, 2.501106e+04, 1.729992e+03, 4.700076e+06, 4.456110e-03, 3.240766e-02, 8.328091e-07, 1.614140e-09, 2.857493e-01, 8.915456e-07, 3.848679e-12, 4.694852e-01, 2.056910e-01, 2.179495e-03, 2.150386e-06, 4.964922e-07, 3.308342e-06, 2.579639e-07, 7.451843e-07, 2.144225e-07, 1.384983e-09, 6.130871e-06, 2.588170e-09, 5.592987e-06, 1.009027e-05, 2.080790e-08, 1.161402e-08, 5.039480e-07, 5.391739e-09, 2.933286e-09, 3.593525e-10, 1.221980e-08, 4.763481e-09, 8.150008e-10, -1.267605e-10, 1.203824e-10, 4.993709e-11, 1.863281e-02, 6.088418e+00, 2.556877e+03, 2.565129e+03
1.710000e-01, 1.260679e-01, 1.130973e+00, 1.017876e-01, 1.130973e+00, 2.845770e-01, 1.766300e-01, -6.249030e+05, 1.724157e+03, 2.501106e+04, 1.724157e+03, 4.700076e+06, 4.456110e-03, 3.269406e-02, 7.950397e-07, 1.243168e-09, 2.849718e-01, 8.295641e-07, 2.949081e-12, 4.710763e-01, 2.053917e-01, 1.391486e-03, 1.301252e-06, 3.069140e-07, 3.252258e-06, 2.509456e-07, 7.512416e-07, 8.616265e-08, 5.434902e-10, 2.420548e-06, 9.836509e-10, 4.406341e-06, 3.851918e-06, 1.122074e-08, 4.650804e-09, 3.014850e-07, 2.013651e-09, 9.417223e-10, 1.300648e-10, 3.521343e-09, 1.365473e-09, 2.192809e-10, 5.643686e-11, 3.177532e-11, 3.686037e-13, 1.859841e-02, 6.097746e+00, 1.623566e+03, 1.630408e+03
1.830000e-01, 1.682597e-01, 1.130973e+00, 1.017876e-01, 1.130973e+00, 2.842690e-01, 1.766301e-01, -8.592420e+05, 1.720450e+03, 2.501106e+04, 1.720450e+03, 4.700076e+06, 4.456110e-03, 3.286231e-02, 7.732149e-07, 9.787880e-10, 2.845028e-01, 7.940476e-07, 2.323132e-12, 4.719667e-01, 2.052657e-01, 9.330510e-04, 8.430573e-07, 2.038227e-07, 3.224234e-06, 2.469855e-07, 7.541766e-07, 3.865501e-08, 2.382660e-10, 1.072549e-06, 4.168929e-10, 3.512880e-06, 1.652429e-06, 6.757020e-09, 2.095636e-09, 1.943221e-07, 8.448256e-10, 2.875240e-10, 5.336735e-11, 1.021892e-09, 3.946692e-10, 5.502065e-11, 1.205623e-11, 4.114928e-12, 8.060463e-13, 1.857852e-02, 6.104349e+00, 1.085386e+03, 1.091250e+03
1.950000e-01, 2.104919e-01, 1.130973e+00, 1.017876e-01, 1.130973e+00, 2.840297e-01, 1.766301e-01, -4.942387e+05, 1.717861e+03, 2.501106e+04, 1.717861e+03, 4.700076e+06, 4.456110e-03, 3.296864e-02, 7.573326e-07, 7.810763e-10, 2.841957e-01, 7.694898e-07, 1.859609e-12, 4.724943e-01, 2.052268e-01, 6.477441e-04, 5.717125e-07, 1.425197e-07, 3.208609e-06, 2.439044e-07, 7.565054e-07, 1.841597e-08, 1.121562e-10, 5.071212e-07, 1.919465e-10, 2.822476e-06, 7.620563e-07, 4.369533e-09, 1.029004e-09, 1.314508e-07, 3.835967e-10, 8.420191e-11, 2.396068e-11, 2.925995e-10, 1.131774e-10, 1.659605e-11, 1.516149e-12, 6.825417e-13, 1.545433e-13, 1.856619e-02, 6.109490e+00, 7.521061e+02, 7.572514e+02
2.070000e-01, 2.527565e-01, 1.130973e+00, 1.017876e-01, 1.130973e+00, 2.838305e-01, 1.766301e-01, -7.630036e+05, 1.715917e+03, 2.501106e+04, 1.715917e+03, 4.700076e+06, 4.456110e-03, 3.303929e-02, 7.470233e-07, 6.294602e-10, 2.839822e-01, 7.531742e-07, 1.507348e-12, 4.728143e-01, 2.052366e-01, 4.622875e-04, 4.007815e-07, 1.037218e-07, 3.199347e-06, 2.420633e-07, 7.574375e-07, 9.593426e-09, 5.778107e-11, 2.633343e-07, 9.789894e-11, 2.280476e-06, 3.906416e-07, 2.980788e-09, 5.610842e-10, 9.221581e-08, 1.954567e-10, 3.161848e-11, 1.207909e-11, 9.754790e-11, 3.764713e-11, 6.254667e-12, 1.257871e-13, 1.220584e-12, 4.077866e-14, 1.855819e-02, 6.113777e+00, 5.361758e+02, 5.407747e+02
2.190000e-01, 2.950487e-01, 1.130973e+00, 1.017876e-01, 1.130973e+00, 2.836558e-01, 1.766301e-01, 3.175082e+05, 1.714356e+03, 2.501106e+04, 1.714356e+03, 4.700076e+06, 4.456110e-03, 3.308899e-02, 7.363052e-07, 5.103438e-10, 2.838237e-01, 7.380554e-07, 1.231937e-12, 4.730134e-01, 2.052741e-01, 3.354635e-04, 2.878780e-07, 7.811882e-08, 3.193540e-06, 2.397290e-07, 7.592315e-07, 5.112660e-09, 3.114369e-11, 1.411578e-07, 5.252270e-11, 1.849173e-06, 2.089383e-07, 2.105011e-09, 3.234317e-10, 6.617592e-08, 1.057473e-10, 1.720217e-11, 6.541617e-12, 6.307877e-11, 2.442111e-11, 3.339991e-12, 3.940123e-13, -1.853281e-13, 4.976348e-14, 1.855273e-02, 6.117542e+00, 3.887885e+02, 3.929621e+02
2.310000e-01, 3.373655e-01, 1.130973e+00, 1.017876e-01, 1.130973e+00, 2.834978e-01, 1.766301e-01, 3.098705e+05, 1.713050e+03, 2.501106e+04, 1.713050e+03, 4.700076e+06, 4.456110e-03, 3.312499e-02, 7.287319e-07, 4.159010e-10, 2.837014e-01, 7.269971e-07, 1.014203e-12, 4.731343e-01, 2.053286e-01, 2.469034e-04, 2.095894e-07, 6.029278e-08, 3.189738e-06, 2.382137e-07, 7.600470e-07, 2.780991e-09, 1.701150e-11, 7.700404e-08, 2.846062e-11, 1.503531e-06, 1.128044e-07, 1.515039e-09, 1.922809e-10, 4.822736e-08, 5.721336e-11, 7.230786e-12, 3.505340e-12, 2.401395e-11, 9.269320e-12, 1.416824e-12, 2.386195e-13, 7.764988e-14, 2.685217e-14, 1.854891e-02, 6.120948e+00, 2.859941e+02, 2.898320e+02
