Distance_PFRC2_(m), Plug_flow_residence_time_PFRC2_(sec), Internal_surface_area_per_unit_distance_PFRC2_(m), Cross-section_area_PFRC2_(m2), External_surface_area_per_unit_distance_PFRC2_(m), Velocity_PFRC2_(m/sec), Exit_mass_flow_rate_PFRC2_(kg/sec), Volumetric_heat_production_rate_PFRC2_(J/m3-sec), Surface_temperature_PFRC2_(K), Heat_loss_rate_PFRC2_(J/m-sec), Temperature_PFRC2_(K), Pressure_PFRC2_(Pa), Mole_fraction_N2_PFRC2_(), Mole_fraction_H2_PFRC2_(), Mole_fraction_H_PFRC2_(), Mole_fraction_O2_PFRC2_(), Mole_fraction_H2O_PFRC2_(), Mole_fraction_OH_PFRC2_(), Mole_fraction_HO2_PFRC2_(), Mole_fraction_CO_PFRC2_(), Mole_fraction_CO2_PFRC2_(), Mole_fraction_CH4_PFRC2_(), Mole_fraction_CH3_PFRC2_(), Mole_fraction_CH3OH_PFRC2_(), Mole_fraction_CH2O_PFRC2_(), Mole_fraction_HCO_PFRC2_(), Mole_fraction_HOCHO_PFRC2_(), Mole_fraction_C2H6_PFRC2_(), Mole_fraction_C2H5_PFRC2_(), Mole_fraction_C2H4_PFRC2_(), Mole_fraction_C2H3_PFRC2_(), Mole_fraction_CHCHO_PFRC2_(), Mole_fraction_C2H2_PFRC2_(), Mole_fraction_CH3CHO_PFRC2_(), Mole_fraction_C2H3OH_PFRC2_(), Mole_fraction_CH2CO_PFRC2_(), Mole_fraction_HCCOH_PFRC2_(), Mole_fraction_C3H6_PFRC2_(), Mole_fraction_CH3CHCO_PFRC2_(), Mole_fraction_C3H4-P_PFRC2_(), Mole_fraction_C3H4-A_PFRC2_(), Mole_fraction_C3H3_PFRC2_(), Mole_fraction_C4H4_PFRC2_(), Mole_fraction_C4H2_PFRC2_(), Mole_fraction_C6H6_PFRC2_(), Molecular_weight_PFRC2_(kg/mole), Mass_density_PFRC2_(kg/m3), Unburned_hydrocarbons_PFRC2_(ppm), Volatile_organic_compounds_PFRC2_(ppm)
1.350000e-01, 0.000000e+00, 1.130973e+00, 1.017876e-01, 1.130973e+00, 2.879135e-01, 1.766300e-01, 3.574329e+07, 1.779793e+03, 0.000000e+00, 1.779793e+03, 4.700000e+06, 3.018588e-03, 2.794696e-01, 2.353529e-05, 2.220969e-05, 3.085220e-01, 1.879665e-06, 5.489160e-08, 3.064678e-01, 9.069794e-02, 1.132970e-02, 1.945660e-05, 2.008562e-06, 2.882783e-06, 2.155229e-07, 2.804977e-07, 3.202747e-06, 2.767487e-08, 1.109248e-04, 8.195330e-08, 4.563100e-06, 2.980158e-04, 1.371729e-07, 1.776185e-07, 2.163616e-06, 1.408620e-07, 2.287392e-07, 1.101222e-08, 1.317006e-06, 5.173131e-07, 1.234517e-07, 9.943615e-08, 9.062551e-08, 1.471471e-08, 1.897640e-02, 6.027087e+00, 1.218119e+04, 1.220102e+04
1.416408e-01, 2.313890e-02, 1.130973e+00, 1.017876e-01, 1.130973e+00, 2.863547e-01, 1.766300e-01, -8.851038e+06, 1.750870e+03, 2.501106e+04, 1.750870e+03, 4.700076e+06, 2.985648e-03, 2.914179e-01, 1.822712e-05, 1.537496e-09, 3.007703e-01, 1.271683e-06, 3.659412e-12, 3.101955e-01, 8.838915e-02, 6.117936e-03, 7.827295e-06, 8.205071e-07, 2.270488e-06, 1.832854e-07, 2.946165e-07, 8.175585e-07, 6.307161e-09, 2.773235e-05, 1.513863e-08, 3.702104e-06, 5.931627e-05, 3.843622e-08, 3.698974e-08, 7.182962e-07, 2.285685e-08, 2.784490e-08, 1.350434e-09, 1.308380e-07, 5.101962e-08, 9.838231e-09, 4.768428e-09, 3.411590e-09, 2.593470e-10, 1.876932e-02, 6.059891e+00, 6.302243e+03, 6.314867e+03
1.470000e-01, 4.187515e-02, 1.130973e+00, 1.017876e-01, 1.130973e+00, 2.857586e-01, 1.766300e-01, -5.363934e+06, 1.741172e+03, 2.501106e+04, 1.741172e+03, 4.700076e+06, 2.975303e-03, 2.952623e-01, 1.685809e-05, 1.286538e-09, 2.982921e-01, 1.125044e-06, 3.017191e-12, 3.112318e-01, 8.774600e-02, 4.421987e-03, 5.167818e-06, 5.481257e-07, 2.153466e-06, 1.749254e-07, 2.979793e-07, 4.143963e-07, 3.005343e-09, 1.345681e-05, 6.663398e-09, 3.232948e-06, 2.649877e-05, 2.134803e-08, 1.710862e-08, 4.512054e-07, 9.543155e-09, 9.509090e-09, 5.143706e-10, 4.114087e-08, 1.599526e-08, 2.829990e-09, 1.074539e-09, 6.639190e-10, 1.369241e-11, 1.870428e-02, 6.072527e+00, 4.508134e+03, 4.518783e+03
1.590000e-01, 8.392979e-02, 1.130973e+00, 1.017876e-01, 1.130973e+00, 2.850130e-01, 1.766300e-01, -2.454186e+06, 1.729992e+03, 2.501106e+04, 1.729992e+03, 4.700076e+06, 2.963934e-03, 2.995357e-01, 1.539488e-05, 9.399095e-10, 2.955433e-01, 9.767533e-07, 2.172637e-12, 3.123048e-01, 8.708491e-02, 2.531325e-03, 2.664954e-06, 2.887124e-07, 2.052978e-06, 1.656388e-07, 3.016754e-07, 1.328659e-07, 8.879635e-10, 4.071956e-06, 1.783055e-09, 2.479043e-06, 7.220538e-06, 8.800867e-09, 4.912242e-09, 2.233705e-07, 2.389841e-09, 1.298805e-09, 1.194289e-10, 5.682950e-09, 2.215309e-09, 3.888066e-10, -4.535455e-11, 4.480699e-11, 1.191157e-11, 1.863281e-02, 6.088418e+00, 2.556877e+03, 2.565129e+03
1.710000e-01, 1.260679e-01, 1.130973e+00, 1.017876e-01, 1.130973e+00, 2.845770e-01, 1.766300e-01, -6.249030e+05, 1.724157e+03, 2.501106e+04, 1.724157e+03, 4.700076e+06, 2.958462e-03, 3.016248e-01, 1.466956e-05, 7.225568e-10, 2.941950e-01, 9.071699e-07, 1.661726e-12, 3.127847e-01, 8.679761e-02, 1.613126e-03, 1.609653e-06, 1.781423e-07, 2.014449e-06, 1.608348e-07, 3.035661e-07, 5.329172e-08, 3.478082e-10, 1.604693e-06, 6.764106e-10, 1.949466e-06, 2.751321e-06, 4.737140e-09, 1.963463e-09, 1.333838e-07, 8.908851e-10, 4.162075e-10, 4.314653e-11, 1.634615e-09, 6.338556e-10, 1.044176e-10, 2.015566e-11, 1.180512e-11, 8.776121e-14, 1.859841e-02, 6.097746e+00, 1.623566e+03, 1.630408e+03
1.830000e-01, 1.682597e-01, 1.130973e+00, 1.017876e-01, 1.130973e+00, 2.842690e-01, 1.766301e-01, -8.592420e+05, 1.720450e+03, 2.501106e+04, 1.720450e+03, 4.700076e+06, 2.955298e-03, 3.028528e-01, 1.425160e-05, 5.682849e-10, 2.933967e-01, 8.674022e-07, 1.307621e-12, 3.130408e-01, 8.665162e-02, 1.080513e-03, 1.041749e-06, 1.181785e-07, 1.994955e-06, 1.581275e-07, 3.044262e-07, 2.388261e-08, 1.523160e-10, 7.102817e-07, 2.863711e-10, 1.552516e-06, 1.179023e-06, 2.849608e-09, 8.837832e-10, 8.588058e-08, 3.733704e-10, 1.269394e-10, 1.768467e-11, 4.738572e-10, 1.830104e-10, 2.617182e-11, 4.301115e-12, 1.527137e-12, 1.917071e-13, 1.857852e-02, 6.104349e+00, 1.085386e+03, 1.091250e+03
1.950000e-01, 2.104919e-01, 1.130973e+00, 1.017876e-01, 1.130973e+00, 2.840297e-01, 1.766301e-01, -4.942387e+05, 1.717861e+03, 2.501106e+04, 1.717861e+03, 4.700076e+06, 2.953336e-03, 3.036310e-01, 1.394960e-05, 4.531923e-10, 2.928855e-01, 8.400177e-07, 1.046023e-12, 3.131827e-01, 8.657766e-02, 7.496177e-04, 7.059847e-07, 8.257952e-08, 1.983970e-06, 1.560512e-07, 3.051635e-07, 1.137057e-08, 7.165035e-11, 3.356116e-07, 1.317639e-10, 1.246564e-06, 5.433732e-07, 1.841521e-09, 4.336692e-10, 5.805606e-08, 1.694179e-10, 3.714974e-11, 7.934730e-12, 1.355900e-10, 5.244616e-11, 7.889049e-12, 5.405342e-13, 2.531374e-13, 3.673161e-14, 1.856619e-02, 6.109490e+00, 7.521061e+02, 7.572514e+02
2.070000e-01, 2.527565e-01, 1.130973e+00, 1.017876e-01, 1.130973e+00, 2.838305e-01, 1.766301e-01, -7.630036e+05, 1.715917e+03, 2.501106e+04, 1.715917e+03, 4.700076e+06, 2.952063e-03, 3.041506e-01, 1.375378e-05, 3.650650e-10, 2.925393e-01, 8.218524e-07, 8.475122e-13, 3.132597e-01, 8.654452e-02, 5.347630e-04, 4.946956e-07, 6.007310e-08, 1.977390e-06, 1.548066e-07, 3.054079e-07, 5.920715e-09, 3.689720e-11, 1.741989e-07, 6.717492e-11, 1.006752e-06, 2.784213e-07, 1.255699e-09, 2.363646e-10, 4.071015e-08, 8.628750e-11, 1.394401e-11, 3.998343e-12, 4.518401e-11, 1.743808e-11, 2.971919e-12, 4.482600e-14, 4.524886e-13, 9.688034e-15, 1.855819e-02, 6.113777e+00, 5.361758e+02, 5.407747e+02
2.190000e-01, 2.950487e-01, 1.130973e+00, 1.017876e-01, 1.130973e+00, 2.836558e-01, 1.766301e-01, 3.175082e+05, 1.714356e+03, 2.501106e+04, 1.714356e+03, 4.700076e+06, 2.951194e-03, 3.045185e-01, 1.355246e-05, 2.958945e-10, 2.922899e-01, 8.051179e-07, 6.924577e-13, 3.132993e-01, 8.653483e-02, 3.879418e-04, 3.552312e-07, 4.523118e-08, 1.973220e-06, 1.532686e-07, 3.060411e-07, 3.154420e-09, 1.988154e-11, 9.335012e-08, 3.602868e-11, 8.161067e-07, 1.488724e-07, 8.865044e-10, 1.362100e-10, 2.920582e-08, 4.667011e-11, 7.584067e-12, 2.164727e-12, 2.920937e-11, 1.130848e-11, 1.586537e-12, 1.403705e-13, -6.868365e-14, 1.181913e-14, 1.855273e-02, 6.117542e+00, 3.887885e+02, 3.929621e+02
2.310000e-01, 3.373655e-01, 1.130973e+00, 1.017876e-01, 1.130973e+00, 2.834978e-01, 1.766301e-01, 3.098705e+05, 1.713050e+03, 2.501106e+04, 1.713050e+03, 4.700076e+06, 2.950588e-03, 3.047871e-01, 1.341030e-05, 2.410876e-10, 2.921040e-01, 7.928919e-07, 5.699548e-13, 3.133150e-01, 8.654005e-02, 2.854691e-04, 2.585727e-07, 3.490264e-08, 1.970466e-06, 1.522685e-07, 3.063069e-07, 1.715469e-09, 1.085759e-11, 5.091367e-08, 1.951895e-11, 6.634262e-07, 8.035871e-08, 6.379122e-10, 8.096053e-11, 2.128010e-08, 2.524513e-11, 3.187243e-12, 1.159735e-12, 1.111766e-11, 4.291386e-12, 6.728705e-13, 8.499294e-14, 2.877158e-14, 6.376244e-15, 1.854891e-02, 6.120948e+00, 2.859941e+02, 2.898320e+02
