Distance_PFRC2_(m), Plug_flow_residence_time_PFRC2_(sec), Internal_surface_area_per_unit_distance_PFRC2_(m), Cross-section_area_PFRC2_(m2), External_surface_area_per_unit_distance_PFRC2_(m), Velocity_PFRC2_(m/sec), Exit_mass_flow_rate_PFRC2_(kg/sec), Volumetric_heat_production_rate_PFRC2_(J/m3-sec), Surface_temperature_PFRC2_(K), Heat_loss_rate_PFRC2_(J/m-sec), Temperature_PFRC2_(K), Pressure_PFRC2_(Pa), Mole_fraction_H2_PFRC2_(), Mole_fraction_H_PFRC2_(), Mole_fraction_O2_PFRC2_(), Mole_fraction_OH_PFRC2_(), Mole_fraction_H2O_PFRC2_(), Mole_fraction_CH3_PFRC2_(), Mole_fraction_CH4_PFRC2_(), Mole_fraction_CO_PFRC2_(), Mole_fraction_CO2_PFRC2_(), Mole_fraction_HCO_PFRC2_(), Mole_fraction_CH2O_PFRC2_(), Mole_fraction_CH3OH_PFRC2_(), Mole_fraction_C2H2_PFRC2_(), Mole_fraction_C2H3_PFRC2_(), Mole_fraction_C2H4_PFRC2_(), Mole_fraction_C2H5_PFRC2_(), Mole_fraction_C2H6_PFRC2_(), Mole_fraction_CH2CO_PFRC2_(), Mole_fraction_N2_PFRC2_(), Molecular_weight_PFRC2_(kg/mole), Mass_density_PFRC2_(kg/m3), Unburned_hydrocarbons_PFRC2_(ppm), Volatile_organic_compounds_PFRC2_(ppm)
1.350000e-01, 0.000000e+00, 1.130973e+00, 1.017876e-01, 1.130973e+00, 2.933384e-01, 1.766800e-01, 3.706613e+07, 1.825123e+03, 0.000000e+00, 1.825123e+03, 4.700000e+06, 2.727573e-01, 3.377703e-05, 8.503918e-06, 2.710612e-06, 3.132548e-01, 2.714807e-05, 1.091108e-02, 3.081481e-01, 9.060304e-02, 2.698881e-07, 2.590237e-06, 9.390712e-07, 9.447395e-04, 2.005849e-07, 2.409103e-04, 7.518882e-08, 3.974318e-06, 2.540763e-06, 3.057335e-03, 1.910525e-02, 5.917300e+00, 1.331803e+04, 1.332691e+04
1.350053e-01, 1.807118e-05, 1.130973e+00, 1.017876e-01, 1.130973e+00, 2.933445e-01, 1.766800e-01, -1.185787e+07, 1.825136e+03, 2.501106e+04, 1.825136e+03, 4.700002e+06, 2.727688e-01, 3.359147e-05, 2.987304e-06, 2.694805e-06, 3.132546e-01, 2.697934e-05, 1.090150e-02, 3.081574e-01, 9.059819e-02, 2.684060e-07, 2.579443e-06, 9.318134e-07, 9.447323e-04, 1.993478e-07, 2.407054e-04, 7.431130e-08, 3.878672e-06, 2.526805e-06, 3.057291e-03, 1.910497e-02, 5.917177e+00, 1.330767e+04, 1.331650e+04
1.350410e-01, 1.397069e-04, 1.130973e+00, 1.017876e-01, 1.130973e+00, 2.933305e-01, 1.766800e-01, -3.729587e+07, 1.824817e+03, 2.501106e+04, 1.824817e+03, 4.700002e+06, 2.728853e-01, 3.341288e-05, 3.012215e-09, 2.676337e-06, 3.131914e-01, 2.667297e-05, 1.083824e-02, 3.082230e-01, 9.054916e-02, 2.672639e-07, 2.564495e-06, 9.194594e-07, 9.427695e-04, 1.978109e-07, 2.401183e-04, 7.364984e-08, 3.832740e-06, 2.496418e-06, 3.056903e-03, 1.910255e-02, 5.917459e+00, 1.323890e+04, 1.324765e+04
1.357749e-01, 2.642844e-03, 1.130973e+00, 1.017876e-01, 1.130973e+00, 2.931035e-01, 1.766800e-01, -2.339808e+07, 1.819403e+03, 2.501106e+04, 1.819403e+03, 4.700002e+06, 2.751919e-01, 3.214712e-05, 1.092731e-10, 2.509809e-06, 3.116412e-01, 2.322489e-05, 9.885723e-03, 3.091613e-01, 8.997471e-02, 2.617164e-07, 2.457961e-06, 8.000862e-07, 8.130196e-04, 1.683637e-07, 2.147732e-04, 6.406037e-08, 3.291493e-06, 2.178736e-06, 3.050193e-03, 1.906062e-02, 5.922043e+00, 1.197158e+04, 1.197946e+04
1.383128e-01, 1.130851e-02, 1.130973e+00, 1.017876e-01, 1.130973e+00, 2.926462e-01, 1.766800e-01, -1.466910e+07, 1.807377e+03, 2.501106e+04, 1.807377e+03, 4.700002e+06, 2.806303e-01, 2.939560e-05, 8.513028e-11, 2.163017e-06, 3.078081e-01, 1.654632e-05, 7.846135e-03, 3.112815e-01, 8.880699e-02, 2.489988e-07, 2.260100e-06, 5.661214e-07, 4.160020e-04, 8.449732e-08, 1.214459e-04, 3.544472e-08, 1.991083e-06, 1.450095e-06, 3.034767e-03, 1.896422e-02, 5.931297e+00, 8.941802e+03, 8.947779e+03
1.448967e-01, 3.384197e-02, 1.130973e+00, 1.017876e-01, 1.130973e+00, 2.917934e-01, 1.766800e-01, -6.846678e+06, 1.789859e+03, 2.501106e+04, 1.789859e+03, 4.700002e+06, 2.880370e-01, 2.570816e-05, 5.643689e-11, 1.741282e-06, 3.028162e-01, 8.689055e-06, 4.828784e-03, 3.137569e-01, 8.735800e-02, 2.304652e-07, 2.049341e-06, 2.976055e-07, 1.112054e-04, 2.196504e-08, 3.764722e-05, 1.069909e-08, 6.982980e-07, 7.070116e-07, 3.014136e-03, 1.883530e-02, 5.948632e+00, 5.136641e+03, 5.140633e+03
1.470000e-01, 4.105260e-02, 1.130973e+00, 1.017876e-01, 1.130973e+00, 2.915970e-01, 1.766800e-01, -5.646458e+06, 1.786331e+03, 2.501106e+04, 1.786331e+03, 4.700002e+06, 2.894611e-01, 2.501300e-05, 5.201489e-11, 1.666856e-06, 3.018822e-01, 7.355921e-06, 4.221193e-03, 3.141821e-01, 8.709871e-02, 2.267834e-07, 2.016439e-06, 2.526690e-07, 7.926373e-05, 1.556519e-08, 2.764572e-05, 7.813139e-09, 5.256067e-07, 5.927285e-07, 3.010221e-03, 1.881084e-02, 5.952638e+00, 4.443467e+03, 4.447149e+03
1.590000e-01, 8.226370e-02, 1.130973e+00, 1.017876e-01, 1.130973e+00, 2.908534e-01, 1.766800e-01, -2.297619e+06, 1.774183e+03, 2.501106e+04, 1.774183e+03, 4.700002e+06, 2.941762e-01, 2.273655e-05, 3.925721e-11, 1.434070e-06, 2.988267e-01, 3.385605e-06, 2.170169e-03, 3.154849e-01, 8.629154e-02, 2.142893e-07, 1.924933e-06, 1.196329e-07, 1.652331e-05, 3.179579e-09, 6.385430e-06, 1.769695e-09, 1.320742e-07, 2.671211e-07, 2.997393e-03, 1.873067e-02, 5.967857e+00, 2.219646e+03, 2.222440e+03
1.710000e-01, 1.235538e-01, 1.130973e+00, 1.017876e-01, 1.130973e+00, 2.904319e-01, 1.766800e-01, -1.244526e+06, 1.768216e+03, 2.501106e+04, 1.768216e+03, 4.700002e+06, 2.963234e-01, 2.169132e-05, 3.423808e-11, 1.332828e-06, 2.974441e-01, 1.814121e-06, 1.227512e-03, 3.160162e-01, 8.596330e-02, 2.083348e-07, 1.892144e-06, 6.723702e-08, 4.717638e-06, 8.984180e-10, 1.916707e-06, 5.258900e-10, 4.128777e-08, 1.426950e-07, 2.991648e-03, 1.869477e-02, 5.976517e+00, 1.242680e+03, 1.245133e+03
1.830000e-01, 1.648929e-01, 1.130973e+00, 1.017876e-01, 1.130973e+00, 2.901487e-01, 1.766800e-01, -1.114895e+06, 1.764717e+03, 2.501106e+04, 1.764717e+03, 4.700002e+06, 2.974687e-01, 2.112139e-05, 3.166842e-11, 1.278774e-06, 2.967032e-01, 1.044378e-06, 7.293972e-04, 3.162699e-01, 8.581230e-02, 2.050978e-07, 1.877122e-06, 4.161106e-08, 1.561423e-06, 2.943852e-10, 6.531049e-07, 1.775242e-10, 1.440590e-08, 8.223015e-08, 2.988642e-03, 1.867599e-02, 5.982350e+00, 7.349005e+02, 7.371889e+02
