Distance_PFRC2_(m), Plug_flow_residence_time_PFRC2_(sec), Internal_surface_area_per_unit_distance_PFRC2_(m), Cross-section_area_PFRC2_(m2), External_surface_area_per_unit_distance_PFRC2_(m), Velocity_PFRC2_(m/sec), Exit_mass_flow_rate_PFRC2_(kg/sec), Volumetric_heat_production_rate_PFRC2_(J/m3-sec), Surface_temperature_PFRC2_(K), Heat_loss_rate_PFRC2_(J/m-sec), Temperature_PFRC2_(K), Pressure_PFRC2_(Pa), Mole_fraction_H2_PFRC2_(), Mole_fraction_H_PFRC2_(), Mole_fraction_O2_PFRC2_(), Mole_fraction_OH_PFRC2_(), Mole_fraction_H2O_PFRC2_(), Mole_fraction_CH3_PFRC2_(), Mole_fraction_CH4_PFRC2_(), Mole_fraction_CO_PFRC2_(), Mole_fraction_CO2_PFRC2_(), Mole_fraction_HCO_PFRC2_(), Mole_fraction_CH2O_PFRC2_(), Mole_fraction_CH3OH_PFRC2_(), Mole_fraction_C2H2_PFRC2_(), Mole_fraction_C2H3_PFRC2_(), Mole_fraction_C2H4_PFRC2_(), Mole_fraction_C2H5_PFRC2_(), Mole_fraction_C2H6_PFRC2_(), Mole_fraction_CH2CO_PFRC2_(), Mole_fraction_N2_PFRC2_(), Molecular_weight_PFRC2_(kg/mole), Mass_density_PFRC2_(kg/m3), Unburned_hydrocarbons_PFRC2_(ppm), Volatile_organic_compounds_PFRC2_(ppm)
1.350000e-01, 0.000000e+00, 1.130973e+00, 1.017876e-01, 1.130973e+00, 2.943445e-01, 1.314957e-01, 3.444339e+07, 1.845364e+03, 0.000000e+00, 1.845364e+03, 4.700000e+06, 4.534551e-01, 5.132202e-05, 6.778831e-06, 1.750212e-06, 2.116248e-01, 5.434104e-05, 2.393338e-02, 2.731473e-01, 3.195577e-02, 3.441916e-07, 3.149790e-06, 8.480665e-07, 1.523215e-03, 4.342188e-07, 5.591119e-04, 2.306491e-07, 1.262852e-05, 3.095341e-06, 3.666437e-03, 1.432781e-02, 4.388952e+00, 2.817897e+04, 2.818951e+04
1.350048e-01, 1.624905e-05, 1.130973e+00, 1.017876e-01, 1.130973e+00, 2.943496e-01, 1.314957e-01, -1.946669e+07, 1.845367e+03, 2.501106e+04, 1.845367e+03, 4.700002e+06, 4.534691e-01, 5.119554e-05, 1.999791e-06, 1.745234e-06, 2.116208e-01, 5.418629e-05, 2.392321e-02, 2.731539e-01, 3.195484e-02, 3.433484e-07, 3.140531e-06, 8.423608e-07, 1.523209e-03, 4.329799e-07, 5.588660e-04, 2.294292e-07, 1.252526e-05, 3.086495e-06, 3.666378e-03, 1.432757e-02, 4.388875e+00, 2.816793e+04, 2.817843e+04
1.350316e-01, 1.073605e-04, 1.130973e+00, 1.017876e-01, 1.130973e+00, 2.943372e-01, 1.314957e-01, -4.004889e+07, 1.845086e+03, 2.501106e+04, 1.845086e+03, 4.700002e+06, 4.535721e-01, 5.103819e-05, 2.342418e-09, 1.737590e-06, 2.115541e-01, 5.388558e-05, 2.386763e-02, 2.731935e-01, 3.194016e-02, 3.425960e-07, 3.133076e-06, 8.358663e-07, 1.521037e-03, 4.311050e-07, 5.582549e-04, 2.284556e-07, 1.247308e-05, 3.069199e-06, 3.665974e-03, 1.432600e-02, 4.389060e+00, 2.810637e+04, 2.811682e+04
1.354539e-01, 1.542604e-03, 1.130973e+00, 1.017876e-01, 1.130973e+00, 2.941900e-01, 1.314957e-01, -2.737647e+07, 1.841385e+03, 2.501106e+04, 1.841385e+03, 4.700002e+06, 4.550561e-01, 4.966202e-05, 3.756233e-11, 1.662786e-06, 2.104461e-01, 5.087202e-05, 2.322365e-02, 2.737341e-01, 3.181078e-02, 3.373076e-07, 3.102315e-06, 7.891033e-07, 1.415119e-03, 3.973768e-07, 5.318890e-04, 2.145205e-07, 1.187478e-05, 2.905888e-06, 3.660451e-03, 1.430441e-02, 4.391256e+00, 2.719351e+04, 2.720356e+04
1.366071e-01, 5.464263e-03, 1.130973e+00, 1.017876e-01, 1.130973e+00, 2.939221e-01, 1.314957e-01, -2.231661e+07, 1.833575e+03, 2.501106e+04, 1.833575e+03, 4.700002e+06, 4.583682e-01, 4.680486e-05, 2.328681e-11, 1.510417e-06, 2.078596e-01, 4.496278e-05, 2.192120e-02, 2.749671e-01, 3.157478e-02, 3.260552e-07, 3.045517e-06, 6.961989e-07, 1.108416e-03, 3.067862e-07, 4.417879e-04, 1.755793e-07, 1.031247e-05, 2.545298e-06, 3.648249e-03, 1.425673e-02, 4.395259e+00, 2.508816e+04, 2.509733e+04
1.429570e-01, 2.711763e-02, 1.130973e+00, 1.017876e-01, 1.130973e+00, 2.926523e-01, 1.314957e-01, -1.143843e+07, 1.805357e+03, 2.501106e+04, 1.805357e+03, 4.700002e+06, 4.694769e-01, 3.756671e-05, 1.270685e-11, 1.066297e-06, 1.995563e-01, 2.765592e-05, 1.716343e-02, 2.786366e-01, 3.085747e-02, 2.864032e-07, 2.902326e-06, 4.306271e-07, 4.176802e-04, 1.095999e-07, 2.064734e-04, 7.790113e-08, 5.720583e-06, 1.556062e-06, 3.607687e-03, 1.409822e-02, 4.414329e+00, 1.845121e+04, 1.845795e+04
1.470000e-01, 4.094757e-02, 1.130973e+00, 1.017876e-01, 1.130973e+00, 2.920361e-01, 1.314957e-01, -8.456846e+06, 1.794091e+03, 2.501106e+04, 1.794091e+03, 4.700002e+06, 4.736108e-01, 3.432872e-05, 9.528098e-12, 9.271219e-07, 1.965918e-01, 2.229366e-05, 1.525998e-02, 2.798401e-01, 3.061972e-02, 2.712458e-07, 2.867323e-06, 3.500407e-07, 2.716157e-04, 6.970486e-08, 1.464562e-04, 5.406834e-08, 4.346480e-06, 1.264956e-06, 3.592739e-03, 1.403981e-02, 4.423643e+00, 1.612736e+04, 1.613338e+04
1.590000e-01, 8.213699e-02, 1.130973e+00, 1.017876e-01, 1.130973e+00, 2.907402e-01, 1.314957e-01, -4.488683e+06, 1.772914e+03, 2.501106e+04, 1.772914e+03, 4.700002e+06, 4.810134e-01, 2.887316e-05, 5.876328e-12, 7.111835e-07, 1.913989e-01, 1.421098e-05, 1.172754e-02, 2.818294e-01, 3.023275e-02, 2.440299e-07, 2.828231e-06, 2.298353e-07, 1.109154e-04, 2.726057e-08, 7.053398e-05, 2.495913e-08, 2.383571e-06, 8.297153e-07, 3.566156e-03, 1.393592e-02, 4.443360e+00, 1.210952e+04, 1.211448e+04
1.710000e-01, 1.234763e-01, 1.130973e+00, 1.017876e-01, 1.130973e+00, 2.898684e-01, 1.314957e-01, -2.913823e+06, 1.760066e+03, 2.501106e+04, 1.760066e+03, 4.700002e+06, 4.852747e-01, 2.593420e-05, 4.372595e-12, 6.045206e-07, 1.884565e-01, 1.041375e-05, 9.644105e-03, 2.828949e-01, 3.003454e-02, 2.283760e-07, 2.818508e-06, 1.738959e-07, 5.987162e-05, 1.432125e-08, 4.212979e-05, 1.451568e-08, 1.541163e-06, 6.227093e-07, 3.550962e-03, 1.387655e-02, 4.456725e+00, 9.861662e+03, 9.866129e+03
1.830000e-01, 1.649234e-01, 1.130973e+00, 1.017876e-01, 1.130973e+00, 2.892097e-01, 1.314957e-01, -2.089064e+06, 1.751009e+03, 2.501106e+04, 1.751009e+03, 4.700002e+06, 4.881579e-01, 2.401729e-05, 3.546977e-12, 5.386932e-07, 1.864778e-01, 8.178102e-06, 8.221999e-03, 2.835857e-01, 2.991326e-02, 2.177307e-07, 2.816792e-06, 1.411592e-07, 3.709802e-05, 8.701899e-09, 2.804995e-05, 9.480260e-09, 1.085343e-06, 4.985303e-07, 3.540735e-03, 1.383658e-02, 4.466875e+00, 8.362681e+03, 8.366854e+03
