Distance_PFRC2_(m), Plug_flow_residence_time_PFRC2_(sec), Internal_surface_area_per_unit_distance_PFRC2_(m), Cross-section_area_PFRC2_(m2), External_surface_area_per_unit_distance_PFRC2_(m), Velocity_PFRC2_(m/sec), Exit_mass_flow_rate_PFRC2_(kg/sec), Volumetric_heat_production_rate_PFRC2_(J/m3-sec), Surface_temperature_PFRC2_(K), Heat_loss_rate_PFRC2_(J/m-sec), Temperature_PFRC2_(K), Pressure_PFRC2_(Pa), Mole_fraction_N2_PFRC2_(), Mole_fraction_H2_PFRC2_(), Mole_fraction_H_PFRC2_(), Mole_fraction_O2_PFRC2_(), Mole_fraction_H2O_PFRC2_(), Mole_fraction_OH_PFRC2_(), Mole_fraction_HO2_PFRC2_(), Mole_fraction_CO_PFRC2_(), Mole_fraction_CO2_PFRC2_(), Mole_fraction_CH4_PFRC2_(), Mole_fraction_CH3_PFRC2_(), Mole_fraction_CH3OH_PFRC2_(), Mole_fraction_CH2O_PFRC2_(), Mole_fraction_HCO_PFRC2_(), Mole_fraction_HOCHO_PFRC2_(), Mole_fraction_C2H6_PFRC2_(), Mole_fraction_C2H5_PFRC2_(), Mole_fraction_C2H4_PFRC2_(), Mole_fraction_C2H3_PFRC2_(), Mole_fraction_CHCHO_PFRC2_(), Mole_fraction_C2H2_PFRC2_(), Mole_fraction_CH3CHO_PFRC2_(), Mole_fraction_C2H3OH_PFRC2_(), Mole_fraction_CH2CO_PFRC2_(), Mole_fraction_HCCOH_PFRC2_(), Mole_fraction_C3H6_PFRC2_(), Mole_fraction_C3H4-P_PFRC2_(), Mole_fraction_C3H4-A_PFRC2_(), Mole_fraction_C3H3_PFRC2_(), Mole_fraction_C4H4_PFRC2_(), Mole_fraction_C4H2_PFRC2_(), Molecular_weight_PFRC2_(kg/mole), Mass_density_PFRC2_(kg/m3), Unburned_hydrocarbons_PFRC2_(ppm), Volatile_organic_compounds_PFRC2_(ppm)
1.350000e-01, 0.000000e+00, 1.130973e+00, 1.017876e-01, 1.130973e+00, 2.928025e-01, 1.766800e-01, 3.651650e+07, 1.808500e+03, 0.000000e+00, 1.808500e+03, 4.700000e+06, 3.017478e-03, 2.807435e-01, 3.006731e-05, 1.824586e-05, 3.071775e-01, 2.538590e-06, 4.731902e-08, 3.120085e-01, 8.875407e-02, 7.961907e-03, 1.734127e-05, 1.654540e-06, 2.758166e-06, 2.588930e-07, 2.780178e-07, 1.679454e-06, 1.644179e-08, 6.065064e-05, 5.781363e-08, 2.070773e-06, 1.962503e-04, 8.091857e-08, 1.090565e-07, 1.693902e-06, 1.049703e-07, 9.278643e-08, 6.306480e-07, 2.494044e-07, 7.093573e-08, 3.609184e-08, 3.995909e-08, 1.896588e-02, 5.928129e+00, 8.500061e+03, 8.513183e+03
1.350169e-01, 5.783537e-05, 1.130973e+00, 1.017876e-01, 1.130973e+00, 2.928172e-01, 1.766800e-01, -2.025911e+07, 1.808507e+03, 2.501106e+04, 1.808507e+03, 4.700009e+06, 3.017333e-03, 2.807862e-01, 2.939393e-05, 3.963513e-06, 3.071685e-01, 2.480235e-06, 1.012878e-08, 3.120350e-01, 8.874057e-02, 7.932167e-03, 1.689534e-05, 1.601195e-06, 2.722610e-06, 2.531114e-07, 2.808088e-07, 1.558817e-06, 1.580247e-08, 6.003600e-05, 5.634215e-08, 2.069985e-06, 1.958422e-04, 7.920162e-08, 1.062791e-07, 1.665472e-06, 1.047131e-07, 9.066147e-08, 6.277163e-07, 2.481128e-07, 7.007804e-08, 3.609592e-08, 3.991315e-08, 1.896497e-02, 5.927832e+00, 8.467559e+03, 8.480519e+03
1.351697e-01, 5.796752e-04, 1.130973e+00, 1.017876e-01, 1.130973e+00, 2.927516e-01, 1.766800e-01, -3.328438e+07, 1.807170e+03, 2.501106e+04, 1.807170e+03, 4.700009e+06, 3.015779e-03, 2.813183e-01, 2.892424e-05, 9.838638e-10, 3.068397e-01, 2.425834e-06, 2.759313e-12, 3.122387e-01, 8.860202e-02, 7.684064e-03, 1.607968e-05, 1.520973e-06, 2.675187e-06, 2.501207e-07, 2.822141e-07, 1.453187e-06, 1.487648e-08, 5.715416e-05, 5.291239e-08, 2.054449e-06, 1.856016e-04, 7.519798e-08, 1.000003e-07, 1.580714e-06, 9.834746e-08, 8.329638e-08, 5.745316e-07, 2.269901e-07, 6.341650e-08, 3.277939e-08, 3.589817e-08, 1.895520e-02, 5.929161e+00, 8.191876e+03, 8.204470e+03
1.373487e-01, 8.032193e-03, 1.130973e+00, 1.017876e-01, 1.130973e+00, 2.920707e-01, 1.766800e-01, -1.651029e+07, 1.794031e+03, 2.501106e+04, 1.794031e+03, 4.700009e+06, 3.000830e-03, 2.867171e-01, 2.622876e-05, 9.217412e-10, 3.033436e-01, 2.072297e-06, 2.503674e-12, 3.139247e-01, 8.753473e-02, 5.329845e-03, 9.936637e-06, 9.508971e-07, 2.364634e-06, 2.362713e-07, 2.867557e-07, 6.805742e-07, 6.670449e-09, 2.630113e-05, 2.156305e-08, 1.861823e-06, 7.704095e-05, 3.758268e-08, 4.289432e-08, 8.708937e-07, 3.730980e-08, 2.550840e-08, 1.596030e-07, 6.287321e-08, 1.605846e-08, 6.122770e-09, 6.014621e-09, 1.886124e-02, 5.942983e+00, 5.548739e+03, 5.558301e+03
1.440579e-01, 3.104647e-02, 1.130973e+00, 1.017876e-01, 1.130973e+00, 2.911329e-01, 1.766800e-01, -5.109343e+06, 1.777706e+03, 2.501106e+04, 1.777706e+03, 4.700009e+06, 2.983103e-03, 2.932254e-01, 2.317630e-05, 6.705558e-10, 2.991733e-01, 1.701774e-06, 1.785775e-12, 3.157531e-01, 8.636640e-02, 2.447029e-03, 3.947510e-06, 3.859581e-07, 2.086681e-06, 2.196612e-07, 2.922326e-07, 1.375518e-07, 1.237968e-09, 5.027036e-06, 3.525977e-09, 1.451954e-06, 1.288485e-05, 1.009492e-08, 7.628261e-09, 3.048971e-07, 5.590490e-09, 2.122845e-09, 1.172680e-08, 4.602669e-09, 1.050574e-09, 1.897889e-10, 1.624325e-10, 1.874982e-02, 5.962127e+00, 2.487146e+03, 2.493700e+03
1.470000e-01, 4.115623e-02, 1.130973e+00, 1.017876e-01, 1.130973e+00, 2.909170e-01, 1.766800e-01, -3.520566e+06, 1.774266e+03, 2.501106e+04, 1.774266e+03, 4.700009e+06, 2.979540e-03, 2.945478e-01, 2.257985e-05, 6.007600e-10, 2.983300e-01, 1.632956e-06, 1.599223e-12, 3.160989e-01, 8.614506e-02, 1.857163e-03, 2.906735e-06, 2.864827e-07, 2.041723e-06, 2.163125e-07, 2.933137e-07, 7.865243e-08, 6.958018e-10, 2.842185e-06, 1.929911e-09, 1.316282e-06, 7.083729e-06, 6.721201e-09, 4.283949e-09, 2.198061e-07, 3.006298e-09, 9.008094e-10, 4.847675e-09, 1.901194e-09, 4.238891e-10, 5.859373e-11, 4.874744e-11, 1.872743e-02, 5.966551e+00, 1.880110e+03, 1.886055e+03
1.574928e-01, 7.725575e-02, 1.130973e+00, 1.017876e-01, 1.130973e+00, 2.904657e-01, 1.766800e-01, -1.262912e+06, 1.767697e+03, 2.501106e+04, 1.767697e+03, 4.700009e+06, 2.973121e-03, 2.969550e-01, 2.151101e-05, 4.276282e-10, 2.967924e-01, 1.511998e-06, 1.154011e-12, 3.166935e-01, 8.576946e-02, 7.871161e-04, 1.164676e-06, 1.187322e-07, 1.969425e-06, 2.103149e-07, 2.950933e-07, 1.401924e-08, 1.206926e-10, 4.982216e-07, 3.186677e-10, 9.478298e-07, 1.178355e-06, 2.184477e-09, 7.752687e-10, 8.513184e-08, 4.821593e-10, 6.563018e-11, 3.360576e-10, 1.316040e-10, 2.806701e-11, 1.691090e-12, 1.332212e-12, 1.868708e-02, 5.975821e+00, 7.916649e+02, 7.963364e+02
1.590000e-01, 8.244505e-02, 1.130973e+00, 1.017876e-01, 1.130973e+00, 2.904229e-01, 1.766800e-01, -1.109920e+06, 1.767136e+03, 2.501106e+04, 1.767136e+03, 4.700009e+06, 2.972615e-03, 2.971469e-01, 2.142573e-05, 4.088496e-10, 2.966691e-01, 1.502451e-06, 1.106888e-12, 3.167375e-01, 8.574238e-02, 7.025492e-04, 1.034790e-06, 1.061480e-07, 1.964210e-06, 2.098431e-07, 2.952128e-07, 1.117246e-08, 9.607479e-11, 3.969264e-07, 2.526795e-10, 9.056362e-07, 9.347900e-07, 1.905971e-09, 6.241352e-10, 7.545745e-08, 3.816913e-10, 4.660339e-11, 2.376472e-10, 9.305430e-11, 1.977186e-11, 1.068597e-12, 8.380236e-13, 1.868390e-02, 5.976703e+00, 7.062720e+02, 7.108205e+02
1.710000e-01, 1.237836e-01, 1.130973e+00, 1.017876e-01, 1.130973e+00, 2.901691e-01, 1.766800e-01, -4.282035e+05, 1.764163e+03, 2.501106e+04, 1.764163e+03, 4.700009e+06, 2.970210e-03, 2.980766e-01, 2.099659e-05, 2.915454e-10, 2.960672e-01, 1.454705e-06, 8.158502e-13, 3.169310e-01, 8.562930e-02, 2.994264e-04, 4.309122e-07, 4.744914e-08, 1.940414e-06, 2.075084e-07, 2.956847e-07, 2.053631e-09, 1.780934e-11, 7.394898e-08, 4.605829e-11, 6.348663e-07, 1.707231e-07, 7.264228e-10, 1.328283e-10, 3.111270e-08, 6.969951e-11, 3.680553e-12, 1.838716e-11, 7.195431e-12, 1.499615e-12, 3.660751e-14, 2.799904e-14, 1.866879e-02, 5.981931e+00, 3.003512e+02, 3.041805e+02
1.830000e-01, 1.651518e-01, 1.130973e+00, 1.017876e-01, 1.130973e+00, 2.899942e-01, 1.766800e-01, -1.850707e+05, 1.762530e+03, 2.501106e+04, 1.762530e+03, 4.700009e+06, 2.969252e-03, 2.984700e-01, 2.077083e-05, 2.130328e-10, 2.958045e-01, 1.430438e-06, 6.228093e-13, 3.169850e-01, 8.560721e-02, 1.385397e-04, 1.969830e-07, 2.460300e-08, 1.931523e-06, 2.062690e-07, 2.958359e-07, 4.545578e-10, 4.131074e-12, 1.724999e-08, 1.070216e-11, 4.484747e-07, 3.967728e-08, 3.212273e-10, 3.816355e-11, 1.421134e-08, 1.656381e-11, 3.870941e-13, 1.930601e-12, 7.555466e-13, 1.575426e-13, 1.876951e-15, 1.480356e-15, 1.866276e-02, 5.985539e+00, 1.388516e+02, 1.422402e+02
