Distance_PFRC2_(m), Plug_flow_residence_time_PFRC2_(sec), Internal_surface_area_per_unit_distance_PFRC2_(m), Cross-section_area_PFRC2_(m2), External_surface_area_per_unit_distance_PFRC2_(m), Velocity_PFRC2_(m/sec), Exit_mass_flow_rate_PFRC2_(kg/sec), Volumetric_heat_production_rate_PFRC2_(J/m3-sec), Surface_temperature_PFRC2_(K), Heat_loss_rate_PFRC2_(J/m-sec), Temperature_PFRC2_(K), Pressure_PFRC2_(Pa), Mole_fraction_N2_PFRC2_(), Mole_fraction_H2_PFRC2_(), Mole_fraction_H_PFRC2_(), Mole_fraction_O2_PFRC2_(), Mole_fraction_H2O_PFRC2_(), Mole_fraction_OH_PFRC2_(), Mole_fraction_HO2_PFRC2_(), Mole_fraction_CO_PFRC2_(), Mole_fraction_CO2_PFRC2_(), Mole_fraction_CH4_PFRC2_(), Mole_fraction_CH3_PFRC2_(), Mole_fraction_CH3OH_PFRC2_(), Mole_fraction_CH2O_PFRC2_(), Mole_fraction_HCO_PFRC2_(), Mole_fraction_HOCHO_PFRC2_(), Mole_fraction_C2H6_PFRC2_(), Mole_fraction_C2H5_PFRC2_(), Mole_fraction_C2H4_PFRC2_(), Mole_fraction_C2H3_PFRC2_(), Mole_fraction_CHCHO_PFRC2_(), Mole_fraction_C2H2_PFRC2_(), Mole_fraction_H2CC_PFRC2_(), Mole_fraction_CH3CHO_PFRC2_(), Mole_fraction_C2H3OH_PFRC2_(), Mole_fraction_CH2CO_PFRC2_(), Mole_fraction_HCCOH_PFRC2_(), Mole_fraction_C3H6_PFRC2_(), Mole_fraction_C3H5-A_PFRC2_(), Mole_fraction_CH3CHCO_PFRC2_(), Mole_fraction_C3H4-P_PFRC2_(), Mole_fraction_C3H4-A_PFRC2_(), Mole_fraction_C3H3_PFRC2_(), Mole_fraction_C4H6_PFRC2_(), Mole_fraction_C4H4_PFRC2_(), Mole_fraction_C4H2_PFRC2_(), Mole_fraction_C6H6_PFRC2_(), Molecular_weight_PFRC2_(kg/mole), Mass_density_PFRC2_(kg/m3), Unburned_hydrocarbons_PFRC2_(ppm), Volatile_organic_compounds_PFRC2_(ppm)
1.350000e-01, 0.000000e+00, 1.130973e+00, 1.017876e-01, 1.130973e+00, 2.931567e-01, 1.314957e-01, 3.353349e+07, 1.814933e+03, 0.000000e+00, 1.814933e+03, 4.700000e+06, 3.599645e-03, 4.661984e-01, 4.072906e-05, 1.387080e-05, 2.014708e-01, 1.377453e-06, 3.403584e-08, 2.782880e-01, 3.099795e-02, 1.866288e-02, 3.315978e-05, 1.459122e-06, 3.385726e-06, 3.074092e-07, 1.442042e-07, 6.357282e-06, 7.321580e-08, 2.137712e-04, 1.727726e-07, 7.814902e-06, 4.531077e-04, 1.393097e-08, 1.356997e-07, 1.869084e-07, 2.109054e-06, 9.859374e-08, 4.766467e-07, 1.430538e-08, 1.033670e-08, 2.102683e-06, 8.342237e-07, 1.918708e-07, 1.996631e-08, 1.885318e-07, 1.316240e-07, 1.957809e-08, 1.414863e-02, 4.406735e+00, 2.005545e+04, 2.008152e+04
1.350160e-01, 5.472358e-05, 1.130973e+00, 1.017876e-01, 1.130973e+00, 2.931674e-01, 1.314957e-01, -2.952841e+07, 1.814900e+03, 2.501106e+04, 1.814900e+03, 4.700009e+06, 3.599441e-03, 4.662517e-01, 4.025222e-05, 1.956292e-06, 2.014470e-01, 1.360135e-06, 4.778404e-09, 2.783071e-01, 3.099690e-02, 1.863007e-02, 3.271685e-05, 1.434141e-06, 3.364506e-06, 3.038589e-07, 1.450393e-07, 6.189532e-06, 7.187446e-08, 2.128679e-04, 1.704888e-07, 7.813033e-06, 4.525297e-04, 1.390338e-08, 1.343092e-07, 1.846219e-07, 2.084400e-06, 9.838628e-08, 4.724007e-07, 1.410386e-08, 1.030022e-08, 2.097340e-06, 8.319417e-07, 1.904220e-07, 1.982019e-08, 1.885002e-07, 1.314628e-07, 1.956962e-08, 1.414783e-02, 4.406573e+00, 2.001884e+04, 2.004480e+04
1.351744e-01, 5.949996e-04, 1.130973e+00, 1.017876e-01, 1.130973e+00, 2.930828e-01, 1.314957e-01, -3.668766e+07, 1.813239e+03, 2.501106e+04, 1.813239e+03, 4.700009e+06, 3.597186e-03, 4.668820e-01, 3.967341e-05, 1.523224e-09, 2.010036e-01, 1.330855e-06, 3.765178e-12, 2.784816e-01, 3.096375e-02, 1.833196e-02, 3.169444e-05, 1.389794e-06, 3.342916e-06, 3.010093e-07, 1.453371e-07, 5.993264e-06, 6.935224e-08, 2.066852e-04, 1.630955e-07, 7.776898e-06, 4.351562e-04, 1.322165e-08, 1.303095e-07, 1.773924e-07, 2.014273e-06, 9.357277e-08, 4.495376e-07, 1.328477e-08, 9.786219e-09, 1.977895e-06, 7.842183e-07, 1.774819e-07, 1.859018e-08, 1.762604e-07, 1.214786e-07, 1.858263e-08, 1.413896e-02, 4.407846e+00, 1.967147e+04, 1.969712e+04
1.369824e-01, 6.772519e-03, 1.130973e+00, 1.017876e-01, 1.130973e+00, 2.923242e-01, 1.314957e-01, -2.289337e+07, 1.798859e+03, 2.501106e+04, 1.798859e+03, 4.700009e+06, 3.577919e-03, 4.722366e-01, 3.542769e-05, 1.388256e-09, 1.971884e-01, 1.116601e-06, 3.326037e-12, 2.800248e-01, 3.065064e-02, 1.583917e-02, 2.421114e-05, 1.073858e-06, 3.210235e-06, 2.809773e-07, 1.467071e-07, 4.315059e-06, 4.524416e-08, 1.389509e-04, 9.588532e-08, 7.416814e-06, 2.625599e-04, 7.251364e-09, 9.196929e-08, 1.100064e-07, 1.460519e-06, 5.132159e-08, 2.508551e-07, 6.784978e-09, 5.443113e-09, 9.997755e-07, 3.950626e-07, 8.142015e-08, 8.145286e-09, 7.014235e-08, 4.331797e-08, 5.604941e-09, 1.406323e-02, 4.419284e+00, 1.668109e+04, 1.670411e+04
1.432669e-01, 2.833352e-02, 1.130973e+00, 1.017876e-01, 1.130973e+00, 2.908052e-01, 1.314957e-01, -9.810319e+06, 1.773195e+03, 2.501106e+04, 1.773195e+03, 4.700009e+06, 3.545296e-03, 4.813624e-01, 2.878495e-05, 1.114349e-09, 1.908281e-01, 8.126517e-07, 2.521594e-12, 2.824570e-01, 3.016088e-02, 1.143926e-02, 1.396813e-05, 6.365297e-07, 3.056732e-06, 2.472364e-07, 1.491826e-07, 2.088595e-06, 1.805838e-08, 5.857896e-05, 3.159706e-08, 6.549594e-06, 9.082902e-05, 2.107277e-09, 4.626380e-08, 4.035896e-08, 7.993384e-07, 1.498910e-08, 7.115405e-08, 1.635379e-09, 1.727925e-09, 2.368961e-07, 9.302743e-08, 1.613048e-08, 1.388965e-09, 9.986119e-09, 5.031248e-09, 3.939291e-10, 1.393501e-02, 4.442368e+00, 1.175765e+04, 1.177667e+04
1.470000e-01, 4.118351e-02, 1.130973e+00, 1.017876e-01, 1.130973e+00, 2.902485e-01, 1.314957e-01, -6.860615e+06, 1.764565e+03, 2.501106e+04, 1.764565e+03, 4.700009e+06, 3.534806e-03, 4.843138e-01, 2.679617e-05, 1.015766e-09, 1.887998e-01, 7.292241e-07, 2.253560e-12, 2.831970e-01, 3.001603e-02, 9.985488e-03, 1.129089e-05, 5.206795e-07, 3.024447e-06, 2.364525e-07, 1.500461e-07, 1.551547e-06, 1.255886e-08, 4.150232e-05, 2.058675e-08, 6.167323e-06, 6.014721e-05, 1.314648e-09, 3.600730e-08, 2.737556e-08, 6.424306e-07, 9.374793e-09, 4.284699e-08, 9.331352e-10, 1.132415e-09, 1.341381e-07, 5.256901e-08, 8.624901e-09, 6.782355e-10, 4.578015e-09, 2.165017e-09, 1.388168e-10, 1.389378e-02, 4.450888e+00, 1.020400e+04, 1.022172e+04
1.588853e-01, 8.222130e-02, 1.130973e+00, 1.017876e-01, 1.130973e+00, 2.890994e-01, 1.314957e-01, -3.437495e+06, 1.747865e+03, 2.501106e+04, 1.747865e+03, 4.700009e+06, 3.515270e-03, 4.898351e-01, 2.328355e-05, 8.109408e-10, 1.850282e-01, 5.903504e-07, 1.730822e-12, 2.845296e-01, 2.976602e-02, 7.241705e-03, 7.043804e-06, 3.352062e-07, 2.984114e-06, 2.165654e-07, 1.516555e-07, 7.766228e-07, 5.515008e-09, 1.891679e-05, 7.956901e-09, 5.245151e-06, 2.403331e-05, 4.671304e-10, 2.123933e-08, 1.156471e-08, 4.020835e-07, 3.360225e-09, 1.350764e-08, 2.640030e-10, 4.568980e-10, 3.752036e-08, 1.464275e-08, 2.143039e-09, 1.367576e-10, 8.162684e-10, 3.378845e-10, 1.279162e-11, 1.381699e-02, 4.468579e+00, 7.336443e+03, 7.351505e+03
1.590000e-01, 8.261796e-02, 1.130973e+00, 1.017876e-01, 1.130973e+00, 2.890910e-01, 1.314957e-01, -3.419772e+06, 1.747748e+03, 2.501106e+04, 1.747748e+03, 4.700009e+06, 3.515137e-03, 4.898727e-01, 2.326041e-05, 8.094304e-10, 1.850026e-01, 5.894731e-07, 1.727126e-12, 2.845385e-01, 2.976443e-02, 7.222937e-03, 7.018085e-06, 3.340750e-07, 2.983922e-06, 2.164303e-07, 1.516666e-07, 7.723353e-07, 5.479474e-09, 1.879987e-05, 7.898528e-09, 5.237706e-06, 2.386263e-05, 4.634285e-10, 2.115549e-08, 1.148783e-08, 4.006486e-07, 3.333847e-09, 1.338476e-08, 2.614045e-10, 4.537456e-10, 3.714785e-08, 1.449696e-08, 2.120027e-09, 1.350295e-10, 8.052900e-10, 3.330533e-10, 1.255485e-11, 1.381646e-02, 4.468710e+00, 7.317063e+03, 7.332106e+03
1.710000e-01, 1.241831e-01, 1.130973e+00, 1.017876e-01, 1.130973e+00, 2.883601e-01, 1.314957e-01, -2.129425e+06, 1.737934e+03, 2.501106e+04, 1.737934e+03, 4.700009e+06, 3.504259e-03, 4.929645e-01, 2.138541e-05, 6.784401e-10, 1.828983e-01, 5.200992e-07, 1.414598e-12, 2.852540e-01, 2.964062e-02, 5.679182e-03, 5.045071e-06, 2.469444e-07, 2.971739e-06, 2.052808e-07, 1.526097e-07, 4.637363e-07, 3.042263e-09, 1.067387e-05, 4.065513e-09, 4.556688e-06, 1.253079e-05, 2.268960e-10, 1.491654e-08, 6.302796e-09, 2.907989e-07, 1.644965e-09, 5.810054e-09, 1.064263e-10, 2.439573e-10, 1.502219e-08, 5.847917e-09, 7.992901e-10, 4.271533e-11, 2.371424e-10, 9.067104e-11, 2.263015e-12, 1.377371e-02, 4.480036e+00, 5.731665e+03, 5.744987e+03
1.830000e-01, 1.658383e-01, 1.130973e+00, 1.017876e-01, 1.130973e+00, 2.878211e-01, 1.314957e-01, -1.492880e+06, 1.731139e+03, 2.501106e+04, 1.731139e+03, 4.700009e+06, 3.497094e-03, 4.950109e-01, 2.016364e-05, 5.829572e-10, 1.815062e-01, 4.767611e-07, 1.196210e-12, 2.857127e-01, 2.956852e-02, 4.657706e-03, 3.886905e-06, 1.954565e-07, 2.967416e-06, 1.977867e-07, 1.532645e-07, 3.057012e-07, 1.898680e-09, 6.767141e-06, 2.407077e-09, 4.017159e-06, 7.524556e-06, 1.297363e-10, 1.142175e-08, 3.935753e-09, 2.261883e-07, 9.474773e-10, 2.963349e-09, 5.191017e-11, 1.500097e-10, 7.293579e-09, 2.834367e-09, 3.695774e-10, 1.696201e-11, 8.955108e-11, 3.241857e-11, 5.731493e-13, 1.374555e-02, 4.488425e+00, 4.690840e+03, 4.702877e+03
