Distance_PFRC2_(m), Plug_flow_residence_time_PFRC2_(sec), Internal_surface_area_per_unit_distance_PFRC2_(m), Cross-section_area_PFRC2_(m2), External_surface_area_per_unit_distance_PFRC2_(m), Velocity_PFRC2_(m/sec), Exit_mass_flow_rate_PFRC2_(kg/sec), Volumetric_heat_production_rate_PFRC2_(J/m3-sec), Surface_temperature_PFRC2_(K), Heat_loss_rate_PFRC2_(J/m-sec), Temperature_PFRC2_(K), Pressure_PFRC2_(Pa), Mole_fraction_N2_PFRC2_(), Mole_fraction_H2_PFRC2_(), Mole_fraction_H_PFRC2_(), Mole_fraction_O2_PFRC2_(), Mole_fraction_H2O_PFRC2_(), Mole_fraction_OH_PFRC2_(), Mole_fraction_HO2_PFRC2_(), Mole_fraction_CO_PFRC2_(), Mole_fraction_CO2_PFRC2_(), Mole_fraction_CH4_PFRC2_(), Mole_fraction_CH3_PFRC2_(), Mole_fraction_CH3OH_PFRC2_(), Mole_fraction_CH2O_PFRC2_(), Mole_fraction_HCO_PFRC2_(), Mole_fraction_HOCHO_PFRC2_(), Mole_fraction_C2H6_PFRC2_(), Mole_fraction_C2H4_PFRC2_(), Mole_fraction_C2H3_PFRC2_(), Mole_fraction_C2H2_PFRC2_(), Mole_fraction_CH3CHO_PFRC2_(), Mole_fraction_CH2CO_PFRC2_(), Mole_fraction_HCOOH_PFRC2_(), Mole_fraction_C3H6_PFRC2_(), Mole_fraction_C3H4-P_PFRC2_(), Mole_fraction_C3H4-A_PFRC2_(), Mole_fraction_C3H3_PFRC2_(), Mole_fraction_C4H2_PFRC2_(), Molecular_weight_PFRC2_(kg/mole), Mass_density_PFRC2_(kg/m3), Unburned_hydrocarbons_PFRC2_(ppm), Volatile_organic_compounds_PFRC2_(ppm)
1.350000e-01, 0.000000e+00, 1.130973e+00, 1.017876e-01, 1.130973e+00, 2.926746e-01, 1.766800e-01, 3.634600e+07, 1.802663e+03, 0.000000e+00, 1.802663e+03, 4.700000e+06, 3.009055e-03, 2.836321e-01, 2.907197e-05, 1.735138e-05, 3.053602e-01, 2.357089e-06, 4.277655e-08, 3.131106e-01, 8.800069e-02, 6.636879e-03, 1.382197e-05, 1.345072e-06, 2.954161e-06, 2.643044e-07, 2.783527e-07, 1.183906e-06, 4.166176e-05, 2.984826e-08, 1.356562e-04, 1.841209e-08, 3.591715e-06, 1.520562e-07, 5.431482e-08, 3.538762e-07, 1.396795e-07, 3.787768e-08, 1.092567e-08, 1.891294e-02, 5.930721e+00, 7.009646e+03, 7.021902e+03
1.350098e-01, 3.359150e-05, 1.130973e+00, 1.017876e-01, 1.130973e+00, 2.926871e-01, 1.766800e-01, -6.701097e+06, 1.802696e+03, 2.501106e+04, 1.802696e+03, 4.700004e+06, 3.008977e-03, 2.836542e-01, 2.842094e-05, 6.831249e-06, 3.053594e-01, 2.303438e-06, 1.659208e-08, 3.131263e-01, 8.799362e-02, 6.619485e-03, 1.348246e-05, 1.307189e-06, 2.928368e-06, 2.583782e-07, 2.810363e-07, 1.083572e-06, 4.145605e-05, 2.909662e-08, 1.353287e-04, 1.803080e-08, 3.564965e-06, 1.521078e-07, 5.274100e-08, 3.526653e-07, 1.390789e-07, 3.754826e-08, 1.090127e-08, 1.891245e-02, 5.930467e+00, 6.990630e+03, 7.002763e+03
1.350760e-01, 2.596924e-04, 1.130973e+00, 1.017876e-01, 1.130973e+00, 2.926654e-01, 1.766800e-01, -3.500687e+07, 1.802159e+03, 2.501106e+04, 1.802159e+03, 4.700004e+06, 3.008305e-03, 2.838798e-01, 2.787455e-05, 1.532691e-08, 3.052276e-01, 2.253103e-06, 3.702580e-11, 3.132188e-01, 8.793150e-02, 6.509092e-03, 1.299783e-05, 1.251841e-06, 2.886373e-06, 2.538528e-07, 2.835512e-07, 1.027504e-06, 4.037433e-05, 2.778716e-08, 1.313425e-04, 1.746758e-08, 3.474452e-06, 1.521457e-07, 4.998830e-08, 3.365464e-07, 1.326510e-07, 3.556736e-08, 1.028013e-08, 1.890823e-02, 5.930908e+00, 6.869413e+03, 6.881263e+03
1.360241e-01, 3.501391e-03, 1.130973e+00, 1.017876e-01, 1.130973e+00, 2.922912e-01, 1.766800e-01, -2.359610e+07, 1.795084e+03, 2.501106e+04, 1.795084e+03, 4.700004e+06, 3.000330e-03, 2.867533e-01, 2.645782e-05, 6.010616e-11, 3.033787e-01, 2.071204e-06, 3.755145e-13, 3.141181e-01, 8.735417e-02, 5.242369e-03, 9.844127e-06, 9.549742e-07, 2.642415e-06, 2.463261e-07, 2.861226e-07, 6.631689e-07, 2.622794e-05, 1.688949e-08, 8.051681e-05, 1.354396e-08, 2.619490e-06, 1.520577e-07, 2.555851e-08, 1.632168e-07, 6.424374e-08, 1.642274e-08, 3.815038e-09, 1.885810e-02, 5.938500e+00, 5.467919e+03, 5.477494e+03
1.404081e-01, 1.852680e-02, 1.130973e+00, 1.017876e-01, 1.130973e+00, 2.914013e-01, 1.766800e-01, -7.808011e+06, 1.779332e+03, 2.501106e+04, 1.779332e+03, 4.700004e+06, 2.983085e-03, 2.930952e-01, 2.351201e-05, 4.366924e-11, 2.993063e-01, 1.714225e-06, 2.688367e-13, 3.158900e-01, 8.622923e-02, 2.443093e-03, 3.994794e-06, 3.958128e-07, 2.205697e-06, 2.299133e-07, 2.915595e-07, 1.391542e-07, 5.239542e-06, 2.901657e-09, 1.410369e-05, 5.795173e-09, 1.053326e-06, 1.517845e-07, 2.257334e-09, 1.278906e-08, 5.017237e-09, 1.152069e-09, 1.139361e-10, 1.874971e-02, 5.956635e+00, 2.486126e+03, 2.491530e+03
1.470000e-01, 4.117161e-02, 1.130973e+00, 1.017876e-01, 1.130973e+00, 2.908747e-01, 1.766800e-01, -2.688980e+06, 1.770944e+03, 2.501106e+04, 1.770944e+03, 4.700004e+06, 2.974397e-03, 2.963322e-01, 2.209591e-05, 3.558774e-11, 2.972408e-01, 1.552095e-06, 2.227509e-13, 3.167192e-01, 8.570096e-02, 1.001002e-03, 1.522351e-06, 1.552415e-07, 2.029161e-06, 2.217953e-07, 2.940821e-07, 2.304318e-08, 8.441471e-07, 4.318770e-10, 2.118365e-06, 2.289376e-09, 4.012558e-07, 1.516291e-07, 1.451278e-10, 7.703369e-10, 3.016836e-10, 6.543873e-11, 2.550196e-12, 1.869510e-02, 5.967419e+00, 1.008500e+03, 1.012166e+03
1.554454e-01, 7.022261e-02, 1.130973e+00, 1.017876e-01, 1.130973e+00, 2.905828e-01, 1.766800e-01, -8.665374e+05, 1.766927e+03, 2.501106e+04, 1.766927e+03, 4.700004e+06, 2.970632e-03, 2.977580e-01, 2.149142e-05, 3.269902e-11, 2.963273e-01, 1.483885e-06, 2.055256e-13, 3.170523e-01, 8.549436e-02, 3.707222e-04, 5.460025e-07, 5.922247e-08, 1.961334e-06, 2.184251e-07, 2.949103e-07, 3.160232e-09, 1.147841e-07, 5.670172e-11, 2.786502e-07, 8.371905e-10, 1.439356e-07, 1.515571e-07, 7.210625e-12, 3.688334e-11, 1.443864e-11, 3.055385e-12, 4.349516e-14, 1.867143e-02, 5.973414e+00, 3.720618e+02, 3.750416e+02
1.590000e-01, 8.245683e-02, 1.130973e+00, 1.017876e-01, 1.130973e+00, 2.905072e-01, 1.766800e-01, -5.887000e+05, 1.766044e+03, 2.501106e+04, 1.766044e+03, 4.700004e+06, 2.969920e-03, 2.980340e-01, 2.137317e-05, 3.214184e-11, 2.961484e-01, 1.470432e-06, 2.023014e-13, 3.171086e-01, 8.546174e-02, 2.512453e-04, 3.675886e-07, 4.158501e-08, 1.949127e-06, 2.178086e-07, 2.949871e-07, 1.458534e-09, 5.288600e-08, 2.592682e-11, 1.274679e-07, 5.662130e-10, 9.694429e-08, 1.515430e-07, 2.264838e-12, 1.165451e-11, 4.558037e-12, 9.534363e-13, 1.023608e-14, 1.866696e-02, 5.974969e+00, 2.519767e+02, 2.548314e+02
1.710000e-01, 1.237776e-01, 1.130973e+00, 1.017876e-01, 1.130973e+00, 2.903274e-01, 1.766800e-01, -1.328856e+05, 1.764338e+03, 2.501106e+04, 1.764338e+03, 4.700004e+06, 2.968888e-03, 2.984557e-01, 2.113983e-05, 3.112857e-11, 2.958677e-01, 1.445182e-06, 1.963396e-13, 3.171685e-01, 8.543600e-02, 7.790041e-05, 1.126220e-07, 1.632120e-08, 1.931918e-06, 2.165223e-07, 2.951197e-07, 1.421981e-10, 5.259838e-09, 2.547236e-12, 1.251705e-08, 1.752079e-10, 2.980903e-08, 1.515262e-07, 6.863538e-14, 3.458343e-13, 1.353272e-13, 2.812390e-14, 9.382924e-17, 1.866048e-02, 5.978668e+00, 7.804889e+01, 8.072451e+01
1.830000e-01, 1.651202e-01, 1.130973e+00, 1.017876e-01, 1.130973e+00, 2.901905e-01, 1.766800e-01, -9.559988e+03, 1.763352e+03, 2.501106e+04, 1.763352e+03, 4.700004e+06, 2.968628e-03, 2.985902e-01, 2.098542e-05, 3.054770e-11, 2.957689e-01, 1.430196e-06, 1.927857e-13, 3.171555e-01, 8.545757e-02, 3.415269e-05, 4.903268e-08, 1.001533e-08, 1.927838e-06, 2.155405e-07, 2.952613e-07, 2.754967e-11, 1.062443e-09, 5.123364e-13, 2.515140e-09, 7.681446e-11, 1.307757e-08, 1.515281e-07, 6.951524e-15, 3.458398e-14, 1.353356e-14, 2.783115e-15, 1.006416e-17, 1.865884e-02, 5.981489e+00, 3.420894e+01, 3.683957e+01
