Distance_PFRC2_(m), Plug_flow_residence_time_PFRC2_(sec), Internal_surface_area_per_unit_distance_PFRC2_(m), Cross-section_area_PFRC2_(m2), External_surface_area_per_unit_distance_PFRC2_(m), Velocity_PFRC2_(m/sec), Exit_mass_flow_rate_PFRC2_(kg/sec), Volumetric_heat_production_rate_PFRC2_(J/m3-sec), Surface_temperature_PFRC2_(K), Heat_loss_rate_PFRC2_(J/m-sec), Temperature_PFRC2_(K), Pressure_PFRC2_(Pa), Mole_fraction_N2_PFRC2_(), Mole_fraction_H2_PFRC2_(), Mole_fraction_H_PFRC2_(), Mole_fraction_O2_PFRC2_(), Mole_fraction_H2O_PFRC2_(), Mole_fraction_OH_PFRC2_(), Mole_fraction_HO2_PFRC2_(), Mole_fraction_CO_PFRC2_(), Mole_fraction_CO2_PFRC2_(), Mole_fraction_CH4_PFRC2_(), Mole_fraction_CH3_PFRC2_(), Mole_fraction_CH3OH_PFRC2_(), Mole_fraction_CH2O_PFRC2_(), Mole_fraction_HCO_PFRC2_(), Mole_fraction_HOCHO_PFRC2_(), Mole_fraction_C2H6_PFRC2_(), Mole_fraction_C2H5_PFRC2_(), Mole_fraction_C2H4_PFRC2_(), Mole_fraction_C2H3_PFRC2_(), Mole_fraction_C2H2_PFRC2_(), Mole_fraction_CH3CHO_PFRC2_(), Mole_fraction_CH2CO_PFRC2_(), Mole_fraction_HCCO_PFRC2_(), Mole_fraction_HCOOH_PFRC2_(), Mole_fraction_C3H6_PFRC2_(), Mole_fraction_C3H5-A_PFRC2_(), Mole_fraction_C3H4-P_PFRC2_(), Mole_fraction_C3H4-A_PFRC2_(), Mole_fraction_C3H3_PFRC2_(), Mole_fraction_C4H6_PFRC2_(), Mole_fraction_C4H4_PFRC2_(), Mole_fraction_C4H2_PFRC2_(), Mole_fraction_C6H6_PFRC2_(), Molecular_weight_PFRC2_(kg/mole), Mass_density_PFRC2_(kg/m3), Unburned_hydrocarbons_PFRC2_(ppm), Volatile_organic_compounds_PFRC2_(ppm)
1.350000e-01, 0.000000e+00, 1.130973e+00, 1.017876e-01, 1.130973e+00, 2.930610e-01, 1.314957e-01, 3.338626e+07, 1.810039e+03, 0.000000e+00, 1.810039e+03, 4.700000e+06, 3.591109e-03, 4.684663e-01, 3.929627e-05, 1.336389e-05, 1.999027e-01, 1.283587e-06, 3.119702e-08, 2.790575e-01, 3.075783e-02, 1.753810e-02, 2.990112e-05, 1.339861e-06, 3.544175e-06, 3.120360e-07, 1.439393e-07, 5.660587e-06, 4.229815e-08, 1.883837e-04, 1.119337e-07, 3.944001e-04, 4.233462e-08, 5.422091e-06, 1.063759e-08, 8.818727e-08, 3.967952e-07, 1.162493e-08, 1.694112e-06, 6.710850e-07, 1.489357e-07, 3.450705e-08, 7.142295e-08, 5.922615e-08, 2.392402e-08, 1.411508e-02, 4.408173e+00, 1.875481e+04, 1.877123e+04
1.350083e-01, 2.839671e-05, 1.130973e+00, 1.017876e-01, 1.130973e+00, 2.930713e-01, 1.314957e-01, -1.348994e+07, 1.810055e+03, 2.501106e+04, 1.810055e+03, 4.700004e+06, 3.591012e-03, 4.684910e-01, 3.890327e-05, 4.644390e-06, 1.998953e-01, 1.270086e-06, 1.080343e-08, 2.790677e-01, 3.075781e-02, 1.752095e-02, 2.957654e-05, 1.322574e-06, 3.527707e-06, 3.089148e-07, 1.446391e-07, 5.524883e-06, 4.169039e-08, 1.880687e-04, 1.107014e-07, 3.940626e-04, 4.197220e-08, 5.403093e-06, 1.046686e-08, 8.820198e-08, 3.935009e-07, 1.149803e-08, 1.692370e-06, 6.702231e-07, 1.483097e-07, 3.431175e-08, 7.131997e-08, 5.917094e-08, 2.392018e-08, 1.411470e-02, 4.408018e+00, 1.873573e+04, 1.875208e+04
1.350715e-01, 2.438980e-04, 1.130973e+00, 1.017876e-01, 1.130973e+00, 2.930424e-01, 1.314957e-01, -3.870556e+07, 1.809419e+03, 2.501106e+04, 1.809419e+03, 4.700004e+06, 3.590106e-03, 4.687445e-01, 3.850431e-05, 1.766417e-09, 1.997220e-01, 1.253220e-06, 4.162828e-12, 2.791370e-01, 3.074637e-02, 1.739807e-02, 2.905721e-05, 1.296370e-06, 3.508481e-06, 3.063475e-07, 1.451758e-07, 5.422379e-06, 4.089352e-08, 1.859204e-04, 1.082524e-07, 3.878469e-04, 4.144738e-08, 5.333079e-06, 1.020639e-08, 8.817747e-08, 3.846191e-07, 1.117658e-08, 1.652672e-06, 6.543346e-07, 1.439719e-07, 3.336099e-08, 6.938773e-08, 5.732072e-08, 2.367413e-08, 1.411113e-02, 4.408453e+00, 1.859516e+04, 1.861132e+04
1.359256e-01, 3.160766e-03, 1.130973e+00, 1.017876e-01, 1.130973e+00, 2.926202e-01, 1.314957e-01, -2.938569e+07, 1.801477e+03, 2.501106e+04, 1.801477e+03, 4.700004e+06, 3.579505e-03, 4.717008e-01, 3.618741e-05, 9.857242e-12, 1.976178e-01, 1.137853e-06, 8.483029e-14, 2.799730e-01, 3.058325e-02, 1.602035e-02, 2.500945e-05, 1.123428e-06, 3.410689e-06, 2.950701e-07, 1.459482e-07, 4.536463e-06, 3.259246e-08, 1.506469e-04, 8.148042e-08, 2.958390e-04, 3.722680e-08, 4.632550e-06, 8.288132e-09, 8.777592e-08, 2.806540e-07, 7.761118e-09, 1.141807e-06, 4.512673e-07, 9.431853e-08, 2.147088e-08, 4.277275e-08, 3.306276e-08, 1.350920e-08, 1.406947e-02, 4.414814e+00, 1.695405e+04, 1.696851e+04
1.399287e-01, 1.687448e-02, 1.130973e+00, 1.017876e-01, 1.130973e+00, 2.913133e-01, 1.314957e-01, -1.414453e+07, 1.778853e+03, 2.501106e+04, 1.778853e+03, 4.700004e+06, 3.550408e-03, 4.798390e-01, 3.017322e-05, 6.531950e-12, 1.919137e-01, 8.605168e-07, 5.253045e-14, 2.821684e-01, 3.014907e-02, 1.213254e-02, 1.555855e-05, 7.152954e-07, 3.199674e-06, 2.639871e-07, 1.482216e-07, 2.439381e-06, 1.480157e-08, 7.164242e-05, 3.124481e-08, 1.181038e-04, 2.641011e-08, 2.979056e-06, 4.377412e-09, 8.667131e-08, 9.472233e-08, 2.268872e-09, 3.291275e-07, 1.293870e-07, 2.329868e-08, 4.671035e-09, 8.092427e-09, 5.143998e-09, 1.431501e-09, 1.395510e-02, 4.434619e+00, 1.253439e+04, 1.254484e+04
1.470000e-01, 4.120658e-02, 1.130973e+00, 1.017876e-01, 1.130973e+00, 2.900507e-01, 1.314957e-01, -6.867049e+06, 1.759169e+03, 2.501106e+04, 1.759169e+03, 4.700004e+06, 3.526404e-03, 4.865992e-01, 2.564284e-05, 4.164390e-12, 1.872625e-01, 6.722235e-07, 3.340712e-14, 2.838583e-01, 2.982414e-02, 8.809349e-03, 9.483736e-06, 4.486272e-07, 3.083195e-06, 2.386816e-07, 1.501635e-07, 1.213781e-06, 6.324396e-09, 3.191294e-05, 1.149296e-08, 4.506609e-05, 1.836117e-08, 1.888422e-06, 2.327251e-09, 8.575262e-08, 2.895089e-08, 6.107773e-10, 8.747968e-08, 3.422707e-08, 5.399447e-09, 8.981109e-10, 1.375789e-09, 7.354688e-10, 1.254981e-10, 1.386075e-02, 4.453924e+00, 8.975739e+03, 8.983572e+03
1.590000e-01, 8.267091e-02, 1.130973e+00, 1.017876e-01, 1.130973e+00, 2.888767e-01, 1.314957e-01, -3.336266e+06, 1.742412e+03, 2.501106e+04, 1.742412e+03, 4.700004e+06, 3.507010e-03, 4.920945e-01, 2.225115e-05, 2.825421e-12, 1.835154e-01, 5.432006e-07, 2.265417e-14, 2.851599e-01, 2.958787e-02, 6.072141e-03, 5.616526e-06, 2.760800e-07, 3.022771e-06, 2.184449e-07, 1.517824e-07, 5.483091e-07, 2.499967e-09, 1.308458e-05, 3.991252e-09, 1.616623e-05, 1.228909e-08, 1.163147e-06, 1.229924e-09, 8.500736e-08, 7.796375e-09, 1.474037e-10, 2.087971e-08, 8.135670e-09, 1.144505e-09, 1.472324e-10, 2.029011e-10, 9.340517e-11, 8.662828e-12, 1.378452e-02, 4.472025e+00, 6.137486e+03, 6.143598e+03
1.710000e-01, 1.242668e-01, 1.130973e+00, 1.017876e-01, 1.130973e+00, 2.881493e-01, 1.314957e-01, -2.046303e+06, 1.732814e+03, 2.501106e+04, 1.732814e+03, 4.700004e+06, 3.496494e-03, 4.950908e-01, 2.048539e-05, 2.258717e-12, 1.814783e-01, 4.802936e-07, 1.810452e-14, 2.858413e-01, 2.947463e-02, 4.574242e-03, 3.874439e-06, 1.973822e-07, 3.001367e-06, 2.073865e-07, 1.526999e-07, 3.022004e-07, 1.274566e-09, 6.815246e-06, 1.887959e-09, 7.794184e-06, 9.125668e-09, 8.222524e-07, 7.953861e-10, 8.460512e-08, 2.975773e-09, 5.280589e-11, 7.432154e-09, 2.888966e-09, 3.803079e-10, 3.939695e-11, 5.110391e-11, 2.159613e-11, 1.221863e-12, 1.374319e-02, 4.483313e+00, 4.607988e+03, 4.613299e+03
1.830000e-01, 1.659517e-01, 1.130973e+00, 1.017876e-01, 1.130973e+00, 2.876225e-01, 1.314957e-01, -1.303389e+06, 1.726298e+03, 2.501106e+04, 1.726298e+03, 4.700004e+06, 3.489726e-03, 4.970293e-01, 1.935381e-05, 1.939575e-12, 1.801603e-01, 4.416451e-07, 1.554347e-14, 2.862678e-01, 2.941115e-02, 3.606219e-03, 2.876156e-06, 1.519541e-07, 2.991558e-06, 2.000718e-07, 1.533333e-07, 1.841468e-07, 7.364361e-10, 3.995147e-06, 1.036544e-09, 4.334463e-06, 7.131155e-09, 6.210392e-07, 5.652775e-10, 8.434948e-08, 1.349378e-09, 2.294387e-11, 3.212182e-09, 1.246653e-09, 1.570329e-10, 1.341749e-11, 1.675357e-11, 6.766002e-12, 2.531124e-13, 1.371659e-02, 4.491525e+00, 3.626144e+03, 3.630985e+03
1.950000e-01, 2.077043e-01, 1.130973e+00, 1.017876e-01, 1.130973e+00, 2.872071e-01, 1.314957e-01, -1.076786e+06, 1.721461e+03, 2.501106e+04, 1.721461e+03, 4.700004e+06, 3.484983e-03, 4.983956e-01, 1.855264e-05, 1.732892e-12, 1.792303e-01, 4.150580e-07, 1.388290e-14, 2.865585e-01, 2.937396e-02, 2.926156e-03, 2.231427e-06, 1.224710e-07, 2.986505e-06, 1.947948e-07, 1.537866e-07, 1.194873e-07, 4.591530e-10, 2.518844e-06, 6.221239e-10, 2.627610e-06, 5.750792e-09, 4.882433e-07, 4.245952e-10, 8.417319e-08, 6.810585e-10, 1.120016e-11, 1.563787e-09, 6.060963e-10, 7.357271e-11, 5.275999e-12, 6.381833e-12, 2.418827e-12, 6.840934e-14, 1.369794e-02, 4.498022e+00, 2.938930e+03, 2.943463e+03
