Distance_PFRC2_(m), Plug_flow_residence_time_PFRC2_(sec), Internal_surface_area_per_unit_distance_PFRC2_(m), Cross-section_area_PFRC2_(m2), External_surface_area_per_unit_distance_PFRC2_(m), Velocity_PFRC2_(m/sec), Exit_mass_flow_rate_PFRC2_(kg/sec), Volumetric_heat_production_rate_PFRC2_(J/m3-sec), Surface_temperature_PFRC2_(K), Heat_loss_rate_PFRC2_(J/m-sec), Temperature_PFRC2_(K), Pressure_PFRC2_(Pa), Mole_fraction_H2_PFRC2_(), Mole_fraction_H_PFRC2_(), Mole_fraction_O2_PFRC2_(), Mole_fraction_OH_PFRC2_(), Mole_fraction_H2O_PFRC2_(), Mole_fraction_CH3_PFRC2_(), Mole_fraction_CH4_PFRC2_(), Mole_fraction_CO_PFRC2_(), Mole_fraction_CO2_PFRC2_(), Mole_fraction_HCO_PFRC2_(), Mole_fraction_CH2O_PFRC2_(), Mole_fraction_CH3OH_PFRC2_(), Mole_fraction_C2H2_PFRC2_(), Mole_fraction_C2H3_PFRC2_(), Mole_fraction_C2H4_PFRC2_(), Mole_fraction_C2H5_PFRC2_(), Mole_fraction_C2H6_PFRC2_(), Mole_fraction_CH2CO_PFRC2_(), Mole_fraction_HCCOH_PFRC2_(), Mole_fraction_NH3_PFRC2_(), Mole_fraction_N2_PFRC2_(), Mole_fraction_CH3CHO_PFRC2_(), Molecular_weight_PFRC2_(kg/mole), Mass_density_PFRC2_(kg/m3), Unburned_hydrocarbons_PFRC2_(ppm), Volatile_organic_compounds_PFRC2_(ppm)
1.350000e-01, 0.000000e+00, 1.130973e+00, 1.017876e-01, 1.130973e+00, 2.933286e-01, 1.766800e-01, 3.700891e+07, 1.823864e+03, 0.000000e+00, 1.823864e+03, 4.700000e+06, 2.736865e-01, 3.350301e-05, 8.485357e-06, 2.663150e-06, 3.122243e-01, 2.591566e-05, 1.053600e-02, 3.090520e-01, 9.038375e-02, 2.693862e-07, 2.551742e-06, 8.975872e-07, 7.926710e-04, 1.690987e-07, 2.060701e-04, 6.519426e-08, 3.588972e-06, 2.593583e-06, 3.334581e-07, 1.230699e-08, 3.037648e-03, 1.566997e-08, 1.909270e-02, 5.917498e+00, 1.256706e+04, 1.257667e+04
1.350069e-01, 2.363752e-05, 1.130973e+00, 1.017876e-01, 1.130973e+00, 2.933351e-01, 1.766800e-01, -1.947705e+07, 1.823869e+03, 2.501106e+04, 1.823869e+03, 4.700003e+06, 2.737025e-01, 3.327702e-05, 2.157104e-06, 2.644053e-06, 3.122226e-01, 2.571486e-05, 1.052349e-02, 3.090643e-01, 9.037688e-02, 2.675778e-07, 2.538402e-06, 8.885491e-07, 7.926495e-04, 1.677954e-07, 2.057964e-04, 6.423758e-08, 3.488218e-06, 2.561539e-06, 3.333192e-07, 1.230745e-08, 3.037588e-03, 1.539719e-08, 1.909232e-02, 5.917367e+00, 1.255355e+04, 1.256307e+04
1.350512e-01, 1.746293e-04, 1.130973e+00, 1.017876e-01, 1.130973e+00, 2.933151e-01, 1.766800e-01, -3.709200e+07, 1.823457e+03, 2.501106e+04, 1.823457e+03, 4.700003e+06, 2.738488e-01, 3.310118e-05, 6.497895e-10, 2.625130e-06, 3.121412e-01, 2.537853e-05, 1.044515e-02, 3.091448e-01, 9.031616e-02, 2.665291e-07, 2.523977e-06, 8.755783e-07, 7.902565e-04, 1.664126e-07, 2.051976e-04, 6.363042e-08, 3.441774e-06, 2.521395e-06, 3.314529e-07, 1.230979e-08, 3.037108e-03, 1.504761e-08, 1.908930e-02, 5.917770e+00, 1.246880e+04, 1.247821e+04
1.359185e-01, 3.132928e-03, 1.130973e+00, 1.017876e-01, 1.130973e+00, 2.930465e-01, 1.766800e-01, -2.288112e+07, 1.817169e+03, 2.501106e+04, 1.817169e+03, 4.700003e+06, 2.765267e-01, 3.163548e-05, 1.051155e-10, 2.435391e-06, 3.103446e-01, 2.148991e-05, 9.338668e-03, 3.102020e-01, 8.966984e-02, 2.599818e-07, 2.405393e-06, 7.405482e-07, 6.485501e-04, 1.344867e-07, 1.757552e-04, 5.278995e-08, 2.832965e-06, 2.122976e-06, 2.611273e-07, 1.235069e-08, 3.029409e-03, 1.320625e-08, 1.904091e-02, 5.923194e+00, 1.101482e+04, 1.102303e+04
1.390824e-01, 1.394110e-02, 1.130973e+00, 1.017876e-01, 1.130973e+00, 2.924590e-01, 1.766800e-01, -1.292984e+07, 1.803131e+03, 2.501106e+04, 1.803131e+03, 4.700003e+06, 2.827161e-01, 2.847419e-05, 7.629893e-11, 2.047984e-06, 3.060682e-01, 1.405446e-05, 6.929019e-03, 3.124859e-01, 8.837475e-02, 2.449756e-07, 2.189900e-06, 4.806452e-07, 2.787411e-04, 5.650548e-08, 8.490090e-05, 2.486527e-08, 1.483921e-06, 1.257953e-06, 1.022429e-07, 1.246203e-08, 3.012045e-03, 8.588108e-09, 1.893178e-02, 5.935093e+00, 7.673493e+03, 7.679151e+03
1.466095e-01, 3.972129e-02, 1.130973e+00, 1.017876e-01, 1.130973e+00, 2.915774e-01, 1.766800e-01, -5.505105e+06, 1.786225e+03, 2.501106e+04, 1.786225e+03, 4.700003e+06, 2.896962e-01, 2.500021e-05, 5.164359e-11, 1.661821e-06, 3.014433e-01, 6.966038e-06, 4.002770e-03, 3.146861e-01, 8.705059e-02, 2.270951e-07, 2.006463e-06, 2.393829e-07, 6.734710e-05, 1.328038e-08, 2.364839e-05, 6.736303e-09, 4.622872e-07, 5.715233e-07, 2.213942e-08, 1.259699e-08, 2.992827e-03, 4.358313e-09, 1.881098e-02, 5.953038e+00, 4.192693e+03, 4.196365e+03
1.470000e-01, 4.106049e-02, 1.130973e+00, 1.017876e-01, 1.130973e+00, 2.915444e-01, 1.766800e-01, -5.299714e+06, 1.785653e+03, 2.501106e+04, 1.785653e+03, 4.700003e+06, 2.899239e-01, 2.488880e-05, 5.096495e-11, 1.650090e-06, 3.012952e-01, 6.759564e-06, 3.904383e-03, 3.147518e-01, 8.700992e-02, 2.264965e-07, 2.001512e-06, 2.324359e-07, 6.338505e-05, 1.248727e-08, 2.236456e-05, 6.364517e-09, 4.388414e-07, 5.533764e-07, 2.076074e-08, 1.260142e-08, 2.992207e-03, 4.235673e-09, 1.880708e-02, 5.953712e+00, 4.083558e+03, 4.087178e+03
1.565594e-01, 7.388605e-02, 1.130973e+00, 1.017876e-01, 1.130973e+00, 2.909458e-01, 1.766800e-01, -2.535677e+06, 1.775901e+03, 2.501106e+04, 1.775901e+03, 4.700003e+06, 2.937014e-01, 2.305641e-05, 4.069267e-11, 1.462686e-06, 2.988540e-01, 3.573145e-06, 2.255334e-03, 3.157889e-01, 8.636326e-02, 2.164411e-07, 1.928703e-06, 1.256942e-07, 1.759976e-05, 3.410377e-09, 6.739847e-06, 1.886305e-09, 1.409792e-07, 2.840217e-07, 5.419697e-09, 1.267442e-08, 2.981988e-03, 2.315691e-09, 1.874286e-02, 5.965961e+00, 2.307879e+03, 2.310735e+03
1.590000e-01, 8.227631e-02, 1.130973e+00, 1.017876e-01, 1.130973e+00, 2.908368e-01, 1.766800e-01, -2.147634e+06, 1.774261e+03, 2.501106e+04, 1.774261e+03, 4.700003e+06, 2.943123e-01, 2.275974e-05, 3.918502e-11, 1.433381e-06, 2.984611e-01, 3.100951e-06, 1.986668e-03, 3.159466e-01, 8.626476e-02, 2.147706e-07, 1.918564e-06, 1.099429e-07, 1.324555e-05, 2.559533e-09, 5.142533e-06, 1.435227e-09, 1.087214e-07, 2.456284e-07, 4.037572e-09, 1.268627e-08, 2.980351e-03, 2.023893e-09, 1.873256e-02, 5.968198e+00, 2.026771e+03, 2.029519e+03
1.710000e-01, 1.235671e-01, 1.130973e+00, 1.017876e-01, 1.130973e+00, 2.904373e-01, 1.766800e-01, -5.668302e+05, 1.768690e+03, 2.501106e+04, 1.768690e+03, 4.700003e+06, 2.962967e-01, 2.176110e-05, 3.447038e-11, 1.337643e-06, 2.971846e-01, 1.655183e-06, 1.114894e-03, 3.164315e-01, 8.596478e-02, 2.089847e-07, 1.888797e-06, 6.180292e-08, 3.764747e-06, 7.227419e-10, 1.531154e-06, 4.243416e-10, 3.355719e-08, 1.300484e-07, 1.109454e-09, 1.272648e-08, 2.975080e-03, 1.110380e-09, 1.869944e-02, 5.976406e+00, 1.127211e+03, 1.129637e+03
