Distance_PFRC2_(m), Plug_flow_residence_time_PFRC2_(sec), Internal_surface_area_per_unit_distance_PFRC2_(m), Cross-section_area_PFRC2_(m2), External_surface_area_per_unit_distance_PFRC2_(m), Velocity_PFRC2_(m/sec), Exit_mass_flow_rate_PFRC2_(kg/sec), Volumetric_heat_production_rate_PFRC2_(J/m3-sec), Surface_temperature_PFRC2_(K), Heat_loss_rate_PFRC2_(J/m-sec), Temperature_PFRC2_(K), Pressure_PFRC2_(Pa), Mole_fraction_H2_PFRC2_(), Mole_fraction_H_PFRC2_(), Mole_fraction_O2_PFRC2_(), Mole_fraction_OH_PFRC2_(), Mole_fraction_H2O_PFRC2_(), Mole_fraction_CH3_PFRC2_(), Mole_fraction_CH4_PFRC2_(), Mole_fraction_CO_PFRC2_(), Mole_fraction_CO2_PFRC2_(), Mole_fraction_HCO_PFRC2_(), Mole_fraction_CH2O_PFRC2_(), Mole_fraction_CH3OH_PFRC2_(), Mole_fraction_C2H2_PFRC2_(), Mole_fraction_C2H3_PFRC2_(), Mole_fraction_C2H4_PFRC2_(), Mole_fraction_C2H5_PFRC2_(), Mole_fraction_C2H6_PFRC2_(), Mole_fraction_CH2CO_PFRC2_(), Mole_fraction_HCCOH_PFRC2_(), Mole_fraction_NH3_PFRC2_(), Mole_fraction_N2_PFRC2_(), Mole_fraction_C3H8_PFRC2_(), Mole_fraction_CH3CHO_PFRC2_(), Molecular_weight_PFRC2_(kg/mole), Mass_density_PFRC2_(kg/m3), Unburned_hydrocarbons_PFRC2_(ppm), Volatile_organic_compounds_PFRC2_(ppm)
1.350000e-01, 0.000000e+00, 1.130973e+00, 1.017876e-01, 1.130973e+00, 2.942913e-01, 1.314957e-01, 3.435868e+07, 1.843157e+03, 0.000000e+00, 1.843157e+03, 4.700000e+06, 4.547732e-01, 5.050491e-05, 6.817041e-06, 1.697657e-06, 2.102126e-01, 5.202165e-05, 2.334553e-02, 2.741832e-01, 3.184248e-02, 3.419776e-07, 3.127680e-06, 8.099560e-07, 1.360551e-03, 3.875069e-07, 5.097420e-04, 2.106193e-07, 1.181556e-05, 3.151939e-06, 2.504150e-07, 2.573984e-08, 3.641513e-03, 1.531374e-08, 2.936138e-08, 1.431325e-02, 4.389745e+00, 2.716302e+04, 2.717418e+04
1.350057e-01, 1.923773e-05, 1.130973e+00, 1.017876e-01, 1.130973e+00, 2.942965e-01, 1.314957e-01, -2.404756e+07, 1.843155e+03, 2.501106e+04, 1.843155e+03, 4.700003e+06, 4.547902e-01, 5.036050e-05, 1.622151e-06, 1.692057e-06, 2.102071e-01, 5.184835e-05, 2.333350e-02, 2.741911e-01, 3.184117e-02, 3.410117e-07, 3.117372e-06, 8.035622e-07, 1.360541e-03, 3.862222e-07, 5.094568e-04, 2.093212e-07, 1.170677e-05, 3.125305e-06, 2.503071e-07, 2.574046e-08, 3.641443e-03, 1.409316e-08, 2.886117e-08, 1.431297e-02, 4.389666e+00, 2.715000e+04, 2.716109e+04
1.350341e-01, 1.157857e-04, 1.130973e+00, 1.017876e-01, 1.130973e+00, 2.942822e-01, 1.314957e-01, -4.024949e+07, 1.842849e+03, 2.501106e+04, 1.842849e+03, 4.700003e+06, 4.548995e-01, 5.020386e-05, 1.502979e-09, 1.684472e-06, 2.101362e-01, 5.154707e-05, 2.327441e-02, 2.742328e-01, 3.182533e-02, 3.402774e-07, 3.110745e-06, 7.973919e-07, 1.358447e-03, 3.845459e-07, 5.089238e-04, 2.084385e-07, 1.165763e-05, 3.098457e-06, 2.494482e-07, 2.574292e-08, 3.641016e-03, 1.402329e-08, 2.842624e-08, 1.431130e-02, 4.389880e+00, 2.708525e+04, 2.709626e+04
1.354968e-01, 1.688514e-03, 1.130973e+00, 1.017876e-01, 1.130973e+00, 2.941145e-01, 1.314957e-01, -2.757928e+07, 1.838773e+03, 2.501106e+04, 1.838773e+03, 4.700003e+06, 4.565180e-01, 4.870622e-05, 2.527177e-11, 1.604613e-06, 2.089353e-01, 4.833505e-05, 2.256536e-02, 2.748112e-01, 3.168665e-02, 3.344241e-07, 3.078882e-06, 7.477643e-07, 1.250119e-03, 3.502494e-07, 4.808101e-04, 1.938042e-07, 1.101594e-05, 2.907977e-06, 2.238117e-07, 2.578243e-08, 3.635035e-03, 1.292147e-08, 2.729219e-08, 1.428779e-02, 4.392384e+00, 2.609873e+04, 2.610922e+04
1.378607e-01, 9.734056e-03, 1.130973e+00, 1.017876e-01, 1.130973e+00, 2.935368e-01, 1.314957e-01, -1.896000e+07, 1.823942e+03, 2.501106e+04, 1.823942e+03, 4.700003e+06, 4.626053e-01, 4.347394e-05, 1.846522e-11, 1.337086e-06, 2.042790e-01, 3.792297e-05, 2.007203e-02, 2.769603e-01, 3.126835e-02, 3.130677e-07, 2.984325e-06, 5.857988e-07, 7.723012e-04, 2.104597e-07, 3.322019e-04, 1.302077e-07, 8.293498e-06, 2.220745e-06, 1.257657e-07, 2.594505e-08, 3.612811e-03, 8.259983e-09, 2.265579e-08, 1.420044e-02, 4.401027e+00, 2.233625e+04, 2.234489e+04
1.463187e-01, 3.862961e-02, 1.130973e+00, 1.017876e-01, 1.130973e+00, 2.920140e-01, 1.314957e-01, -8.571120e+06, 1.793944e+03, 2.501106e+04, 1.793944e+03, 4.700003e+06, 4.739280e-01, 3.429633e-05, 9.601366e-12, 9.226917e-07, 1.960358e-01, 2.186995e-05, 1.499400e-02, 2.804252e-01, 3.058129e-02, 2.716655e-07, 2.867134e-06, 3.427210e-07, 2.579826e-04, 6.631510e-08, 1.396176e-04, 5.165446e-08, 4.172073e-06, 1.263326e-06, 3.482510e-08, 2.622732e-08, 3.571922e-03, 2.817312e-09, 1.526293e-08, 1.403972e-02, 4.423979e+00, 1.581966e+04, 1.582577e+04
1.470000e-01, 4.096293e-02, 1.130973e+00, 1.017876e-01, 1.130973e+00, 2.919201e-01, 1.314957e-01, -8.177603e+06, 1.792316e+03, 2.501106e+04, 1.792316e+03, 4.700003e+06, 4.745118e-01, 3.384880e-05, 9.812384e-12, 9.041854e-07, 1.956225e-01, 2.116631e-05, 1.471968e-02, 2.805881e-01, 3.054900e-02, 2.695077e-07, 2.863102e-06, 3.322236e-07, 2.417642e-04, 6.194285e-08, 1.324960e-04, 4.886121e-08, 3.998312e-06, 1.223469e-06, 3.230856e-08, 2.624048e-08, 3.569829e-03, 2.636778e-09, 1.491813e-08, 1.403149e-02, 4.425402e+00, 1.549760e+04, 1.550361e+04
1.585679e-01, 8.068013e-02, 1.130973e+00, 1.017876e-01, 1.130973e+00, 2.906885e-01, 1.314957e-01, -4.398925e+06, 1.772401e+03, 2.501106e+04, 1.772401e+03, 4.700003e+06, 4.814351e-01, 2.875725e-05, 5.765300e-12, 7.045664e-07, 1.907823e-01, 1.374846e-05, 1.140113e-02, 2.824285e-01, 3.018971e-02, 2.439250e-07, 2.829371e-06, 2.222766e-07, 1.027874e-04, 2.527900e-08, 6.577434e-05, 2.329359e-08, 2.239615e-06, 8.084595e-07, 1.214743e-08, 2.638016e-08, 3.545119e-03, 1.073075e-09, 1.103830e-08, 1.393437e-02, 4.444151e+00, 1.175658e+04, 1.176155e+04
1.590000e-01, 8.216678e-02, 1.130973e+00, 1.017876e-01, 1.130973e+00, 2.906520e-01, 1.314957e-01, -4.307901e+06, 1.771846e+03, 2.501106e+04, 1.771846e+03, 4.700003e+06, 4.816219e-01, 2.862495e-05, 5.692305e-12, 6.996548e-07, 1.906530e-01, 1.357147e-05, 1.131020e-02, 2.824760e-01, 3.018065e-02, 2.432314e-07, 2.828806e-06, 2.196687e-07, 1.001847e-04, 2.461105e-08, 6.438809e-05, 2.277687e-08, 2.199837e-06, 7.986171e-07, 1.179912e-08, 2.638345e-08, 3.544455e-03, 1.043742e-09, 1.093851e-08, 1.393176e-02, 4.444709e+00, 1.165742e+04, 1.166236e+04
1.710000e-01, 1.235170e-01, 1.130973e+00, 1.017876e-01, 1.130973e+00, 2.898017e-01, 1.314957e-01, -2.807307e+06, 1.759422e+03, 2.501106e+04, 1.759422e+03, 4.700003e+06, 4.857208e-01, 2.579951e-05, 4.279397e-12, 5.978937e-07, 1.878284e-01, 9.983099e-06, 9.301689e-03, 2.834928e-01, 2.999143e-02, 2.280980e-07, 2.820739e-06, 1.669969e-07, 5.456840e-05, 1.305511e-08, 3.867266e-05, 1.332726e-08, 1.425545e-06, 5.983551e-07, 5.955714e-09, 2.644817e-08, 3.529927e-03, 5.345387e-10, 8.798070e-09, 1.387466e-02, 4.457750e+00, 9.501060e+03, 9.505507e+03
