Distance_PFRC2_(m), Plug_flow_residence_time_PFRC2_(sec), Internal_surface_area_per_unit_distance_PFRC2_(m), Cross-section_area_PFRC2_(m2), External_surface_area_per_unit_distance_PFRC2_(m), Velocity_PFRC2_(m/sec), Exit_mass_flow_rate_PFRC2_(kg/sec), Volumetric_heat_production_rate_PFRC2_(J/m3-sec), Surface_temperature_PFRC2_(K), Heat_loss_rate_PFRC2_(J/m-sec), Temperature_PFRC2_(K), Pressure_PFRC2_(Pa), Mole_fraction_BUTA123TRIENE_PFRC2_(), Mole_fraction_C2H2_PFRC2_(), Mole_fraction_C2H3_PFRC2_(), Mole_fraction_C2H3OH_PFRC2_(), Mole_fraction_C2H4_PFRC2_(), Mole_fraction_C2H5_PFRC2_(), Mole_fraction_C2H6_PFRC2_(), Mole_fraction_C3H3_PFRC2_(), Mole_fraction_C3H4-A_PFRC2_(), Mole_fraction_C3H4-P_PFRC2_(), Mole_fraction_C3H5-A_PFRC2_(), Mole_fraction_C3H6_PFRC2_(), Mole_fraction_C4H2_PFRC2_(), Mole_fraction_C4H4_PFRC2_(), Mole_fraction_C4H6_PFRC2_(), Mole_fraction_C5H6-L_PFRC2_(), Mole_fraction_C6H6_PFRC2_(), Mole_fraction_CH2CO_PFRC2_(), Mole_fraction_CH2O_PFRC2_(), Mole_fraction_CH3_PFRC2_(), Mole_fraction_CH3CHO_PFRC2_(), Mole_fraction_CH3COCHO_PFRC2_(), Mole_fraction_CH3OH_PFRC2_(), Mole_fraction_CH4_PFRC2_(), Mole_fraction_CO_PFRC2_(), Mole_fraction_CO2_PFRC2_(), Mole_fraction_H_PFRC2_(), Mole_fraction_H2_PFRC2_(), Mole_fraction_H2CC_PFRC2_(), Mole_fraction_H2O_PFRC2_(), Mole_fraction_HCCOH_PFRC2_(), Mole_fraction_HCN_PFRC2_(), Mole_fraction_HCO_PFRC2_(), Mole_fraction_HO2_PFRC2_(), Mole_fraction_HOCHO_PFRC2_(), Mole_fraction_N2_PFRC2_(), Mole_fraction_NH3_PFRC2_(), Mole_fraction_O2_PFRC2_(), Mole_fraction_OH_PFRC2_(), Molecular_weight_PFRC2_(kg/mole), Mass_density_PFRC2_(kg/m3), Unburned_hydrocarbons_PFRC2_(ppm), Volatile_organic_compounds_PFRC2_(ppm)
1.350000e-01, 0.000000e+00, 1.130973e+00, 1.017876e-01, 1.130973e+00, 2.936432e-01, 1.314957e-01, 3.385902e+07, 1.826122e+03, 0.000000e+00, 1.826122e+03, 4.700000e+06, 1.224013e-08, 6.560855e-04, 2.555511e-07, 4.427151e-07, 2.832194e-04, 9.934445e-08, 7.816938e-06, 3.381889e-07, 1.377816e-06, 3.454797e-06, 4.884189e-08, 1.212484e-06, 2.792613e-07, 3.661514e-07, 2.612271e-08, 5.114835e-05, 4.912049e-08, 2.022487e-06, 2.456079e-06, 4.007991e-05, 1.315545e-07, 2.151377e-07, 6.564013e-07, 2.050638e-02, 2.768404e-01, 3.127908e-02, 4.443014e-05, 4.618425e-01, 2.169434e-08, 2.048052e-01, 5.664283e-08, 1.496768e-08, 3.232492e-07, 2.969128e-08, 2.906275e-07, 3.615803e-03, 4.766276e-08, 1.206643e-05, 1.579907e-06, 1.421226e-02, 4.399433e+00, 2.271969e+04, 2.272947e+04
1.350154e-01, 5.231230e-05, 1.130973e+00, 1.017876e-01, 1.130973e+00, 2.936521e-01, 1.314957e-01, -3.125702e+07, 1.826082e+03, 2.501106e+04, 1.826082e+03, 4.700011e+06, 1.223405e-08, 6.553541e-04, 2.532710e-07, 4.400415e-07, 2.824801e-04, 9.816998e-08, 7.686944e-06, 3.358020e-07, 1.375792e-06, 3.448981e-06, 4.841753e-08, 1.205890e-06, 2.788782e-07, 3.659136e-07, 2.593595e-08, 5.115133e-05, 4.905600e-08, 2.009238e-06, 2.446052e-06, 3.972224e-05, 1.306164e-07, 2.151358e-07, 6.499755e-07, 2.047483e-02, 2.768588e-01, 3.127778e-02, 4.409974e-05, 4.618943e-01, 2.165825e-08, 2.047810e-01, 5.653059e-08, 1.496886e-08, 3.209122e-07, 3.387585e-09, 2.906875e-07, 3.615605e-03, 4.766585e-08, 1.379258e-06, 1.566919e-06, 1.421149e-02, 4.399300e+00, 2.268453e+04, 2.269426e+04
1.351820e-01, 6.198848e-04, 1.130973e+00, 1.017876e-01, 1.130973e+00, 2.935693e-01, 1.314957e-01, -3.515791e+07, 1.824375e+03, 2.501106e+04, 1.824375e+03, 4.700011e+06, 1.151608e-08, 6.327457e-04, 2.435136e-07, 4.248510e-07, 2.757662e-04, 9.530678e-08, 7.485759e-06, 3.146480e-07, 1.303497e-06, 3.268991e-06, 4.590493e-08, 1.154954e-06, 2.596281e-07, 3.448142e-07, 2.447071e-08, 5.117294e-05, 4.698973e-08, 1.953790e-06, 2.440644e-06, 3.855140e-05, 1.275913e-07, 2.149967e-07, 6.316680e-07, 2.016825e-02, 2.770483e-01, 3.124043e-02, 4.350290e-05, 4.625513e-01, 2.067839e-08, 2.043140e-01, 5.401208e-08, 1.498077e-08, 3.182212e-07, 1.535167e-13, 2.909114e-07, 3.613246e-03, 4.769642e-08, 2.324596e-11, 1.534235e-06, 1.420221e-02, 4.400540e+00, 2.231664e+04, 2.232619e+04
1.371837e-01, 7.447327e-03, 1.130973e+00, 1.017876e-01, 1.130973e+00, 2.928466e-01, 1.314957e-01, -2.089059e+07, 1.809595e+03, 2.501106e+04, 1.809595e+03, 4.700011e+06, 4.687231e-09, 3.891448e-04, 1.458828e-07, 2.653382e-07, 1.894603e-04, 6.349578e-08, 5.514294e-06, 1.484264e-07, 6.757677e-07, 1.700576e-06, 2.420935e-08, 6.663448e-07, 9.610678e-08, 1.428210e-07, 1.111910e-08, 5.057493e-05, 1.527729e-08, 1.502249e-06, 2.414671e-06, 2.969908e-05, 9.378332e-08, 2.137809e-07, 4.939830e-07, 1.761276e-02, 2.787704e-01, 3.089246e-02, 3.878642e-05, 4.682036e-01, 1.154327e-08, 2.002141e-01, 3.037938e-08, 1.482905e-08, 2.969952e-07, 1.019539e-13, 2.926474e-07, 3.592817e-03, 4.827810e-08, 1.325824e-11, 1.282221e-06, 1.412192e-02, 4.411400e+00, 1.907484e+04, 1.908284e+04
1.442291e-01, 3.157231e-02, 1.130973e+00, 1.017876e-01, 1.130973e+00, 2.914044e-01, 1.314957e-01, -8.325450e+06, 1.783985e+03, 2.501106e+04, 1.783985e+03, 4.700011e+06, 7.650038e-10, 1.472997e-04, 5.265603e-08, 1.036460e-07, 8.721129e-05, 2.768370e-08, 2.902830e-06, 3.365417e-08, 1.809415e-07, 4.580688e-07, 6.673765e-09, 2.152787e-07, 1.328201e-08, 2.405661e-08, 2.225596e-09, 4.644442e-05, 1.520641e-09, 9.200305e-07, 2.402171e-06, 1.787188e-05, 5.222619e-08, 2.117978e-07, 3.084405e-07, 1.323316e-02, 2.813578e-01, 3.037203e-02, 3.160462e-05, 4.774834e-01, 3.679971e-09, 1.936541e-01, 9.892535e-09, 1.340381e-08, 2.620184e-07, 5.743529e-14, 2.957360e-07, 3.559499e-03, 5.069940e-08, 7.471648e-12, 9.357306e-07, 1.399096e-02, 4.433233e+00, 1.396112e+04, 1.396724e+04
1.470000e-01, 4.108723e-02, 1.130973e+00, 1.017876e-01, 1.130973e+00, 2.910395e-01, 1.314957e-01, -6.641297e+06, 1.778085e+03, 2.501106e+04, 1.778085e+03, 4.700011e+06, 4.787051e-10, 1.147478e-04, 4.055662e-08, 8.140242e-08, 7.110648e-05, 2.228339e-08, 2.443267e-06, 2.301838e-08, 1.286288e-07, 3.260742e-07, 4.775061e-09, 1.598405e-07, 7.995778e-09, 1.516532e-08, 1.461489e-09, 4.497137e-05, 8.725606e-10, 8.140873e-07, 2.404018e-06, 1.569488e-05, 4.522912e-08, 2.113617e-07, 2.739795e-07, 1.224096e-02, 2.818945e-01, 3.026638e-02, 3.011790e-05, 4.795343e-01, 2.753520e-09, 1.922266e-01, 7.451729e-09, 1.288269e-08, 2.543283e-07, 5.024986e-14, 2.964618e-07, 3.552174e-03, 5.151933e-08, 6.536832e-12, 8.695709e-07, 1.396217e-02, 4.438791e+00, 1.286029e+04, 1.286608e+04
1.590000e-01, 8.240266e-02, 1.130973e+00, 1.017876e-01, 1.130973e+00, 2.899555e-01, 1.314957e-01, -3.310961e+06, 1.761658e+03, 2.501106e+04, 1.761658e+03, 4.700011e+06, 1.137381e-10, 5.349468e-05, 1.830190e-08, 3.892762e-08, 3.766736e-05, 1.138065e-08, 1.416384e-06, 7.249466e-09, 4.510417e-08, 1.147434e-07, 1.702407e-09, 6.322986e-08, 1.704667e-09, 3.681056e-09, 3.983717e-10, 3.974447e-05, 2.123109e-10, 5.629672e-07, 2.416533e-06, 1.056723e-05, 2.961931e-08, 2.101913e-07, 1.922816e-07, 9.539902e-03, 2.832868e-01, 3.000115e-02, 2.628444e-05, 4.850591e-01, 1.145853e-09, 1.884063e-01, 3.176074e-09, 1.118590e-08, 2.336766e-07, 3.454203e-14, 2.985200e-07, 3.532515e-03, 5.426353e-08, 4.493415e-12, 7.079288e-07, 1.388490e-02, 4.455385e+00, 9.935135e+03, 9.940202e+03
1.710000e-01, 1.238417e-01, 1.130973e+00, 1.017876e-01, 1.130973e+00, 2.892477e-01, 1.314957e-01, -2.181454e+06, 1.751795e+03, 2.501106e+04, 1.751795e+03, 4.700011e+06, 4.263310e-11, 3.189250e-05, 1.069635e-08, 2.363557e-08, 2.426810e-05, 7.170208e-09, 9.644059e-07, 3.331575e-09, 2.206290e-08, 5.622591e-08, 8.402010e-10, 3.321380e-08, 5.988533e-10, 1.396856e-09, 1.628503e-10, 3.573900e-05, 1.126043e-10, 4.395557e-07, 2.428364e-06, 8.090792e-06, 2.252429e-08, 2.095254e-07, 1.525139e-07, 7.984438e-03, 2.840485e-01, 2.986573e-02, 2.418253e-05, 4.882177e-01, 6.373889e-10, 1.862325e-01, 1.801296e-09, 1.010775e-08, 2.217712e-07, 2.752724e-14, 2.998004e-07, 3.521331e-03, 5.617941e-08, 3.581006e-12, 6.249864e-07, 1.384094e-02, 4.466288e+00, 8.285870e+03, 8.290597e+03
1.830000e-01, 1.653686e-01, 1.130973e+00, 1.017876e-01, 1.130973e+00, 2.887115e-01, 1.314957e-01, -1.575203e+06, 1.744779e+03, 2.501106e+04, 1.744779e+03, 4.700011e+06, 1.992772e-11, 2.136522e-05, 7.062049e-09, 1.607431e-08, 1.718316e-05, 4.995182e-09, 7.105063e-07, 1.833244e-09, 1.267072e-08, 3.231868e-08, 4.847583e-10, 2.003196e-08, 2.673687e-10, 6.590123e-10, 8.125217e-11, 3.247798e-05, 7.914827e-11, 3.630866e-07, 2.438312e-06, 6.581687e-06, 1.833531e-08, 2.090733e-07, 1.281807e-07, 6.923316e-03, 2.845519e-01, 2.978302e-02, 2.277535e-05, 4.903701e-01, 4.062627e-10, 1.847524e-01, 1.168386e-09, 9.375039e-09, 2.135456e-07, 2.341012e-14, 3.007456e-07, 3.513742e-03, 5.763829e-08, 3.045774e-12, 5.717758e-07, 1.381111e-02, 4.474583e+00, 7.171039e+03, 7.175563e+03
1.950000e-01, 2.069651e-01, 1.130973e+00, 1.017876e-01, 1.130973e+00, 2.882728e-01, 1.314957e-01, -1.206886e+06, 1.739340e+03, 2.501106e+04, 1.739340e+03, 4.700011e+06, 1.062398e-11, 1.533693e-05, 5.011642e-09, 1.169417e-08, 1.287726e-05, 3.696021e-09, 5.492025e-07, 1.123260e-09, 8.008438e-09, 2.043291e-08, 3.070286e-10, 1.312690e-08, 1.376775e-10, 3.539317e-10, 4.573044e-11, 2.972876e-05, 6.201122e-11, 3.100039e-07, 2.446706e-06, 5.549143e-06, 1.552245e-08, 2.087384e-07, 1.114925e-07, 6.135062e-03, 2.849163e-01, 2.972847e-02, 2.173186e-05, 4.919709e-01, 2.805223e-10, 1.836511e-01, 8.200729e-10, 8.848141e-09, 2.072964e-07, 2.064273e-14, 3.015072e-07, 3.508119e-03, 5.881898e-08, 2.686144e-12, 5.335761e-07, 1.378902e-02, 4.481393e+00, 6.346932e+03, 6.351318e+03
