Distance (mm),T (C),P (atm),H2,H,O,O2,OH,H2O,HO2,H2O2,C,CH,CH2,CH2(S),CH3,CH4,CO,CO2,HCO,CH2O,CH2OH,CH3O,CH3OH,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,HCCO,CH2CO,HCCOH,N,NH,NH2,NH3,NNH,NO,NO2,N2O,HNO,CN,HCN,H2CN,HCNN,HCNO,HOCN,HNCO,NCO,N2,AR,C3H7,C3H8,CH2CHO,CH3CHO
1e-11,26.85000086460599,29.607698001480387,6.440284914917598e-19,2.3548441133452305e-53,2.21785784848541e-42,0.3268149239347227,1.1085776543417245e-43,0.09263296811203127,3.041088701598298e-21,9.040832750368221e-23,1.3940335930441089e-38,4.317667483402136e-50,1.2303158821448369e-64,3.7706990585163345e-63,9.65567143443988e-25,0.37587227574595056,9.92319239672599e-25,0.189018193206276,2.0924508455049346e-53,2.553532563195658e-44,1.1400063826309113e-71,5.921959220405595e-40,2.6003887583136183e-53,2.8455477209835325e-69,5.803877149760637e-34,1.920956770509009e-51,6.42215559730786e-19,8.335429660622616e-32,0.011746008617060948,3.829322253583852e-77,2.1583813322760016e-37,4.41315751552996e-56,2.2302384478433033e-51,7.493843231468227e-57,1.5235672076420378e-55,3.565273722675543e-70,2.4743015163465753e-68,7.992029917362371e-61,2.530342295367881e-85,1.2872193883320953e-29,4.127755942076358e-68,7.354842680690884e-60,4.4586065488603714e-70,3.039717974312262e-78,2.192362099692462e-56,1.2649099303242284e-127,2.331358477963475e-128,4.902474080158036e-65,1.1159639000587858e-50,0.003915630383958337,0.0,7.425620970343373e-29,9.58068756270373e-46,2.1535337684091326e-56,4.468997766469458e-76
2e-11,26.85000086460599,29.607698001480387,6.440284914917598e-19,4.706626393341832e-53,4.435362899548012e-42,0.3268149239347227,2.2171552240904367e-43,0.09263296811203127,3.041088701598298e-21,9.040832750368221e-23,1.3938118425405003e-38,4.313254961848147e-50,2.4640480035694065e-64,7.537210660315338e-63,9.655671434439873e-25,0.37587227574595056,9.92319239672599e-25,0.189018193206276,4.182663995149952e-53,5.107065126389511e-44,3.4187212386345313e-71,5.921959199393806e-40,5.20077750740083e-53,2.844819041305747e-69,5.803877149760637e-34,1.9209487309958986e-51,6.42215559730786e-19,8.335429661278048e-32,0.011746008617060948,7.654852553938163e-77,2.1583813322760016e-37,4.41315751552996e-56,2.2302384470444044e-51,7.493842927626987e-57,1.5235672076420342e-55,7.130547445351079e-70,5.273029619352577e-68,1.5984059831739812e-60,7.59102688515859e-85,1.2872193883320953e-29,8.255511716790895e-68,7.354161793837164e-60,8.916764901737158e-70,6.079435947535657e-78,4.382294048611006e-56,6.3233003012260675e-127,1.165655785498593e-127,9.804948160316347e-65,1.115963900058849e-50,0.003915630383958337,0.0,7.425620970343373e-29,1.916137512540746e-45,4.307057878649533e-56,1.3406282411045162e-75
4e-11,26.85000086460599,29.607698001480387,6.440284914917598e-19,9.402764557187977e-53,8.86951636827464e-42,0.3268149239347227,4.434310158146509e-43,0.09263296811203127,3.041088701598298e-21,9.040832750368221e-23,1.3933684271965593e-38,4.304440868307462e-50,4.9397978830197925e-64,1.5060077612890412e-62,9.655671434439858e-25,0.37587227574595056,9.92319239672599e-25,0.189018193206276,8.357662438045382e-53,1.0214130252772836e-43,1.07378816232333e-70,5.921959157370229e-40,1.0401554983168261e-52,2.8433621350967417e-69,5.803877149760637e-34,1.9209326526153594e-51,6.42215559730786e-19,8.335429662588912e-32,0.011746008617060948,1.5296715546796923e-76,2.1583813322760016e-37,4.41315751552996e-56,2.2302384454466057e-51,7.493842319944535e-57,1.5235672076420272e-55,1.4261094890702132e-69,1.1657133383459988e-67,3.196811965324557e-60,2.3857513062781006e-84,1.2872193883320953e-29,1.6511022859769857e-67,7.352800173210371e-60,1.7831993353541868e-69,1.2158871891338055e-77,8.756263294396174e-56,3.429722081530461e-126,6.3272962227222754e-127,1.9609896320633646e-64,1.1159639000589754e-50,0.003915630383958337,0.0,7.425620970343373e-29,3.832275025081492e-45,8.61408264443735e-56,4.2130374760908516e-75
8e-11,26.85000086460599,29.607698001480387,6.440284914917598e-19,1.875778210530212e-52,1.7733518450045848e-41,0.3268149239347227,8.868618993549866e-43,0.09263296811203127,3.041088701598298e-21,9.040832750368221e-23,1.3924820269939232e-38,4.286867622094654e-50,9.932864568496106e-64,3.005485922228158e-62,9.655671434439827e-25,0.37587227574595056,9.92319239672599e-25,0.189018193206276,1.6680424458878612e-52,2.0428260505517465e-43,3.923067587268955e-70,5.9219590733230725e-40,2.080310982206905e-52,2.84045059949244e-69,5.803877149760637e-34,1.9209004990997603e-51,6.42215559730786e-19,8.335429665210637e-32,0.011746008617060948,3.0534293991665953e-76,2.1583813322760016e-37,4.41315751552996e-56,2.2302384422510088e-51,7.493841104579782e-57,1.5235672076420128e-55,2.852218978140413e-69,2.8370188545979777e-67,6.393623925981763e-60,8.728037832887024e-84,1.2872193883320953e-29,3.3022043102609686e-67,7.350077701326631e-60,3.565698157157364e-69,2.4317743765650185e-77,1.7474624962651622e-55,2.3226288113469747e-125,4.2909712638651944e-126,3.921979264127163e-64,1.115963900059228e-50,0.003915630383958337,0.0,7.425620970343373e-29,7.664550050162984e-45,1.7228014281938402e-55,1.5410086862573815e-74
1.6e-10,26.85000086460599,29.607698001480387,6.440284914917598e-19,3.732700536187103e-52,3.5445147779053985e-41,0.3268149239347227,1.7737232731628488e-42,0.09263296811203127,3.041088701598298e-21,9.040832750368221e-23,1.3907108640708805e-38,4.2519288580707256e-50,2.0076051173610618e-63,5.9851893708398354e-62,9.655671434439767e-25,0.37587227574595056,9.92319239672599e-25,0.189018193206276,3.3222976555539434e-52,4.085652101092294e-43,1.48556571129179e-69,5.92195890522877e-40,4.1606219070955815e-52,2.834636182970838e-69,5.803877149760637e-34,1.9208362044246148e-51,6.42215559730786e-19,8.335429670454091e-32,0.011746008617060948,6.083500908253647e-76,2.1583813322760016e-37,4.41315751552996e-56,2.2302384358598155e-51,7.493838673850852e-57,1.5235672076419844e-55,5.704437956280775e-69,7.667783417541895e-67,1.2787247833419895e-59,3.3175598917042024e-83,1.2872193883320953e-29,6.604407580802065e-67,7.344635685453107e-60,7.128615819882409e-69,4.863548746365546e-77,3.4799525262028966e-55,2.0159419962212883e-124,3.737052325578158e-125,7.84395852825605e-64,1.115963900059733e-50,0.003915630383958337,0.0,7.425620970343372e-29,1.532910010032597e-44,3.445542870960932e-55,5.854341262091512e-74
3.2e-10,26.85000086460599,29.607698001480387,6.440284914917598e-19,7.389082253684416e-52,7.080094120567739e-41,0.3268149239347227,3.5474443977124496e-42,0.09263296811203127,3.041088701598298e-21,9.040832750368221e-23,1.387175284742894e-38,4.182899586170043e-50,4.10030928301851e-63,1.1866049008947497e-61,9.655671434439645e-25,0.37587227574595056,9.92319239672599e-25,0.189018193206276,6.5887605824709954e-52,8.171304202138843e-43,5.806818577192112e-69,5.921958569040197e-40,8.321243579865542e-52,2.8230429718694127e-69,5.803877149760637e-34,1.9207076660485784e-51,6.42215559730786e-19,8.335429680940994e-32,0.011746008617060948,1.2072434893053714e-75,2.1583813322760016e-37,4.41315751552996e-56,2.2302384230774285e-51,7.493833812395354e-57,1.5235672076419275e-55,1.1408875912561339e-68,2.3385687409191234e-66,2.5574495591030623e-59,1.3061499481985589e-82,1.2872193883320953e-29,1.3208810911073069e-66,7.333763725119701e-60,1.4245882659106222e-68,9.727097465076833e-77,6.899273029404226e-55,1.620060316294206e-123,3.0223297047689502e-124,1.5687917056519134e-63,1.1159639000607419e-50,0.003915630383958337,0.0,7.425620970343369e-29,3.065820020065193e-44,6.890840583158435e-55,2.3025683583561206e-73
6.4e-10,26.85000086460599,29.607698001480387,6.440284914917598e-19,1.4477672680097717e-51,1.4124389277681578e-40,0.3268149239347227,7.094880160380821e-42,0.09263296811203127,3.041088701598298e-21,9.040832750368221e-23,1.3801309895950598e-38,4.0481549003643207e-50,8.535459300053407e-63,2.3321504613964428e-61,9.6556714344394e-25,0.37587227574595056,9.92319239672599e-25,0.189018193206276,1.2957428879049827e-51,1.6342608404094207e-42,2.2767541574091254e-68,5.921957896663174e-40,1.664248621808859e-51,2.79999808468229e-69,5.803877149760637e-34,1.9204507928380525e-51,6.42215559730786e-19,8.3354297019148e-32,0.011746008617060948,2.377231613102618e-75,2.1583813322760016e-37,4.41315751552996e-56,2.230238397512655e-51,7.4938240894938e-57,1.523567207641813e-55,2.281775182512182e-68,7.830881460017885e-66,5.114899087742047e-59,5.1947542336837837e-82,1.2872193883320953e-29,2.641760474130979e-66,7.312067942027598e-60,2.844630685217628e-68,1.9454194819024433e-76,1.3559564553037415e-54,1.281641612645159e-122,2.421324829188669e-123,3.13758341130665e-63,1.1159639000627542e-50,0.003915630383958337,0.0,7.425620970343367e-29,6.131640040130386e-44,1.3780696573866414e-54,9.139184545593452e-73
1.28e-09,26.85000086460599,29.607698001480387,6.440284914917598e-19,2.7798240461640254e-51,2.810610345699535e-40,0.3268149239347227,1.4189725691535384e-41,0.09263296811203127,3.041088701598298e-21,9.040832750368221e-23,1.3661492753544482e-38,3.7913644916634434e-50,1.8358698466534204e-62,4.506321905715063e-61,9.655671434438909e-25,0.37587227574595056,9.923192396725993e-25,0.189018193206276,2.5065381397413462e-51,3.2685216807455445e-42,8.840324208074793e-68,5.921956551909625e-40,3.328496866058872e-51,2.7544690027058694e-69,5.803877149760637e-34,1.9199378607329645e-51,6.42215559730786e-19,8.33542974386239e-32,0.011746008617060948,4.610839012169102e-75,2.1583813322760016e-37,4.41315751552996e-56,2.2302383463831082e-51,7.493804643728532e-57,1.523567207641585e-55,4.5635503650240224e-68,2.7682673732628336e-65,1.0229798053336035e-58,2.074405887995742e-81,1.2872193883320953e-29,5.283514099578981e-66,7.268868454323091e-60,5.6711503892368444e-68,3.890838919246761e-76,2.619691162438476e-54,9.97717625128799e-122,1.932254489072097e-122,6.275166822624576e-63,1.1159639000667606e-50,0.003915630383958337,0.0,7.425620970343361e-29,1.2263280080260771e-43,2.7557450024006454e-54,3.6348605169147646e-72
2.56e-09,26.85000086460599,29.607698001480387,6.440284914917598e-19,5.131835229401551e-51,5.5647987642095154e-40,0.3268149239347227,2.83793127294727e-41,0.09263296811203127,3.041088701598298e-21,9.040832750368221e-23,1.33860739073178e-38,3.3243227627057067e-50,4.146848759158302e-62,8.429288070745279e-61,9.65567143443793e-25,0.37587227574595056,9.923192396725997e-25,0.189018193206276,4.697521168095428e-51,6.537043361199711e-42,3.347397160224203e-67,5.921953862404516e-40,6.656992220939982e-51,2.6656036220745804e-69,5.803877149760637e-34,1.9189152443382806e-51,6.42215559730786e-19,8.335429827757503e-32,0.011746008617060948,8.689431734976669e-75,2.1583813322760016e-37,4.41315751552996e-56,2.230238244124019e-51,7.493765752349361e-57,1.5235672076411288e-55,9.12710073004668e-68,9.888158566090541e-65,2.045959561777499e-58,8.293216532237027e-81,1.2872193883320953e-29,1.0567000787415112e-65,7.183231535646611e-60,1.1270702868758826e-67,7.7816776601498e-76,4.896931530152566e-54,7.566717997562885e-121,1.5370256241779426e-121,1.2550333645293942e-62,1.1159639000746968e-50,0.003915630383958337,0.0,7.425620970343349e-29,2.452656016052152e-43,5.509915510603072e-54,1.4415730106064385e-71
5.12e-09,26.85000086460599,29.607698001480387,6.440284914917598e-19,8.794140259173198e-51,1.0909194256986407e-39,0.3268149239347227,5.675807032712932e-41,0.09263296811203127,3.041088701598298e-21,9.040832750368221e-23,1.2851634337036393e-38,2.5474984919170396e-50,9.92066537619283e-62,1.4857148853693278e-60,9.65567143443597e-25,0.37587227574595056,9.923192396726e-25,0.189018193206276,8.300605652813243e-51,1.3074086721247332e-41,1.2086746712649429e-66,5.92194848340226e-40,1.3313978395803188e-50,2.4962613410569835e-69,5.803877149760637e-34,1.916882927941557e-51,6.42215559730786e-19,8.335429995547459e-32,0.011746008617060948,1.5542062272537416e-74,2.1583813322760016e-37,4.41315751552996e-56,2.2302380396058538e-51,7.493687970196526e-57,1.5235672076402158e-55,1.8254201460087893e-67,3.406476551510277e-64,4.091918927951992e-58,3.3167801116152826e-80,1.2872193883320953e-29,2.113389190373457e-65,7.01495672704583e-60,2.2261548096062814e-67,1.556335460676338e-75,8.607058270414118e-54,5.478985668242591e-120,1.2157157861759262e-120,2.5100667290764386e-62,1.1159639000902693e-50,0.003915630383958337,0.0,7.425620970343326e-29,4.905312032104296e-43,1.101356139377821e-53,5.6746206568132325e-71
