Distance (mm),T (C),P (atm),H2,O2,H2O,CH4,CO,CO2,AR,PT(S),H(S),H2O(S),OH(S),CO(S),CO2(S),CH3(S),CH2(S),CH(S),C(S),O(S)
0.0,800.0000000000001,0.9999999999999999,4.373489198791773e-12,0.576923076915829,4.635424205912436e-12,0.3846153846092792,3.951565466741457e-12,5.528912356106438e-13,0.03846153846137837,0.5117896622357677,9.879083057457083e-06,1.2715620617336376e-06,0.005018090539840859,0.0005741859635502336,1.3140279115186623e-08,7.732740689142685e-06,1.0802352329517415e-08,3.4722806112149795e-11,1.057323700060305e-06,0.4825980965739785
2.44140625e-15,800.0000000000001,0.9999999999999999,8.309629479179577e-12,0.5769230769093059,8.807305998357986e-12,0.38461538460378425,7.507974389028167e-12,1.050493349740589e-12,0.038461538461234276,0.5117896622415318,9.87908306978187e-06,1.271562068322601e-06,0.005018090546430573,0.0005741859657222279,1.3140279167674243e-08,7.732740696906805e-06,1.0802352340479453e-08,3.472280614738471e-11,1.0573237011654835e-06,0.4825980965594248
4.6386718750000005e-15,800.0000000000001,0.9999999999999999,1.6181910045439813e-11,0.57692307689626,1.71510696096369e-11,0.3846153845927946,1.462079224183719e-11,2.0456975857011567e-12,0.03846153846094611,0.5117896622530603,9.87908309443087e-06,1.2715620815004322e-06,0.005018090559609693,0.0005741859700661907,1.3140279272648767e-08,7.732740712434688e-06,1.0802352362403026e-08,3.472280621785294e-11,1.0573237033757903e-06,0.48259809653031777
9.033203125e-15,800.0000000000001,1.0,3.192647120050207e-11,0.5769230768701676,3.383859694061021e-11,0.384615384570815,2.8846427981297303e-11,4.03610608925883e-12,0.03846153846036976,0.5117896622761164,9.879083143729484e-06,1.2715621078561948e-06,0.005018090585968261,0.0005741859787541433,1.3140279482598567e-08,7.732740743490841e-06,1.08023524062507e-08,3.4722806358791066e-11,1.0573237077964553e-06,0.4825980964721034
1.7822265624999998e-14,800.0000000000001,0.9999999999999999,6.341559360079333e-11,0.5769230768179832,6.721365203621807e-11,0.38461538452685595,5.729769959558545e-11,8.016923222920281e-12,0.038461538459217064,0.5117896623222292,9.879083242326558e-06,1.2715621605676925e-06,0.00501809063868531,0.0005741859961300418,1.314027990249798e-08,7.732740805603037e-06,1.0802352493945904e-08,3.4722806640666896e-11,1.0573237166377708e-06,0.4825980963556753
3.5400390625e-14,800.0000000000001,1.0,1.2639383876204313e-10,0.5769230767136143,1.3396376396207938e-10,0.3846153844389378,1.1420024336563377e-10,1.5978557996427647e-11,0.03846153845691167,0.5117896624144546,9.879083439520756e-06,1.2715622659907019e-06,0.005018090744119438,0.0005741860308818418,1.3140280742296882e-08,7.732740929827471e-06,1.080235266933638e-08,3.4722807204418756e-11,1.0573237343204096e-06,0.48259809612281823
7.0556640625e-14,800.0000000000001,0.9999999999999999,2.523503305272109e-10,0.5769230765048763,2.6746399475238285e-10,0.3846153842631014,2.280053330716175e-10,3.190182956818014e-11,0.03846153845230086,0.5117896625989055,9.87908383390908e-06,1.2715624768367153e-06,0.0050180909549876525,0.0005741861003854386,1.3140282421894633e-08,7.732741178276283e-06,1.0802353020117242e-08,3.4722808331922205e-11,1.057323769685679e-06,0.48259809565710465
1.40869140625e-13,800.0000000000001,0.9999999999999999,5.042633198282295e-10,0.5769230760874003,5.344644840873315e-10,0.3846153839114286,4.5561552114714237e-10,6.374838081063802e-11,0.03846153844307926,0.5117896629678076,9.879084622686201e-06,1.2715628985288598e-06,0.005018091376724348,0.0005741862393926595,1.3140285781090895e-08,7.732741675174223e-06,1.0802353721679426e-08,3.472281058693054e-11,1.0573238404162645e-06,0.48259809472567644
2.81494140625e-13,800.0000000000001,0.9999999999999999,1.0080893215129653e-09,0.5769230752524486,1.0684655737745476e-09,0.38461538320808314,9.108359319523915e-10,1.2744151569136348e-10,0.038461538424636066,0.5117896637056114,9.879086200239646e-06,1.2715637419131546e-06,0.005018092220197332,0.0005741865174070798,1.3140292499483033e-08,7.732742668969611e-06,1.08023551248031e-08,3.4722815096945006e-11,1.0573239818773666e-06,0.4825980928628206
5.62744140625e-13,800.0000000000001,1.0,2.0157414172131483e-09,0.5769230735825442,2.136468197218188e-09,0.38461538180139165,1.8212768921796053e-09,2.5482791503606513e-10,0.03846153838774965,0.5117896651812195,9.879089355345683e-06,1.2715654286821516e-06,0.0050180939071428855,0.0005741870734359422,1.3140305936268654e-08,7.732744656559881e-06,1.080235793104975e-08,3.4722824116971707e-11,1.0573242647995042e-06,0.48259808913710983
1.125244140625e-12,800.0000000000001,0.9999999999999999,4.031045977935904e-09,0.5769230702427336,4.2724752203821e-09,0.3846153789880076,3.6421593671004297e-09,5.096012320585986e-10,0.03846153831397682,0.5117896681324361,9.879095665555377e-06,1.2715688022219734e-06,0.005018097281032975,0.0005741881854938069,1.3140332809846724e-08,7.732748631739123e-06,1.0802363543541305e-08,3.4722842157019485e-11,1.057324830643623e-06,0.48259808168568763
2.250244140625e-12,800.0000000000001,0.9999999999999999,6.046350906047778e-09,0.5769230669029213,6.408484017773959e-09,0.3846153761746223,5.463042394740812e-09,7.643750671700641e-10,0.038461538240203985,0.511789671083654,9.879101975762373e-06,1.2715721757636578e-06,0.005018100654921919,0.0005741892975517937,1.3140359683432437e-08,7.732752606916903e-06,1.0802369156030897e-08,3.4722860197060976e-11,1.0573253964875672e-06,0.48259807423426565
3.375244140625e-12,800.0000000000001,0.9999999999999999,8.061656201547896e-09,0.576923063563107,8.544494589392976e-09,0.3846153733612358,7.283925975099902e-09,1.0191494203705472e-09,0.03846153816643112,0.5117896740348726,9.87910828596439e-06,1.2715755493068275e-06,0.005018104028808522,0.0005741904096097995,1.3140386557022964e-08,7.732756582091795e-06,1.0802374768516535e-08,3.4722878237089736e-11,1.0573259623311388e-06,0.48259806678284506
