z_m,T_K,P_Pa,tau_s,X_CH4,X_O2,X_CO2,X_H2O,X_CO,X_H2,X_OH
0.0,1000.0,101324.99999999999,0.0,0.09505703422053231,0.19011406844106463,0.0,0.0,0.0,0.0,0.0
0.0033333333333333335,1000.0000955490303,101324.99999999997,0.00011225270552132086,0.0950570331973848,0.19011406742827922,2.075990631996615e-18,2.471861539083613e-11,1.1316099039917988e-15,8.752066422423123e-13,1.4481787441039248e-13
0.006666666666666667,1000.0000895244076,101324.99999999994,0.00022450541171862141,0.09505703213821998,0.1901140663897567,1.05112593607554e-17,7.479602501142983e-11,4.559438208406543e-15,2.5024191791578784e-12,2.93386238507803e-13
0.01,1000.0000836484566,101324.99999999994,0.0003367581185750567,0.09505703104239226,0.19011406532511232,2.9785336252983196e-17,1.5083995520953938e-10,1.1473165786367632e-14,4.916523462158639e-12,4.4551491314164976e-13
0.013333333333333334,1000.0000779237594,101324.99999999994,0.0004490108260734781,0.09505702990924585,0.19011406423395358,6.457895234081788e-17,2.534631842787396e-10,2.3088071203611843e-14,8.155542058820769e-12,6.012335035859277e-13
0.016666666666666666,1000.0000723529486,101324.99999999994,0.0005612635341964279,0.09505702873812193,0.19011406311588278,1.1977963631811929e-16,3.832806603886413e-10,4.0645559623859717e-14,1.2257913295116822e-11,7.605547151347921e-13
0.02,1000.0000669387068,101324.99999999993,0.0006735162429261339,0.09505702752835887,0.19011406197049716,2.0048745766909277e-16,5.40909371938712e-10,6.541369764660773e-14,1.7262445027965887e-11,9.234904933349846e-13
0.023333333333333334,1000.0000616837655,101324.99999999991,0.0007857689522445047,0.09505702627929231,0.19011406079738907,3.1202080931931376e-16,7.269683057190942e-10,9.868775254065619e-14,2.320831527409252e-11,1.0900525384147148e-12
0.02666666666666667,1000.0000565909049,101324.99999999993,0.0008980216621331235,0.0950570249902552,0.190114059596146,4.599222176788621e-16,9.420784039848911e-10,1.417907356498452e-13,3.0135073159892214e-11,1.26025229891112e-12
0.030000000000000002,1000.0000516629543,101324.99999999994,0.001010274372573244,0.09505702366057776,0.19011405836635054,6.499641754331071e-16,1.1868625182129127e-09,1.9607394984151885e-13,3.808263936765914e-11,1.4341009522388494e-12
0.03333333333333333,1000.0000469027908,101324.99999999994,0.001122527083545784,0.09505702228958773,0.1901140571075809,8.881549925407506e-16,1.461945359469125e-09,2.6291754086449706e-13,4.709130606606812e-11,1.6116093848243636e-12
0.03666666666666667,1000.0000423133392,101324.99999999994,0.0012347797950313217,0.09505702087661023,0.19011405581941054,1.1807446607048065e-15,1.7679534453610036e-09,3.437310524738964e-13,5.7201736327082414e-11,1.7927881720943872e-12
0.04,1000.0000378975719,101324.99999999994,0.0013470325070100895,0.09505701942096798,0.19011405450140856,1.534230726377934e-15,2.105515043550461e-09,4.399539851704495e-13,6.845496303163081e-11,1.9776475583300613e-12
0.043333333333333335,1000.0000336585073,101324.99999999994,0.0014592852194619697,0.09505701792198133,0.19011405315313976,1.9553641671634174e-15,2.4752601118083275e-09,5.530563583934168e-13,8.089238726649152e-11,2.166197436394867e-12
0.04666666666666667,1000.0000295992111,101324.99999999997,0.0015715379323664894,0.09505701637896832,0.19011405177416477,2.451155266263257e-15,2.8778202345876887e-09,6.845392759949032e-13,9.455577621462804e-11,2.358447327342387e-12
0.05,1000.000025722794,101324.99999999997,0.0016837906457028151,0.09505701479124483,0.1901140503640401,3.0288794794219047e-15,3.3138285560978637e-09,8.35935494813859e-13,1.0948726054130624e-10,2.5544063599124774e-12
0.05333333333333334,1000.0000220324131,101324.99999999999,0.001796043359449749,0.09505701315812448,0.19011404892231837,3.6960832886086135e-15,3.783919709862117e-09,1.0088099961575104e-12,1.257293312783216e-10,2.7540832499246544e-12
0.05666666666666667,1000.000018531269,101324.99999999999,0.001908296073585723,0.09505701147891897,0.19011404744854832,4.460590036471818e-15,4.288729744741121e-09,1.2047605599860411e-12,1.433248362085867e-10,2.957486279577362e-12
0.060000000000000005,1000.0000152226081,101324.99999999996,0.0020205487880887952,0.09505700975293799,0.19011404594227488,5.330505735400032e-15,4.8288960474103785e-09,1.4254183415867648e-12,1.623169757535205e-10,3.1646232766642456e-12
0.06333333333333334,1000.0000121097196,101325.00000000003,0.002132801502936644,0.09505700797948943,0.19011404440303958,6.314224844813433e-15,5.405057261277283e-09,1.6724484505109605e-12,1.8274929836557783e-10,3.375501593717439e-12
0.06666666666666667,1000.0000091959367,101325.00000000003,0.002245054218106564,0.09505700615787946,0.19011404283038041,7.420436010111567e-15,6.017853201828181e-09,1.947550531535787e-12,2.0466569542842145e-10,3.5901280870898415e-12
0.06999999999999999,1000.0000064846349,101325.00000000006,0.0023573069335754617,0.09505700428741257,0.190114041223832,8.658127756500391e-15,6.667924768396867e-09,2.2524593474012856e-12,2.2811039566728673e-10,3.8085090959884945e-12
