Distance_PFRC7_(m), Plug_flow_residence_time_PFRC7_(sec), Internal_surface_area_per_unit_distance_PFRC7_(m), Cross-section_area_PFRC7_(m2), External_surface_area_per_unit_distance_PFRC7_(m), Velocity_PFRC7_(m/sec), Exit_mass_flow_rate_PFRC7_(kg/sec), Volumetric_heat_production_rate_PFRC7_(J/m3-sec), Surface_temperature_PFRC7_(K), Heat_loss_rate_PFRC7_(J/m-sec), Temperature_PFRC7_(K), Pressure_PFRC7_(Pa), Mole_fraction_N2_PFRC7_(), Mole_fraction_H2_PFRC7_(), Mole_fraction_H_PFRC7_(), Mole_fraction_H2O_PFRC7_(), Mole_fraction_OH_PFRC7_(), Mole_fraction_CO_PFRC7_(), Mole_fraction_CO2_PFRC7_(), Mole_fraction_CH4_PFRC7_(), Mole_fraction_CH3_PFRC7_(), Mole_fraction_CH3OH_PFRC7_(), Mole_fraction_CH2O_PFRC7_(), Mole_fraction_HCO_PFRC7_(), Mole_fraction_HOCHO_PFRC7_(), Mole_fraction_C2H6_PFRC7_(), Mole_fraction_C2H4_PFRC7_(), Mole_fraction_CHCHO_PFRC7_(), Mole_fraction_C2H2_PFRC7_(), Mole_fraction_CH3CHO_PFRC7_(), Mole_fraction_CH2CO_PFRC7_(), Mole_fraction_C3H6_PFRC7_(), Mole_fraction_C3H4-P_PFRC7_(), Mole_fraction_C3H4-A_PFRC7_(), Mole_fraction_CCYCCO-T1_PFRC7_(), Mole_fraction_OC5H7O_PFRC7_(), Molecular_weight_PFRC7_(kg/mole), Mass_density_PFRC7_(kg/m3), Unburned_hydrocarbons_PFRC7_(ppm), Volatile_organic_compounds_PFRC7_(ppm)
0.000000e+00, 0.000000e+00, 1.735181e-01, 2.395960e-03, 1.735181e-01, 1.194000e+00, 1.316350e-02, -1.814649e+06, 1.701478e+03, 0.000000e+00, 1.701478e+03, 4.699955e+06, 3.496834e-03, 4.874984e-01, 1.521305e-05, 1.891100e-01, 3.536714e-07, 2.793797e-01, 3.166534e-02, 8.741969e-03, 5.598787e-06, 3.090931e-07, 2.919993e-06, 1.595857e-07, 1.608012e-07, 1.005926e-06, 1.919329e-05, 4.499768e-05, 1.730924e-05, 2.309758e-08, 3.569594e-07, 1.494957e-08, 3.053558e-08, 1.177359e-08, 2.621550e-08, 3.982197e-08, 1.385017e-02, 4.601377e+00, 8.822804e+03, 8.917418e+03
5.180619e-03, 4.342901e-03, 1.735181e-01, 2.395960e-03, 1.735181e-01, 1.191804e+00, 1.316350e-02, -1.482583e+06, 1.697999e+03, 2.057880e+04, 1.697999e+03, 4.699947e+06, 3.496119e-03, 4.877507e-01, 1.473062e-05, 1.889219e-01, 3.389377e-07, 2.793819e-01, 3.170404e-02, 8.640868e-03, 5.356731e-06, 2.987515e-07, 2.918151e-06, 1.561871e-07, 1.613703e-07, 9.767506e-07, 1.833269e-05, 4.456998e-05, 1.610744e-05, 2.251241e-08, 3.445253e-07, 1.399781e-08, 2.792109e-08, 1.075518e-08, 2.621013e-08, 3.981143e-08, 1.384734e-02, 4.609853e+00, 8.717262e+03, 8.810978e+03
1.000000e-02, 8.390105e-03, 1.735181e-01, 2.395960e-03, 1.735181e-01, 1.189784e+00, 1.316350e-02, -1.346535e+06, 1.694824e+03, 2.057880e+04, 1.694824e+03, 4.699947e+06, 3.495504e-03, 4.879967e-01, 1.430068e-05, 1.887307e-01, 3.259163e-07, 2.793544e-01, 3.176687e-02, 8.554377e-03, 5.146554e-06, 2.896925e-07, 2.916489e-06, 1.531061e-07, 1.618725e-07, 9.486752e-07, 1.748393e-05, 4.418969e-05, 1.498133e-05, 2.196447e-08, 3.335702e-07, 1.311071e-08, 2.556772e-08, 9.840264e-09, 2.620553e-08, 3.980232e-08, 1.384491e-02, 4.617679e+00, 8.626539e+03, 8.719457e+03
2.000000e-02, 1.680974e-02, 1.735181e-01, 2.395960e-03, 1.735181e-01, 1.185624e+00, 1.316350e-02, -1.130767e+06, 1.688348e+03, 2.057880e+04, 1.688348e+03, 4.699947e+06, 3.494365e-03, 4.884763e-01, 1.345737e-05, 1.883529e-01, 3.007845e-07, 2.792798e-01, 3.190690e-02, 8.394036e-03, 4.749089e-06, 2.725245e-07, 2.913520e-06, 1.469627e-07, 1.629015e-07, 8.965666e-07, 1.591491e-05, 4.345044e-05, 1.295368e-05, 2.094633e-08, 3.128296e-07, 1.152011e-08, 2.144981e-08, 8.240967e-09, 2.619699e-08, 3.978525e-08, 1.384040e-02, 4.633881e+00, 8.458477e+03, 8.549845e+03
3.000000e-02, 2.525885e-02, 1.735181e-01, 2.395960e-03, 1.735181e-01, 1.181497e+00, 1.316350e-02, -9.423485e+05, 1.681998e+03, 2.057880e+04, 1.681998e+03, 4.699947e+06, 3.493385e-03, 4.889130e-01, 1.267267e-05, 1.880038e-01, 2.779053e-07, 2.791916e-01, 3.205140e-02, 8.256051e-03, 4.395979e-06, 2.572400e-07, 2.911130e-06, 1.411232e-07, 1.639263e-07, 8.515028e-07, 1.456423e-05, 4.277246e-05, 1.126832e-05, 2.006424e-08, 2.943713e-07, 1.020331e-08, 1.815061e-08, 6.961383e-09, 2.618964e-08, 3.977035e-08, 1.383651e-02, 4.650069e+00, 8.313956e+03, 8.403903e+03
4.000000e-02, 3.373742e-02, 1.735181e-01, 2.395960e-03, 1.735181e-01, 1.177396e+00, 1.316350e-02, -7.814512e+05, 1.675755e+03, 2.057880e+04, 1.675755e+03, 4.699947e+06, 3.492539e-03, 4.893134e-01, 1.193998e-05, 1.876792e-01, 2.569903e-07, 2.790923e-01, 3.219931e-02, 8.136854e-03, 4.079757e-06, 2.435230e-07, 2.909224e-06, 1.355567e-07, 1.649500e-07, 8.121077e-07, 1.338802e-05, 4.214929e-05, 9.851469e-06, 1.929222e-08, 2.777921e-07, 9.097970e-09, 1.547004e-08, 5.923147e-09, 2.618330e-08, 3.975729e-08, 1.383316e-02, 4.666263e+00, 8.189161e+03, 8.277805e+03
5.000000e-02, 4.224549e-02, 1.735181e-01, 2.395960e-03, 1.735181e-01, 1.173319e+00, 1.316350e-02, -6.730417e+05, 1.669600e+03, 2.057880e+04, 1.669600e+03, 4.699947e+06, 3.491805e-03, 4.896836e-01, 1.125403e-05, 1.873748e-01, 2.378053e-07, 2.789834e-01, 3.235043e-02, 8.033469e-03, 3.794530e-06, 2.311223e-07, 2.907727e-06, 1.302383e-07, 1.659740e-07, 7.773488e-07, 1.235388e-05, 4.157523e-05, 8.648867e-06, 1.861041e-08, 2.627761e-07, 8.158739e-09, 1.326496e-08, 5.070220e-09, 2.617779e-08, 3.974579e-08, 1.383025e-02, 4.682479e+00, 8.080934e+03, 8.168378e+03
6.000000e-02, 5.078311e-02, 1.735181e-01, 2.395960e-03, 1.735181e-01, 1.169261e+00, 1.316350e-02, -5.437094e+05, 1.663521e+03, 2.057880e+04, 1.663521e+03, 4.699947e+06, 3.491166e-03, 4.900282e-01, 1.061037e-05, 1.870874e-01, 2.201615e-07, 2.788662e-01, 3.250447e-02, 7.943599e-03, 3.535774e-06, 2.198489e-07, 2.906581e-06, 1.251464e-07, 1.670001e-07, 7.464154e-07, 1.143684e-05, 4.104557e-05, 7.620025e-06, 1.800358e-08, 2.490788e-07, 7.352619e-09, 1.143347e-08, 4.362801e-09, 2.617300e-08, 3.973566e-08, 1.382772e-02, 4.698731e+00, 7.986839e+03, 8.073178e+03
7.000000e-02, 5.935034e-02, 1.735181e-01, 2.395960e-03, 1.735181e-01, 1.165219e+00, 1.316350e-02, -4.534229e+05, 1.657507e+03, 2.057880e+04, 1.657507e+03, 4.699947e+06, 3.490610e-03, 4.903509e-01, 1.000542e-05, 1.868145e-01, 2.038991e-07, 2.787415e-01, 3.266121e-02, 7.865370e-03, 3.299820e-06, 2.095460e-07, 2.905742e-06, 1.202650e-07, 1.680293e-07, 7.186815e-07, 1.061776e-05, 4.055626e-05, 6.734013e-06, 1.745986e-08, 2.365114e-07, 6.654419e-09, 9.899004e-09, 3.770908e-09, 2.616883e-08, 3.972670e-08, 1.382552e-02, 4.715028e+00, 7.904898e+03, 7.990215e+03
8.000000e-02, 6.794729e-02, 1.735181e-01, 2.395960e-03, 1.735181e-01, 1.161192e+00, 1.316350e-02, -3.975301e+05, 1.651549e+03, 2.057880e+04, 1.651549e+03, 4.699947e+06, 3.490124e-03, 4.906550e-01, 9.435969e-06, 1.865539e-01, 1.888814e-07, 2.786102e-01, 3.282049e-02, 7.797161e-03, 3.083634e-06, 2.000868e-07, 2.905173e-06, 1.155793e-07, 1.690624e-07, 6.936379e-07, 9.881221e-06, 4.010365e-05, 5.966231e-06, 1.696951e-08, 2.249127e-07, 6.044590e-09, 8.602880e-09, 3.271630e-09, 2.616519e-08, 3.971877e-08, 1.382360e-02, 4.731382e+00, 7.833406e+03, 7.917779e+03
