Distance_PFRC4_(m), Plug_flow_residence_time_PFRC4_(sec), Internal_surface_area_per_unit_distance_PFRC4_(m), Cross-section_area_PFRC4_(m2), External_surface_area_per_unit_distance_PFRC4_(m), Velocity_PFRC4_(m/sec), Exit_mass_flow_rate_PFRC4_(kg/sec), Volumetric_heat_production_rate_PFRC4_(J/m3-sec), Surface_temperature_PFRC4_(K), Heat_loss_rate_PFRC4_(J/m-sec), Temperature_PFRC4_(K), Pressure_PFRC4_(Pa), Mole_fraction_N2_PFRC4_(), Mole_fraction_H2_PFRC4_(), Mole_fraction_H_PFRC4_(), Mole_fraction_O2_PFRC4_(), Mole_fraction_H2O_PFRC4_(), Mole_fraction_OH_PFRC4_(), Mole_fraction_CO_PFRC4_(), Mole_fraction_CO2_PFRC4_(), Mole_fraction_CH4_PFRC4_(), Mole_fraction_CH3_PFRC4_(), Mole_fraction_CH3OH_PFRC4_(), Mole_fraction_CH2O_PFRC4_(), Mole_fraction_HCO_PFRC4_(), Mole_fraction_HOCHO_PFRC4_(), Mole_fraction_C2H6_PFRC4_(), Mole_fraction_C2H5_PFRC4_(), Mole_fraction_C2H4_PFRC4_(), Mole_fraction_C2H3_PFRC4_(), Mole_fraction_CHCHO_PFRC4_(), Mole_fraction_C2H2_PFRC4_(), Mole_fraction_CH3CHO_PFRC4_(), Mole_fraction_C2H3OH_PFRC4_(), Mole_fraction_CH2CO_PFRC4_(), Mole_fraction_HCCOH_PFRC4_(), Mole_fraction_C3H6_PFRC4_(), Mole_fraction_C3H4-P_PFRC4_(), Mole_fraction_C3H4-A_PFRC4_(), Mole_fraction_C3H3_PFRC4_(), Mole_fraction_CCYCCO-T1_PFRC4_(), Mole_fraction_C4H4_PFRC4_(), Mole_fraction_C6H6_PFRC4_(), Mole_fraction_OC5H7O_PFRC4_(), Molecular_weight_PFRC4_(kg/mole), Mass_density_PFRC4_(kg/m3), Unburned_hydrocarbons_PFRC4_(ppm), Volatile_organic_compounds_PFRC4_(ppm)
0.000000e+00, 0.000000e+00, 2.896647e+00, 6.677000e-01, 2.896647e+00, 1.508112e-01, 4.594930e-01, -2.599968e+06, 1.732582e+03, 0.000000e+00, 1.732582e+03, 4.700000e+06, 3.534387e-03, 4.778044e-01, 2.017027e-05, 1.371174e-08, 1.955164e-01, 5.342601e-07, 2.766512e-01, 3.228021e-02, 1.391596e-02, 1.203582e-05, 6.253410e-07, 2.974015e-06, 1.908243e-07, 1.561264e-07, 3.296229e-06, 2.375292e-08, 8.681523e-05, 3.275411e-08, 6.259297e-05, 1.044166e-04, 6.105630e-08, 5.185812e-08, 7.721533e-07, 1.462323e-08, 1.212500e-07, 3.245551e-07, 1.269866e-07, 1.737694e-08, 2.645690e-08, 1.849972e-08, 1.960558e-06, 4.022743e-08, 1.398603e-02, 4.563140e+00, 1.433090e+04, 1.446217e+04
1.000000e-04, 6.630925e-04, 2.896647e+00, 6.677000e-01, 2.896647e+00, 1.508057e-01, 4.594930e-01, -4.480959e+06, 1.732383e+03, 2.501106e+04, 1.732383e+03, 4.699993e+06, 3.534117e-03, 4.777633e-01, 2.006101e-05, 9.912563e-09, 1.955523e-01, 5.311669e-07, 2.768018e-01, 3.216657e-02, 1.391223e-02, 1.196767e-05, 6.215051e-07, 2.972931e-06, 1.900013e-07, 1.565344e-07, 3.048385e-06, 2.071229e-08, 7.546561e-05, 2.804975e-08, 6.245575e-05, 8.938887e-05, 5.631712e-08, 4.502682e-08, 7.545640e-07, 1.250707e-08, 1.043721e-07, 2.755813e-07, 1.076783e-07, 1.462988e-08, 2.645488e-08, 1.344172e-08, 1.308376e-06, 4.022377e-08, 1.398496e-02, 4.563308e+00, 1.426962e+04, 1.440053e+04
2.000000e-04, 1.326217e-03, 2.896647e+00, 6.677000e-01, 2.896647e+00, 1.507969e-01, 4.594930e-01, -5.365632e+06, 1.732124e+03, 2.501106e+04, 1.732124e+03, 4.699993e+06, 3.533793e-03, 4.777805e-01, 1.997681e-05, 9.891624e-09, 1.955480e-01, 5.285193e-07, 2.769066e-01, 3.209178e-02, 1.388510e-02, 1.189348e-05, 6.176777e-07, 2.972032e-06, 1.894203e-07, 1.567820e-07, 2.908247e-06, 1.904475e-08, 6.924185e-05, 2.546291e-08, 6.231848e-05, 8.110848e-05, 5.367038e-08, 4.126721e-08, 7.431009e-07, 1.133187e-08, 9.487121e-08, 2.476428e-07, 9.662499e-08, 1.304136e-08, 2.645245e-08, 1.091143e-08, 8.603686e-07, 4.021950e-08, 1.398368e-02, 4.563573e+00, 1.421024e+04, 1.434083e+04
3.000000e-04, 1.989383e-03, 2.896647e+00, 6.677000e-01, 2.896647e+00, 1.507868e-01, 4.594930e-01, -5.692772e+06, 1.731835e+03, 2.501106e+04, 1.731835e+03, 4.699993e+06, 3.533440e-03, 4.778354e-01, 1.990786e-05, 9.865457e-09, 1.955162e-01, 5.261470e-07, 2.769803e-01, 3.204407e-02, 1.384482e-02, 1.181667e-05, 6.138677e-07, 2.971191e-06, 1.889778e-07, 1.569305e-07, 2.828764e-06, 1.814744e-08, 6.591747e-05, 2.406590e-08, 6.218157e-05, 7.665086e-05, 5.220403e-08, 3.923611e-08, 7.351142e-07, 1.069023e-08, 8.958644e-08, 2.318714e-07, 9.036158e-08, 1.212781e-08, 2.644981e-08, 9.620086e-09, 5.637485e-07, 4.021490e-08, 1.398228e-02, 4.563879e+00, 1.415228e+04, 1.428256e+04
4.000000e-04, 2.652594e-03, 2.896647e+00, 6.677000e-01, 2.896647e+00, 1.507763e-01, 4.594930e-01, -5.762050e+06, 1.731535e+03, 2.501106e+04, 1.731535e+03, 4.699993e+06, 3.533074e-03, 4.779119e-01, 1.984733e-05, 9.833513e-09, 1.954679e-01, 5.239329e-07, 2.770349e-01, 3.201326e-02, 1.379818e-02, 1.173929e-05, 6.100880e-07, 2.970373e-06, 1.886072e-07, 1.570248e-07, 2.779405e-06, 1.763027e-08, 6.403218e-05, 2.325602e-08, 6.204526e-05, 7.409065e-05, 5.132247e-08, 3.805919e-08, 7.288681e-07, 1.031332e-08, 8.641686e-08, 2.222866e-07, 8.654475e-08, 1.156160e-08, 2.644707e-08, 8.887187e-09, 3.683611e-07, 4.021017e-08, 1.398084e-02, 4.564197e+00, 1.409533e+04, 1.422531e+04
5.000000e-04, 3.315852e-03, 2.896647e+00, 6.677000e-01, 2.896647e+00, 1.507658e-01, 4.594930e-01, -5.732311e+06, 1.731233e+03, 2.501106e+04, 1.731233e+03, 4.699993e+06, 3.532705e-03, 4.780009e-01, 1.979157e-05, 9.800951e-09, 1.954095e-01, 5.218141e-07, 2.770776e-01, 3.199313e-02, 1.374861e-02, 1.166227e-05, 6.063436e-07, 2.969562e-06, 1.882742e-07, 1.570894e-07, 2.744896e-06, 1.730062e-08, 6.285479e-05, 2.273675e-08, 6.190966e-05, 7.246740e-05, 5.072889e-08, 3.730369e-08, 7.235026e-07, 1.006753e-08, 8.431074e-08, 2.158740e-07, 8.399045e-08, 1.117785e-08, 2.644431e-08, 8.444611e-09, 2.417670e-07, 4.020539e-08, 1.397937e-02, 4.564516e+00, 1.403922e+04, 1.416891e+04
6.000000e-04, 3.979155e-03, 2.896647e+00, 6.677000e-01, 2.896647e+00, 1.507554e-01, 4.594930e-01, -5.668960e+06, 1.730933e+03, 2.501106e+04, 1.730933e+03, 4.699993e+06, 3.532336e-03, 4.780967e-01, 1.973856e-05, 9.768456e-09, 1.953453e-01, 5.197565e-07, 2.771132e-01, 3.197952e-02, 1.369796e-02, 1.158606e-05, 6.026398e-07, 2.968755e-06, 1.879605e-07, 1.571382e-07, 2.717248e-06, 1.705700e-08, 6.200181e-05, 2.235135e-08, 6.177483e-05, 7.127595e-05, 5.026760e-08, 3.674167e-08, 7.185668e-07, 9.882414e-09, 8.270869e-08, 2.110105e-07, 8.205839e-08, 1.088611e-08, 2.644155e-08, 8.141234e-09, 1.608846e-07, 4.020062e-08, 1.397791e-02, 4.564830e+00, 1.398383e+04, 1.411323e+04
7.000000e-04, 4.642504e-03, 2.896647e+00, 6.677000e-01, 2.896647e+00, 1.507452e-01, 4.594930e-01, -5.596494e+06, 1.730636e+03, 2.501106e+04, 1.730636e+03, 4.699993e+06, 3.531969e-03, 4.781958e-01, 1.968722e-05, 9.735971e-09, 1.952781e-01, 5.177427e-07, 2.771444e-01, 3.196969e-02, 1.364712e-02, 1.151087e-05, 5.989813e-07, 2.967955e-06, 1.876574e-07, 1.571786e-07, 2.692633e-06, 1.685019e-08, 6.128798e-05, 2.202327e-08, 6.164079e-05, 7.027030e-05, 4.986342e-08, 3.626249e-08, 7.138424e-07, 9.723510e-09, 8.133270e-08, 2.068691e-07, 8.041999e-08, 1.063888e-08, 2.643880e-08, 7.895854e-09, 1.091435e-07, 4.019587e-08, 1.397646e-02, 4.565139e+00, 1.392910e+04, 1.405821e+04
8.000000e-04, 5.305897e-03, 2.896647e+00, 6.677000e-01, 2.896647e+00, 1.507352e-01, 4.594930e-01, -5.528601e+06, 1.730343e+03, 2.501106e+04, 1.730343e+03, 4.699993e+06, 3.531605e-03, 4.782958e-01, 1.963692e-05, 9.703741e-09, 1.952098e-01, 5.157623e-07, 2.771735e-01, 3.196180e-02, 1.359655e-02, 1.143674e-05, 5.953699e-07, 2.967165e-06, 1.873601e-07, 1.572153e-07, 2.669197e-06, 1.665729e-08, 6.062514e-05, 2.171755e-08, 6.150753e-05, 6.933541e-05, 4.948104e-08, 3.581498e-08, 7.092294e-07, 9.575029e-09, 8.005193e-08, 2.030525e-07, 7.891562e-08, 1.041312e-08, 2.643608e-08, 7.678850e-09, 7.424616e-08, 4.019117e-08, 1.397502e-02, 4.565443e+00, 1.387498e+04, 1.400381e+04
9.000000e-04, 5.969334e-03, 2.896647e+00, 6.677000e-01, 2.896647e+00, 1.507253e-01, 4.594930e-01, -5.470424e+06, 1.730053e+03, 2.501106e+04, 1.730053e+03, 4.699993e+06, 3.531246e-03, 4.783957e-01, 1.958733e-05, 9.671762e-09, 1.951413e-01, 5.138092e-07, 2.772013e-01, 3.195485e-02, 1.354647e-02, 1.136368e-05, 5.918057e-07, 2.966386e-06, 1.870659e-07, 1.572507e-07, 2.645989e-06, 1.646691e-08, 5.996921e-05, 2.141714e-08, 6.137507e-05, 6.841473e-05, 4.910290e-08, 3.537393e-08, 7.046792e-07, 9.429364e-09, 7.880265e-08, 1.993680e-07, 7.746741e-08, 1.019768e-08, 2.643339e-08, 7.475786e-09, 4.921776e-08, 4.018651e-08, 1.397360e-02, 4.565743e+00, 1.382145e+04, 1.395000e+04
