Distance_PFRC7_(m), Plug_flow_residence_time_PFRC7_(sec), Internal_surface_area_per_unit_distance_PFRC7_(m), Cross-section_area_PFRC7_(m2), External_surface_area_per_unit_distance_PFRC7_(m), Velocity_PFRC7_(m/sec), Exit_mass_flow_rate_PFRC7_(kg/sec), Volumetric_heat_production_rate_PFRC7_(J/m3-sec), Surface_temperature_PFRC7_(K), Heat_loss_rate_PFRC7_(J/m-sec), Temperature_PFRC7_(K), Pressure_PFRC7_(Pa), Mole_fraction_N2_PFRC7_(), Mole_fraction_H2_PFRC7_(), Mole_fraction_H_PFRC7_(), Mole_fraction_H2O_PFRC7_(), Mole_fraction_OH_PFRC7_(), Mole_fraction_CO_PFRC7_(), Mole_fraction_CO2_PFRC7_(), Mole_fraction_CH4_PFRC7_(), Mole_fraction_CH3_PFRC7_(), Mole_fraction_CH3OH_PFRC7_(), Mole_fraction_CH2O_PFRC7_(), Mole_fraction_HCO_PFRC7_(), Mole_fraction_HOCHO_PFRC7_(), Mole_fraction_C2H6_PFRC7_(), Mole_fraction_C2H4_PFRC7_(), Mole_fraction_CHCHO_PFRC7_(), Mole_fraction_C2H2_PFRC7_(), Mole_fraction_CH3CHO_PFRC7_(), Mole_fraction_C2H3OH_PFRC7_(), Mole_fraction_CH2CO_PFRC7_(), Mole_fraction_C3H6_PFRC7_(), Mole_fraction_C3H4-P_PFRC7_(), Mole_fraction_C3H4-A_PFRC7_(), Mole_fraction_CCYCCO-T1_PFRC7_(), Mole_fraction_OC5H7O_PFRC7_(), Molecular_weight_PFRC7_(kg/mole), Mass_density_PFRC7_(kg/m3), Unburned_hydrocarbons_PFRC7_(ppm), Volatile_organic_compounds_PFRC7_(ppm)
0.000000e+00, 0.000000e+00, 1.735181e-01, 2.395960e-03, 1.735181e-01, 4.182455e+00, 4.594929e-02, -2.720583e+06, 1.711668e+03, 0.000000e+00, 1.711668e+03, 4.699993e+06, 3.508687e-03, 4.848100e-01, 1.667463e-05, 1.907349e-01, 4.032757e-07, 2.787803e-01, 3.166069e-02, 1.036496e-02, 7.312229e-06, 3.926583e-07, 2.931991e-06, 1.692115e-07, 1.592237e-07, 1.459647e-06, 2.960269e-05, 5.166907e-05, 2.901895e-05, 3.030384e-08, 1.592618e-08, 4.592116e-07, 2.814834e-08, 6.200724e-08, 2.397257e-08, 2.626452e-08, 3.988537e-08, 1.388433e-02, 4.585302e+00, 1.049285e+04, 1.060115e+04
1.000000e-02, 2.392214e-03, 1.735181e-01, 2.395960e-03, 1.735181e-01, 4.178068e+00, 4.594929e-02, -2.409155e+06, 1.709574e+03, 2.057880e+04, 1.709574e+03, 4.699986e+06, 3.508079e-03, 4.850034e-01, 1.635988e-05, 1.905957e-01, 3.931509e-07, 2.788030e-01, 3.167291e-02, 1.027935e-02, 7.112964e-06, 3.840719e-07, 2.930067e-06, 1.670892e-07, 1.595559e-07, 1.431952e-06, 2.879072e-05, 5.135886e-05, 2.779676e-05, 2.977344e-08, 1.535067e-08, 4.488387e-07, 2.701857e-08, 5.869474e-08, 2.267884e-08, 2.625996e-08, 3.987692e-08, 1.388193e-02, 4.590117e+00, 1.040290e+04, 1.051054e+04
2.000000e-02, 4.786910e-03, 1.735181e-01, 2.395960e-03, 1.735181e-01, 4.173730e+00, 4.594929e-02, -2.252316e+06, 1.707518e+03, 2.057880e+04, 1.707518e+03, 4.699986e+06, 3.507502e-03, 4.852052e-01, 1.605442e-05, 1.904450e-01, 3.833729e-07, 2.788063e-01, 3.170301e-02, 1.019862e-02, 6.923244e-06, 3.758184e-07, 2.928164e-06, 1.649993e-07, 1.598727e-07, 1.401645e-06, 2.786004e-05, 5.105741e-05, 2.647015e-05, 2.920535e-08, 1.472529e-08, 4.387508e-07, 2.580588e-08, 5.525492e-08, 2.133810e-08, 2.625565e-08, 3.986887e-08, 1.387964e-02, 4.594887e+00, 1.031738e+04, 1.042438e+04
3.000000e-02, 7.184087e-03, 1.735181e-01, 2.395960e-03, 1.735181e-01, 4.169420e+00, 4.594929e-02, -2.128295e+06, 1.705488e+03, 2.057880e+04, 1.705488e+03, 4.699986e+06, 3.506954e-03, 4.854033e-01, 1.575751e-05, 1.902954e-01, 3.739318e-07, 2.788032e-01, 3.173783e-02, 1.012182e-02, 6.742032e-06, 3.679202e-07, 2.926358e-06, 1.629512e-07, 1.601828e-07, 1.372697e-06, 2.697170e-05, 5.076440e-05, 2.522124e-05, 2.866344e-08, 1.413375e-08, 4.291086e-07, 2.466777e-08, 5.206526e-08, 2.009550e-08, 2.625154e-08, 3.986118e-08, 1.387747e-02, 4.599637e+00, 1.023605e+04, 1.034243e+04
4.000000e-02, 9.583738e-03, 1.735181e-01, 2.395960e-03, 1.735181e-01, 4.165130e+00, 4.594929e-02, -2.017504e+06, 1.703479e+03, 2.057880e+04, 1.703479e+03, 4.699986e+06, 3.506431e-03, 4.855951e-01, 1.546837e-05, 1.901499e-01, 3.648050e-07, 2.787971e-01, 3.177411e-02, 1.004867e-02, 6.568608e-06, 3.603548e-07, 2.924656e-06, 1.609425e-07, 1.604902e-07, 1.345215e-06, 2.613074e-05, 5.047946e-05, 2.405224e-05, 2.814927e-08, 1.357766e-08, 4.198889e-07, 2.360558e-08, 4.911983e-08, 1.894855e-08, 2.624763e-08, 3.985383e-08, 1.387541e-02, 4.604375e+00, 1.015864e+04, 1.026442e+04
5.000000e-02, 1.198586e-02, 1.735181e-01, 2.395960e-03, 1.735181e-01, 4.160857e+00, 4.594929e-02, -1.913114e+06, 1.701490e+03, 2.057880e+04, 1.701490e+03, 4.699986e+06, 3.505934e-03, 4.857805e-01, 1.518658e-05, 1.900086e-01, 3.559747e-07, 2.787887e-01, 3.181130e-02, 9.978964e-03, 6.402443e-06, 3.531004e-07, 2.923053e-06, 1.589711e-07, 1.607960e-07, 1.319106e-06, 2.533348e-05, 5.020229e-05, 2.295594e-05, 2.766077e-08, 1.305384e-08, 4.110614e-07, 2.261221e-08, 4.639304e-08, 1.788715e-08, 2.624390e-08, 3.984680e-08, 1.387344e-02, 4.609103e+00, 1.008491e+04, 1.019010e+04
6.000000e-02, 1.439044e-02, 1.735181e-01, 2.395960e-03, 1.735181e-01, 4.156601e+00, 4.594929e-02, -1.816664e+06, 1.699520e+03, 2.057880e+04, 1.699520e+03, 4.699986e+06, 3.505459e-03, 4.859595e-01, 1.491174e-05, 1.898717e-01, 3.474248e-07, 2.787784e-01, 3.184905e-02, 9.912488e-03, 6.243036e-06, 3.461365e-07, 2.921542e-06, 1.570354e-07, 1.611005e-07, 1.294270e-06, 2.457703e-05, 4.993257e-05, 2.192698e-05, 2.719629e-08, 1.256015e-08, 4.025997e-07, 2.168218e-08, 4.386624e-08, 1.690403e-08, 2.624035e-08, 3.984008e-08, 1.387156e-02, 4.613823e+00, 1.001464e+04, 1.011926e+04
7.000000e-02, 1.679748e-02, 1.735181e-01, 2.395960e-03, 1.735181e-01, 4.152359e+00, 4.594929e-02, -1.725119e+06, 1.697566e+03, 2.057880e+04, 1.697566e+03, 4.699986e+06, 3.505006e-03, 4.861324e-01, 1.464352e-05, 1.897389e-01, 3.391405e-07, 2.787664e-01, 3.188722e-02, 9.849054e-03, 6.089951e-06, 3.394445e-07, 2.920119e-06, 1.551337e-07, 1.614040e-07, 1.270616e-06, 2.385834e-05, 4.967002e-05, 2.095981e-05, 2.675409e-08, 1.209417e-08, 3.944789e-07, 2.081008e-08, 4.152063e-08, 1.599177e-08, 2.623696e-08, 3.983363e-08, 1.386977e-02, 4.618536e+00, 9.947615e+03, 1.005169e+04
8.000000e-02, 1.920698e-02, 1.735181e-01, 2.395960e-03, 1.735181e-01, 4.148132e+00, 4.594929e-02, -1.638060e+06, 1.695629e+03, 2.057880e+04, 1.695629e+03, 4.699987e+06, 3.504574e-03, 4.862997e-01, 1.438164e-05, 1.896100e-01, 3.311088e-07, 2.787527e-01, 3.192582e-02, 9.788492e-03, 5.942798e-06, 3.330076e-07, 2.918777e-06, 1.532647e-07, 1.617066e-07, 1.248072e-06, 2.317464e-05, 4.941438e-05, 2.004941e-05, 2.633260e-08, 1.165362e-08, 3.866765e-07, 1.999084e-08, 3.933895e-08, 1.514361e-08, 2.623373e-08, 3.982746e-08, 1.386806e-02, 4.623242e+00, 9.883660e+03, 9.987196e+03
9.000000e-02, 2.161893e-02, 1.735181e-01, 2.395960e-03, 1.735181e-01, 4.143919e+00, 4.594929e-02, -1.556672e+06, 1.693708e+03, 2.057880e+04, 1.693708e+03, 4.699987e+06, 3.504162e-03, 4.864616e-01, 1.412583e-05, 1.894848e-01, 3.233174e-07, 2.787375e-01, 3.196484e-02, 9.730647e-03, 5.801215e-06, 3.268102e-07, 2.917511e-06, 1.514272e-07, 1.620085e-07, 1.226557e-06, 2.252347e-05, 4.916540e-05, 1.919139e-05, 2.593042e-08, 1.123668e-08, 3.791721e-07, 1.922020e-08, 3.730692e-08, 1.435395e-08, 2.623064e-08, 3.982154e-08, 1.386642e-02, 4.627943e+00, 9.822599e+03, 9.925611e+03
