Distance_PFRC3_(m), Plug_flow_residence_time_PFRC3_(sec), Internal_surface_area_per_unit_distance_PFRC3_(m), Cross-section_area_PFRC3_(m2), External_surface_area_per_unit_distance_PFRC3_(m), Velocity_PFRC3_(m/sec), Exit_mass_flow_rate_PFRC3_(kg/sec), Volumetric_heat_production_rate_PFRC3_(J/m3-sec), Surface_temperature_PFRC3_(K), Temperature_PFRC3_(K), Pressure_PFRC3_(Pa), Mole_fraction_N2_PFRC3_(), Mole_fraction_H2_PFRC3_(), Mole_fraction_H_PFRC3_(), Mole_fraction_O2_PFRC3_(), Mole_fraction_H2O_PFRC3_(), Mole_fraction_OH_PFRC3_(), Mole_fraction_HO2_PFRC3_(), Mole_fraction_CO_PFRC3_(), Mole_fraction_CO2_PFRC3_(), Mole_fraction_CH4_PFRC3_(), Mole_fraction_CH3_PFRC3_(), Mole_fraction_CH3OH_PFRC3_(), Mole_fraction_CH2O_PFRC3_(), Mole_fraction_HCO_PFRC3_(), Mole_fraction_HOCHO_PFRC3_(), Mole_fraction_C2H6_PFRC3_(), Mole_fraction_C2H5_PFRC3_(), Mole_fraction_C2H4_PFRC3_(), Mole_fraction_C2H3_PFRC3_(), Mole_fraction_CHOCHO_PFRC3_(), Mole_fraction_CHCHO_PFRC3_(), Mole_fraction_C2H2_PFRC3_(), Mole_fraction_CH3CHO_PFRC3_(), Mole_fraction_C2H3OH_PFRC3_(), Mole_fraction_CH2CO_PFRC3_(), Mole_fraction_HCCOH_PFRC3_(), Mole_fraction_C3H8_PFRC3_(), Mole_fraction_C3H6_PFRC3_(), Mole_fraction_C3H5-A_PFRC3_(), Mole_fraction_CH3CHCO_PFRC3_(), Mole_fraction_C3H4-P_PFRC3_(), Mole_fraction_C3H4-A_PFRC3_(), Mole_fraction_C3H3_PFRC3_(), Mole_fraction_CCYCCO-T1_PFRC3_(), Mole_fraction_C4H6_PFRC3_(), Mole_fraction_C4H4_PFRC3_(), Mole_fraction_C4H3-I_PFRC3_(), Mole_fraction_C4H2_PFRC3_(), Mole_fraction_C4H612_PFRC3_(), Mole_fraction_C4H6-2_PFRC3_(), Mole_fraction_H2C4O_PFRC3_(), Mole_fraction_L-C6H4_PFRC3_(), Mole_fraction_C-C6H4_PFRC3_(), Mole_fraction_C6H2_PFRC3_(), Mole_fraction_C6H6_PFRC3_(), Mole_fraction_FULVENE_PFRC3_(), Mole_fraction_C6H5OH_PFRC3_(), Mole_fraction_C6H5O_PFRC3_(), Mole_fraction_C5H6_PFRC3_(), Mole_fraction_C5H5_PFRC3_(), Mole_fraction_C5H4O_PFRC3_(), Mole_fraction_OC5H7O_PFRC3_(), Mole_fraction_IND_PFRC3_(), Mole_fraction_C9H7_PFRC3_(), Mole_fraction_C9H6O_PFRC3_(), Molecular_weight_PFRC3_(kg/mole), Mass_density_PFRC3_(kg/m3), Unburned_hydrocarbons_PFRC3_(ppm), Volatile_organic_compounds_PFRC3_(ppm)
0.000000e+00, 0.000000e+00, 1.186247e+00, 1.119800e-01, 1.186247e+00, 8.987993e+00, 4.594930e+00, 1.000412e+09, 1.731661e+03, 1.731661e+03, 4.700000e+06, 3.534231e-03, 4.782596e-01, 2.012395e-05, 7.762486e-05, 1.951289e-01, 5.846955e-07, 2.369584e-07, 2.761829e-01, 3.261511e-02, 1.379112e-02, 1.357811e-05, 1.520821e-06, 4.334990e-06, 1.912455e-07, 1.562096e-07, 6.978834e-06, 3.001692e-08, 1.017664e-04, 5.379114e-08, 6.756105e-08, 6.280949e-05, 1.788642e-04, 2.010255e-07, 2.456426e-07, 3.824004e-06, 1.801479e-07, 1.966784e-08, 8.156073e-07, 2.999080e-08, 8.179950e-08, 4.367499e-06, 1.685510e-06, 4.708504e-07, 2.645566e-08, 2.414481e-07, 1.020436e-06, 1.473789e-08, 1.522872e-06, 4.295269e-08, 2.730540e-08, 2.536931e-08, 1.449872e-08, 3.162729e-08, 2.108816e-08, 3.547314e-06, 6.772605e-08, 2.242545e-07, 1.281917e-08, 1.582879e-07, 2.695362e-08, 3.881348e-08, 4.022660e-08, 9.006968e-08, 1.777530e-08, 1.305113e-08, 1.398541e-02, 4.565367e+00, 1.443800e+04, 1.458133e+04
1.000000e-04, 1.112675e-05, 1.186247e+00, 1.119800e-01, 1.186247e+00, 8.987607e+00, 4.594930e+00, 2.495589e+08, 1.731641e+03, 1.731641e+03, 4.700082e+06, 3.534282e-03, 4.782225e-01, 2.325552e-05, 6.235083e-05, 1.951640e-01, 6.157774e-07, 1.451435e-07, 2.761954e-01, 3.261241e-02, 1.379977e-02, 1.373863e-05, 1.035705e-06, 3.333534e-06, 2.203147e-07, 1.482414e-07, 4.693264e-06, 3.522793e-08, 1.096228e-04, 5.928075e-08, 5.838401e-08, 6.280924e-05, 1.773746e-04, 1.005539e-07, 8.500493e-08, 2.113649e-06, 4.526678e-08, 4.519670e-09, 5.392889e-07, 1.400796e-08, 6.508015e-08, 1.994352e-06, 8.920199e-07, 1.232380e-07, 2.645611e-08, 8.541212e-08, 9.512897e-07, 7.789010e-09, 1.035407e-06, 4.487948e-09, 3.826031e-09, 1.990467e-09, 1.617720e-08, 2.412247e-08, 1.372452e-08, 3.654913e-06, 2.387192e-08, 1.403560e-07, 1.775380e-09, 7.234522e-08, 6.111533e-09, 1.297695e-08, 4.022719e-08, 4.748536e-08, 4.824008e-09, 6.177667e-09, 1.398561e-02, 4.565563e+00, 1.443950e+04, 1.457617e+04
2.000000e-04, 2.225207e-05, 1.186247e+00, 1.119800e-01, 1.186247e+00, 8.988361e+00, 4.594930e+00, 2.018791e+08, 1.731810e+03, 1.731810e+03, 4.700082e+06, 3.534330e-03, 4.781984e-01, 2.273101e-05, 5.138345e-05, 1.951909e-01, 6.017968e-07, 1.175330e-07, 2.762056e-01, 3.260906e-02, 1.380360e-02, 1.343143e-05, 8.659673e-07, 3.160258e-06, 2.152006e-07, 1.471647e-07, 4.419706e-06, 3.533184e-08, 1.139392e-04, 5.771163e-08, 5.092042e-08, 6.280862e-05, 1.744399e-04, 8.531370e-08, 7.744558e-08, 1.519255e-06, 3.038347e-08, 3.874437e-09, 3.631669e-07, 8.891104e-09, 5.269613e-08, 1.260841e-06, 5.508356e-07, 7.619833e-08, 2.645648e-08, 4.717882e-08, 8.070501e-07, 5.962250e-09, 7.574790e-07, 2.497371e-09, 2.245627e-09, 1.326451e-09, 1.473115e-08, 1.802648e-08, 1.015852e-08, 3.682000e-06, 1.369024e-08, 9.487268e-08, 1.188912e-09, 4.099698e-08, 3.467873e-09, 5.979937e-09, 4.022774e-08, 2.717294e-08, 2.751409e-09, 3.453748e-09, 1.398581e-02, 4.565180e+00, 1.443911e+04, 1.457375e+04
3.000000e-04, 3.337675e-05, 1.186247e+00, 1.119800e-01, 1.186247e+00, 8.988983e+00, 4.594930e+00, 1.622742e+08, 1.731951e+03, 1.731951e+03, 4.700082e+06, 3.534372e-03, 4.781780e-01, 2.229752e-05, 4.225220e-05, 1.952140e-01, 5.902510e-07, 9.506084e-08, 2.762149e-01, 3.260544e-02, 1.380651e-02, 1.317945e-05, 7.771316e-07, 3.085403e-06, 2.110013e-07, 1.475196e-07, 4.327998e-06, 3.540819e-08, 1.171116e-04, 5.626208e-08, 4.430399e-08, 6.280774e-05, 1.714954e-04, 8.083229e-08, 7.624239e-08, 1.200242e-06, 2.577798e-08, 3.520903e-09, 2.712273e-07, 6.251601e-09, 4.256002e-08, 8.860328e-07, 3.750680e-07, 5.221522e-08, 2.645679e-08, 2.958023e-08, 6.649238e-07, 4.541712e-09, 5.574798e-07, 1.669485e-09, 1.638324e-09, 9.601667e-10, 1.273035e-08, 1.314589e-08, 7.679884e-09, 3.687851e-06, 9.325595e-09, 6.465108e-08, 8.028298e-10, 2.454280e-08, 2.081200e-09, 2.723994e-09, 4.022821e-08, 1.530955e-08, 1.546813e-09, 1.876659e-09, 1.398597e-02, 4.564864e+00, 1.443830e+04, 1.457186e+04
4.000000e-04, 4.450062e-05, 1.186247e+00, 1.119800e-01, 1.186247e+00, 8.989453e+00, 4.594930e+00, 1.338470e+08, 1.732057e+03, 1.732057e+03, 4.700082e+06, 3.534403e-03, 4.781615e-01, 2.198384e-05, 3.533599e-05, 1.952325e-01, 5.819023e-07, 7.878262e-08, 2.762233e-01, 3.260149e-02, 1.380898e-02, 1.299839e-05, 7.365271e-07, 3.054897e-06, 2.079725e-07, 1.483832e-07, 4.294940e-06, 3.538231e-08, 1.191125e-04, 5.508724e-08, 3.883705e-08, 6.280652e-05, 1.688855e-04, 7.965702e-08, 7.619320e-08, 1.060938e-06, 2.449323e-08, 3.361702e-09, 2.329362e-07, 5.146591e-09, 3.516663e-08, 7.296791e-07, 3.019557e-07, 4.224790e-08, 2.645703e-08, 2.242368e-08, 5.483069e-07, 3.589396e-09, 4.304216e-07, 1.340651e-09, 1.403754e-09, 7.404862e-10, 1.073525e-08, 9.864771e-09, 6.095966e-09, 3.678059e-06, 7.838088e-09, 4.785104e-08, 5.919502e-10, 1.707340e-08, 1.454304e-09, 1.521989e-09, 4.022856e-08, 9.537462e-09, 9.636256e-10, 1.147852e-09, 1.398610e-02, 4.564625e+00, 1.443724e+04, 1.457029e+04
5.000000e-04, 5.562400e-05, 1.186247e+00, 1.119800e-01, 1.186247e+00, 8.989836e+00, 4.594930e+00, 1.115263e+08, 1.732143e+03, 1.732143e+03, 4.700082e+06, 3.534429e-03, 4.781471e-01, 2.173177e-05, 2.972689e-05, 1.952481e-01, 5.751969e-07, 6.571895e-08, 2.762313e-01, 3.259738e-02, 1.381137e-02, 1.285347e-05, 7.093081e-07, 3.034781e-06, 2.055408e-07, 1.492057e-07, 4.269704e-06, 3.530340e-08, 1.205079e-04, 5.407409e-08, 3.416216e-08, 6.280510e-05, 1.665767e-04, 7.894986e-08, 7.614589e-08, 9.726357e-07, 2.370991e-08, 3.254908e-09, 2.091765e-07, 4.453224e-09, 2.932813e-08, 6.319119e-07, 2.564110e-07, 3.601313e-08, 2.645722e-08, 1.780623e-08, 4.538126e-07, 2.860899e-09, 3.358771e-07, 1.129824e-09, 1.253161e-09, 5.775950e-10, 9.020599e-09, 7.429895e-09, 4.890167e-09, 3.663029e-06, 6.974345e-09, 3.623070e-08, 4.461958e-10, 1.221429e-08, 1.046950e-09, 8.104424e-10, 4.022885e-08, 5.818913e-09, 5.879250e-10, 6.823383e-10, 1.398620e-02, 4.564431e+00, 1.443612e+04, 1.456883e+04
6.000000e-04, 6.674677e-05, 1.186247e+00, 1.119800e-01, 1.186247e+00, 8.990115e+00, 4.594930e+00, 9.601319e+07, 1.732206e+03, 1.732206e+03, 4.700082e+06, 3.534448e-03, 4.781353e-01, 2.155266e-05, 2.569448e-05, 1.952604e-01, 5.704378e-07, 5.646751e-08, 2.762387e-01, 3.259308e-02, 1.381371e-02, 1.275131e-05, 6.960018e-07, 3.024861e-06, 2.038156e-07, 1.499278e-07, 4.249934e-06, 3.516161e-08, 1.211858e-04, 5.325592e-08, 3.045953e-08, 6.280344e-05, 1.646465e-04, 7.858773e-08, 7.600027e-08, 9.376981e-07, 2.331544e-08, 3.202106e-09, 2.004078e-07, 4.183235e-09, 2.535575e-08, 5.943965e-07, 2.392294e-07, 3.360844e-08, 2.645736e-08, 1.571489e-08, 3.870504e-07, 2.394602e-09, 2.789918e-07, 1.035202e-09, 1.183723e-09, 4.788021e-10, 7.685262e-09, 6.001315e-09, 4.118267e-09, 3.642275e-06, 6.703914e-09, 3.045229e-08, 3.733292e-10, 1.010506e-08, 8.705211e-10, 5.836174e-10, 4.022905e-08, 4.349126e-09, 4.389166e-10, 4.992675e-10, 1.398627e-02, 4.564290e+00, 1.443493e+04, 1.456748e+04
7.000000e-04, 7.786955e-05, 1.186247e+00, 1.119800e-01, 1.186247e+00, 8.990393e+00, 4.594930e+00, 8.075447e+07, 1.732269e+03, 1.732269e+03, 4.700082e+06, 3.534467e-03, 4.781235e-01, 2.137354e-05, 2.166203e-05, 1.952726e-01, 5.656787e-07, 4.721597e-08, 2.762460e-01, 3.258877e-02, 1.381605e-02, 1.264915e-05, 6.826954e-07, 3.014942e-06, 2.020904e-07, 1.506500e-07, 4.230164e-06, 3.501981e-08, 1.218637e-04, 5.243773e-08, 2.675686e-08, 6.280178e-05, 1.627163e-04, 7.822559e-08, 7.585465e-08, 9.027601e-07, 2.292097e-08, 3.149304e-09, 1.916390e-07, 3.913244e-09, 2.138333e-08, 5.568806e-07, 2.220477e-07, 3.120371e-08, 2.645750e-08, 1.362353e-08, 3.202874e-07, 1.928299e-09, 2.221059e-07, 9.405779e-10, 1.114284e-09, 3.800082e-10, 6.349911e-09, 4.572719e-09, 3.346358e-09, 3.621521e-06, 6.433480e-09, 2.467382e-08, 3.004617e-10, 7.995819e-09, 6.940901e-10, 3.567901e-10, 4.022926e-08, 2.879324e-09, 2.899066e-10, 3.161948e-10, 1.398635e-02, 4.564149e+00, 1.443374e+04, 1.456613e+04
8.000000e-04, 8.899207e-05, 1.186247e+00, 1.119800e-01, 1.186247e+00, 8.990630e+00, 4.594930e+00, 6.807907e+07, 1.732322e+03, 1.732322e+03, 4.700082e+06, 3.534483e-03, 4.781128e-01, 2.122235e-05, 1.825680e-05, 1.952835e-01, 5.616643e-07, 3.949253e-08, 2.762532e-01, 3.258440e-02, 1.381838e-02, 1.256323e-05, 6.722648e-07, 3.007169e-06, 2.006350e-07, 1.512787e-07, 4.210700e-06, 3.485928e-08, 1.222890e-04, 5.170527e-08, 2.350866e-08, 6.280002e-05, 1.609528e-04, 7.789147e-08, 7.564916e-08, 8.773243e-07, 2.259408e-08, 3.105420e-09, 1.852916e-07, 3.713879e-09, 1.810156e-08, 5.295962e-07, 2.096324e-07, 2.943895e-08, 2.645762e-08, 1.201635e-08, 2.652418e-07, 1.553994e-09, 1.767312e-07, 8.681551e-10, 1.060724e-09, 3.014432e-10, 5.225037e-09, 3.457328e-09, 2.714098e-09, 3.599716e-06, 6.236755e-09, 2.032958e-08, 2.455993e-10, 6.445131e-09, 5.638943e-10, 2.013784e-10, 4.022943e-08, 1.804242e-09, 1.811011e-10, 1.857978e-10, 1.398641e-02, 4.564028e+00, 1.443254e+04, 1.456481e+04
9.000000e-04, 1.001142e-04, 1.186247e+00, 1.119800e-01, 1.186247e+00, 8.990804e+00, 4.594930e+00, 5.911267e+07, 1.732362e+03, 1.732362e+03, 4.700082e+06, 3.534495e-03, 4.781035e-01, 2.111384e-05, 1.581021e-05, 1.952924e-01, 5.587881e-07, 3.410456e-08, 2.762600e-01, 3.257994e-02, 1.382070e-02, 1.250213e-05, 6.662295e-07, 3.002678e-06, 1.995921e-07, 1.517644e-07, 4.191704e-06, 3.467011e-08, 1.223281e-04, 5.110385e-08, 2.095507e-08, 6.279813e-05, 1.594443e-04, 7.760017e-08, 7.535219e-08, 8.664111e-07, 2.237046e-08, 3.075164e-09, 1.826450e-07, 3.622455e-09, 1.587535e-08, 5.179490e-07, 2.045020e-07, 2.865228e-08, 2.645771e-08, 1.114916e-08, 2.281045e-07, 1.320292e-09, 1.489495e-07, 8.296630e-10, 1.031432e-09, 2.537952e-10, 4.421848e-09, 2.820623e-09, 2.295269e-09, 3.576307e-06, 6.152682e-09, 1.817732e-08, 2.182548e-10, 5.748109e-09, 5.043614e-10, 1.551137e-10, 4.022955e-08, 1.332426e-09, 1.337415e-10, 1.359071e-10, 1.398646e-02, 4.563940e+00, 1.443134e+04, 1.456354e+04
