Distance_PFRC4_(m), Plug_flow_residence_time_PFRC4_(sec), Internal_surface_area_per_unit_distance_PFRC4_(m), Cross-section_area_PFRC4_(m2), External_surface_area_per_unit_distance_PFRC4_(m), Velocity_PFRC4_(m/sec), Exit_mass_flow_rate_PFRC4_(kg/sec), Volumetric_heat_production_rate_PFRC4_(J/m3-sec), Surface_temperature_PFRC4_(K), Heat_loss_rate_PFRC4_(J/m-sec), Temperature_PFRC4_(K), Pressure_PFRC4_(Pa), Mole_fraction_N2_PFRC4_(), Mole_fraction_H2_PFRC4_(), Mole_fraction_H_PFRC4_(), Mole_fraction_O2_PFRC4_(), Mole_fraction_H2O_PFRC4_(), Mole_fraction_OH_PFRC4_(), Mole_fraction_CO_PFRC4_(), Mole_fraction_CO2_PFRC4_(), Mole_fraction_CH4_PFRC4_(), Mole_fraction_CH3_PFRC4_(), Mole_fraction_CH3OH_PFRC4_(), Mole_fraction_CH2O_PFRC4_(), Mole_fraction_HCO_PFRC4_(), Mole_fraction_HOCHO_PFRC4_(), Mole_fraction_C2H6_PFRC4_(), Mole_fraction_C2H5_PFRC4_(), Mole_fraction_C2H4_PFRC4_(), Mole_fraction_C2H3_PFRC4_(), Mole_fraction_CHCHO_PFRC4_(), Mole_fraction_C2H2_PFRC4_(), Mole_fraction_CH3CHO_PFRC4_(), Mole_fraction_C2H3OH_PFRC4_(), Mole_fraction_CH2CO_PFRC4_(), Mole_fraction_HCCOH_PFRC4_(), Mole_fraction_C3H6_PFRC4_(), Mole_fraction_C3H4-P_PFRC4_(), Mole_fraction_C3H4-A_PFRC4_(), Mole_fraction_C3H3_PFRC4_(), Mole_fraction_CCYCCO-T1_PFRC4_(), Mole_fraction_C4H4_PFRC4_(), Mole_fraction_C4H2_PFRC4_(), Mole_fraction_C6H6_PFRC4_(), Mole_fraction_OC5H7O_PFRC4_(), Molecular_weight_PFRC4_(kg/mole), Mass_density_PFRC4_(kg/m3), Unburned_hydrocarbons_PFRC4_(ppm), Volatile_organic_compounds_PFRC4_(ppm)
0.000000e+00, 0.000000e+00, 2.896647e+00, 6.677000e-01, 2.896647e+00, 1.709830e-01, 5.192595e-01, -4.796764e+06, 1.740658e+03, 0.000000e+00, 1.740658e+03, 4.700000e+06, 3.541893e-03, 4.761357e-01, 2.160282e-05, 1.080341e-08, 1.965241e-01, 5.884519e-07, 2.763706e-01, 3.217233e-02, 1.491880e-02, 1.385978e-05, 7.083713e-07, 3.000285e-06, 1.993839e-07, 1.549834e-07, 3.687007e-06, 2.737882e-08, 9.789264e-05, 3.971412e-08, 6.674213e-05, 1.242710e-04, 6.806265e-08, 6.078382e-08, 8.802764e-07, 1.825566e-08, 1.487661e-07, 4.175967e-07, 1.635118e-07, 2.352651e-08, 2.648032e-08, 2.432688e-08, 1.009806e-08, 1.833916e-06, 4.025041e-08, 1.400556e-02, 4.548312e+00, 1.539801e+04, 1.553796e+04
1.000000e-04, 5.848683e-04, 2.896647e+00, 6.677000e-01, 2.896647e+00, 1.709746e-01, 5.192595e-01, -6.175852e+06, 1.740396e+03, 2.501106e+04, 1.740396e+03, 4.699982e+06, 3.541547e-03, 4.761361e-01, 2.150117e-05, 1.085288e-08, 1.965304e-01, 5.852546e-07, 2.765042e-01, 3.207619e-02, 1.489801e-02, 1.377483e-05, 7.039424e-07, 2.999045e-06, 1.986893e-07, 1.552830e-07, 3.497580e-06, 2.491134e-08, 8.888621e-05, 3.564450e-08, 6.659950e-05, 1.115290e-04, 6.421254e-08, 5.510038e-08, 8.635968e-07, 1.636024e-08, 1.338530e-07, 3.714460e-07, 1.452416e-07, 2.075904e-08, 2.647773e-08, 1.938615e-08, 7.977290e-09, 1.211088e-06, 4.024590e-08, 1.400419e-02, 4.548535e+00, 1.532922e+04, 1.546880e+04
2.000000e-04, 1.169770e-03, 2.896647e+00, 6.677000e-01, 2.896647e+00, 1.709633e-01, 5.192595e-01, -6.882064e+06, 1.740093e+03, 2.501106e+04, 1.740093e+03, 4.699982e+06, 3.541163e-03, 4.761818e-01, 2.141539e-05, 1.081993e-08, 1.965047e-01, 5.823125e-07, 2.766010e-01, 3.201161e-02, 1.486017e-02, 1.368358e-05, 6.994016e-07, 2.997882e-06, 1.981414e-07, 1.554792e-07, 3.379254e-06, 2.342967e-08, 8.349726e-05, 3.319315e-08, 6.645705e-05, 1.038578e-04, 6.185650e-08, 5.167507e-08, 8.516315e-07, 1.520713e-08, 1.246816e-07, 3.427803e-07, 1.338702e-07, 1.902122e-08, 2.647486e-08, 1.662502e-08, 6.784233e-09, 7.868593e-07, 4.024097e-08, 1.400267e-02, 4.548835e+00, 1.526220e+04, 1.540144e+04
3.000000e-04, 1.754713e-03, 2.896647e+00, 6.677000e-01, 2.896647e+00, 1.709510e-01, 5.192595e-01, -7.164833e+06, 1.739768e+03, 2.501106e+04, 1.739768e+03, 4.699982e+06, 3.540758e-03, 4.762573e-01, 2.134009e-05, 1.078506e-08, 1.964571e-01, 5.795500e-07, 2.766724e-01, 3.196910e-02, 1.481237e-02, 1.358953e-05, 6.948203e-07, 2.996728e-06, 1.976828e-07, 1.556076e-07, 3.303225e-06, 2.253180e-08, 8.026357e-05, 3.170128e-08, 6.631512e-05, 9.921160e-05, 6.038887e-08, 4.958993e-08, 8.424972e-07, 1.449708e-08, 1.189620e-07, 3.247368e-07, 1.267019e-07, 1.791342e-08, 2.647184e-08, 1.503606e-08, 6.091700e-09, 5.075377e-07, 4.023580e-08, 1.400107e-02, 4.549163e+00, 1.519660e+04, 1.533552e+04
4.000000e-04, 2.339698e-03, 2.896647e+00, 6.677000e-01, 2.896647e+00, 1.709383e-01, 5.192595e-01, -7.226889e+06, 1.739435e+03, 2.501106e+04, 1.739435e+03, 4.699982e+06, 3.540344e-03, 4.763510e-01, 2.127138e-05, 1.074931e-08, 1.963956e-01, 5.769099e-07, 2.767274e-01, 3.194104e-02, 1.475921e-02, 1.349470e-05, 6.902444e-07, 2.995583e-06, 1.972774e-07, 1.556949e-07, 3.251072e-06, 2.196147e-08, 7.824301e-05, 3.074765e-08, 6.617389e-05, 9.626832e-05, 5.942100e-08, 4.825726e-08, 8.349802e-07, 1.403651e-08, 1.152026e-07, 3.127853e-07, 1.219520e-07, 1.717024e-08, 2.646874e-08, 1.406906e-08, 5.666145e-09, 3.271877e-07, 4.023052e-08, 1.399944e-02, 4.549501e+00, 1.513215e+04, 1.527076e+04
5.000000e-04, 2.924726e-03, 2.896647e+00, 6.677000e-01, 2.896647e+00, 1.709255e-01, 5.192595e-01, -7.195244e+06, 1.739101e+03, 2.501106e+04, 1.739101e+03, 4.699982e+06, 3.539928e-03, 4.764550e-01, 2.120667e-05, 1.071319e-08, 1.963260e-01, 5.743533e-07, 2.767721e-01, 3.192200e-02, 1.470358e-02, 1.340026e-05, 6.857011e-07, 2.994445e-06, 1.969015e-07, 1.557590e-07, 3.211237e-06, 2.155968e-08, 7.684542e-05, 3.007203e-08, 6.603345e-05, 9.420339e-05, 5.871032e-08, 4.731219e-08, 8.283278e-07, 1.370518e-08, 1.124709e-07, 3.040827e-07, 1.184982e-07, 1.662538e-08, 2.646563e-08, 1.342788e-08, 5.381649e-09, 2.118785e-07, 4.022523e-08, 1.399779e-02, 4.549841e+00, 1.506867e+04, 1.520697e+04
6.000000e-04, 3.509798e-03, 2.896647e+00, 6.677000e-01, 2.896647e+00, 1.709129e-01, 5.192595e-01, -7.123954e+06, 1.738768e+03, 2.501106e+04, 1.738768e+03, 4.699982e+06, 3.539512e-03, 4.765647e-01, 2.114458e-05, 1.067700e-08, 1.962515e-01, 5.718597e-07, 2.768103e-01, 3.190869e-02, 1.464693e-02, 1.330677e-05, 6.812052e-07, 2.993318e-06, 1.965433e-07, 1.558095e-07, 3.177996e-06, 2.124740e-08, 7.577774e-05, 2.954485e-08, 6.589386e-05, 9.260679e-05, 5.813650e-08, 4.657337e-08, 8.221668e-07, 1.344321e-08, 1.102987e-07, 2.971849e-07, 1.157684e-07, 1.619310e-08, 2.646252e-08, 1.296499e-08, 5.175390e-09, 1.401357e-07, 4.021994e-08, 1.399615e-02, 4.550178e+00, 1.500606e+04, 1.514406e+04
7.000000e-04, 4.094913e-03, 2.896647e+00, 6.677000e-01, 2.896647e+00, 1.709004e-01, 5.192595e-01, -7.036486e+06, 1.738439e+03, 2.501106e+04, 1.738439e+03, 4.699982e+06, 3.539100e-03, 4.766770e-01, 2.108424e-05, 1.064096e-08, 1.961748e-01, 5.694167e-07, 2.768447e-01, 3.189869e-02, 1.459017e-02, 1.321456e-05, 6.767682e-07, 2.992206e-06, 1.961959e-07, 1.558526e-07, 3.147938e-06, 2.097642e-08, 7.486275e-05, 2.908598e-08, 6.575513e-05, 9.122710e-05, 5.762652e-08, 4.592969e-08, 8.162677e-07, 1.321346e-08, 1.083927e-07, 2.911672e-07, 1.133943e-07, 1.581693e-08, 2.645944e-08, 1.257777e-08, 5.003160e-09, 9.524117e-08, 4.021470e-08, 1.399452e-02, 4.550510e+00, 1.494425e+04, 1.508196e+04
8.000000e-04, 4.680070e-03, 2.896647e+00, 6.677000e-01, 2.896647e+00, 1.708881e-01, 5.192595e-01, -6.948702e+06, 1.738113e+03, 2.501106e+04, 1.738113e+03, 4.699982e+06, 3.538692e-03, 4.767899e-01, 2.102513e-05, 1.060519e-08, 1.960972e-01, 5.670159e-07, 2.768769e-01, 3.189047e-02, 1.453373e-02, 1.312372e-05, 6.723936e-07, 2.991112e-06, 1.958553e-07, 1.558920e-07, 3.119400e-06, 2.072453e-08, 7.401661e-05, 2.865949e-08, 6.561728e-05, 8.994833e-05, 5.714637e-08, 4.533049e-08, 8.105269e-07, 1.299929e-08, 1.066187e-07, 2.856029e-07, 1.112048e-07, 1.547099e-08, 2.645639e-08, 1.223062e-08, 4.849249e-09, 6.595772e-08, 4.020950e-08, 1.399290e-02, 4.550837e+00, 1.488321e+04, 1.502061e+04
9.000000e-04, 5.265269e-03, 2.896647e+00, 6.677000e-01, 2.896647e+00, 1.708759e-01, 5.192595e-01, -6.874316e+06, 1.737792e+03, 2.501106e+04, 1.737792e+03, 4.699982e+06, 3.538288e-03, 4.769020e-01, 2.096681e-05, 1.056975e-08, 1.960200e-01, 5.646498e-07, 2.769082e-01, 3.188288e-02, 1.447793e-02, 1.303429e-05, 6.680822e-07, 2.990037e-06, 1.955184e-07, 1.559305e-07, 3.091075e-06, 2.047515e-08, 7.317592e-05, 2.823946e-08, 6.548028e-05, 8.868507e-05, 5.667059e-08, 4.473855e-08, 8.048687e-07, 1.278885e-08, 1.048803e-07, 2.801923e-07, 1.090790e-07, 1.513766e-08, 2.645337e-08, 1.190072e-08, 4.703860e-09, 4.343966e-08, 4.020436e-08, 1.399131e-02, 4.551161e+00, 1.482288e+04, 1.495999e+04
