Distance_PFRC7_(m), Plug_flow_residence_time_PFRC7_(sec), Internal_surface_area_per_unit_distance_PFRC7_(m), Cross-section_area_PFRC7_(m2), External_surface_area_per_unit_distance_PFRC7_(m), Velocity_PFRC7_(m/sec), Exit_mass_flow_rate_PFRC7_(kg/sec), Volumetric_heat_production_rate_PFRC7_(J/m3-sec), Surface_temperature_PFRC7_(K), Heat_loss_rate_PFRC7_(J/m-sec), Temperature_PFRC7_(K), Pressure_PFRC7_(Pa), Mole_fraction_N2_PFRC7_(), Mole_fraction_H2_PFRC7_(), Mole_fraction_H_PFRC7_(), Mole_fraction_H2O_PFRC7_(), Mole_fraction_OH_PFRC7_(), Mole_fraction_CO_PFRC7_(), Mole_fraction_CO2_PFRC7_(), Mole_fraction_CH4_PFRC7_(), Mole_fraction_CH3_PFRC7_(), Mole_fraction_CH3OH_PFRC7_(), Mole_fraction_CH2O_PFRC7_(), Mole_fraction_HCO_PFRC7_(), Mole_fraction_HOCHO_PFRC7_(), Mole_fraction_C2H6_PFRC7_(), Mole_fraction_C2H4_PFRC7_(), Mole_fraction_C2H3_PFRC7_(), Mole_fraction_CHCHO_PFRC7_(), Mole_fraction_C2H2_PFRC7_(), Mole_fraction_CH3CHO_PFRC7_(), Mole_fraction_C2H3OH_PFRC7_(), Mole_fraction_CH2CO_PFRC7_(), Mole_fraction_C3H6_PFRC7_(), Mole_fraction_C3H4-P_PFRC7_(), Mole_fraction_C3H4-A_PFRC7_(), Mole_fraction_CCYCCO-T1_PFRC7_(), Mole_fraction_OC5H7O_PFRC7_(), Molecular_weight_PFRC7_(kg/mole), Mass_density_PFRC7_(kg/m3), Unburned_hydrocarbons_PFRC7_(ppm), Volatile_organic_compounds_PFRC7_(ppm)
0.000000e+00, 0.000000e+00, 1.735181e-01, 2.395960e-03, 1.735181e-01, 7.110530e+00, 7.788893e-02, -3.310127e+06, 1.717863e+03, 0.000000e+00, 1.717863e+03, 4.699982e+06, 3.513629e-03, 4.838998e-01, 1.763589e-05, 1.912037e-01, 4.349831e-07, 2.786525e-01, 3.155386e-02, 1.101686e-02, 8.232618e-06, 4.347798e-07, 2.942727e-06, 1.755727e-07, 1.580635e-07, 1.678918e-06, 3.527721e-05, 1.110076e-08, 5.554229e-05, 3.630977e-05, 3.389058e-08, 1.945998e-08, 5.120701e-07, 3.622972e-08, 8.339189e-08, 3.229225e-08, 2.626901e-08, 3.988109e-08, 1.389380e-02, 4.571873e+00, 1.117218e+04, 1.128841e+04
1.000000e-02, 1.406823e-03, 1.735181e-01, 2.395960e-03, 1.735181e-01, 7.106041e+00, 7.788893e-02, -3.043871e+06, 1.716560e+03, 2.057880e+04, 1.716560e+03, 4.699976e+06, 3.513188e-03, 4.840340e-01, 1.743051e-05, 1.911087e-01, 4.281975e-07, 2.786749e-01, 3.155681e-02, 1.095484e-02, 8.089348e-06, 4.286266e-07, 2.941242e-06, 1.742232e-07, 1.582654e-07, 1.658504e-06, 3.468527e-05, 1.078027e-08, 5.533016e-05, 3.537640e-05, 3.350423e-08, 1.902545e-08, 5.046026e-07, 3.532230e-08, 8.063199e-08, 3.121253e-08, 2.626571e-08, 3.987509e-08, 1.389206e-02, 4.574761e+00, 1.110691e+04, 1.122268e+04
2.000000e-02, 2.814517e-03, 1.735181e-01, 2.395960e-03, 1.735181e-01, 7.101594e+00, 7.788893e-02, -2.896214e+06, 1.715278e+03, 2.057880e+04, 1.715278e+03, 4.699977e+06, 3.512762e-03, 4.841734e-01, 1.722909e-05, 1.910069e-01, 4.215612e-07, 2.786870e-01, 3.156946e-02, 1.089531e-02, 7.950737e-06, 4.226115e-07, 2.939754e-06, 1.728841e-07, 1.584611e-07, 1.635625e-06, 3.398137e-05, 1.042639e-08, 5.512180e-05, 3.431983e-05, 3.307720e-08, 1.853548e-08, 4.971900e-07, 3.430822e-08, 7.762382e-08, 3.003786e-08, 2.626253e-08, 3.986928e-08, 1.389037e-02, 4.577626e+00, 1.104366e+04, 1.115899e+04
3.000000e-02, 4.223090e-03, 1.735181e-01, 2.395960e-03, 1.735181e-01, 7.097177e+00, 7.788893e-02, -2.785672e+06, 1.714010e+03, 2.057880e+04, 1.714010e+03, 4.699977e+06, 3.512350e-03, 4.843131e-01, 1.703161e-05, 1.909036e-01, 4.150783e-07, 2.786939e-01, 3.158653e-02, 1.083776e-02, 7.816420e-06, 4.167674e-07, 2.938304e-06, 1.715622e-07, 1.586516e-07, 1.612753e-06, 3.327045e-05, 1.007777e-08, 5.491713e-05, 3.327190e-05, 3.265193e-08, 1.804798e-08, 4.899704e-07, 3.330612e-08, 7.468855e-08, 2.889237e-08, 2.625944e-08, 3.986364e-08, 1.388874e-02, 4.580475e+00, 1.098239e+04, 1.109729e+04
4.000000e-02, 5.632538e-03, 1.735181e-01, 2.395960e-03, 1.735181e-01, 7.092780e+00, 7.788893e-02, -2.689319e+06, 1.712753e+03, 2.057880e+04, 1.712753e+03, 4.699977e+06, 3.511950e-03, 4.844508e-01, 1.683778e-05, 1.908010e-01, 4.087424e-07, 2.786982e-01, 3.160543e-02, 1.078200e-02, 7.686074e-06, 4.110896e-07, 2.936903e-06, 1.702579e-07, 1.588394e-07, 1.590556e-06, 3.258092e-05, 9.743546e-09, 5.471606e-05, 3.226422e-05, 3.223960e-08, 1.757787e-08, 4.829637e-07, 3.234476e-08, 7.189377e-08, 2.780204e-08, 2.625645e-08, 3.985817e-08, 1.388716e-02, 4.583314e+00, 1.092304e+04, 1.103751e+04
5.000000e-02, 7.042859e-03, 1.735181e-01, 2.395960e-03, 1.735181e-01, 7.088398e+00, 7.788893e-02, -2.599752e+06, 1.711507e+03, 2.057880e+04, 1.711507e+03, 4.699977e+06, 3.511563e-03, 4.845857e-01, 1.664734e-05, 1.907003e-01, 4.025466e-07, 2.787011e-01, 3.162508e-02, 1.072791e-02, 7.559463e-06, 4.055714e-07, 2.935553e-06, 1.689707e-07, 1.590258e-07, 1.569124e-06, 3.191682e-05, 9.424536e-09, 5.451848e-05, 3.130021e-05, 3.184168e-08, 1.712696e-08, 4.761650e-07, 3.142704e-08, 6.924305e-08, 2.676818e-08, 2.625356e-08, 3.985285e-08, 1.388563e-02, 4.586148e+00, 1.086551e+04, 1.097957e+04
6.000000e-02, 8.454049e-03, 1.735181e-01, 2.395960e-03, 1.735181e-01, 7.084031e+00, 7.788893e-02, -2.515959e+06, 1.710269e+03, 2.057880e+04, 1.710269e+03, 4.699977e+06, 3.511187e-03, 4.847176e-01, 1.646016e-05, 1.906016e-01, 3.964851e-07, 2.787027e-01, 3.164525e-02, 1.067545e-02, 7.436410e-06, 4.002055e-07, 2.934252e-06, 1.676998e-07, 1.592111e-07, 1.548374e-06, 3.127492e-05, 9.119230e-09, 5.432430e-05, 3.037528e-05, 3.145672e-08, 1.669319e-08, 4.695627e-07, 3.054840e-08, 6.672238e-08, 2.578531e-08, 2.625075e-08, 3.984767e-08, 1.388414e-02, 4.588975e+00, 1.080973e+04, 1.092338e+04
7.000000e-02, 9.866109e-03, 1.735181e-01, 2.395960e-03, 1.735181e-01, 7.079677e+00, 7.788893e-02, -2.437203e+06, 1.709041e+03, 2.057880e+04, 1.709041e+03, 4.699977e+06, 3.510823e-03, 4.848466e-01, 1.627611e-05, 1.905048e-01, 3.905528e-07, 2.787033e-01, 3.166583e-02, 1.062454e-02, 7.316753e-06, 3.949854e-07, 2.932999e-06, 1.664448e-07, 1.593955e-07, 1.528290e-06, 3.065474e-05, 8.827047e-09, 5.413343e-05, 2.948789e-05, 3.108436e-08, 1.627599e-08, 4.631481e-07, 2.970716e-08, 6.432490e-08, 2.485073e-08, 2.624802e-08, 3.984264e-08, 1.388270e-02, 4.591797e+00, 1.075564e+04, 1.086888e+04
8.000000e-02, 1.127904e-02, 1.735181e-01, 2.395960e-03, 1.735181e-01, 7.075336e+00, 7.788893e-02, -2.358274e+06, 1.707821e+03, 2.057880e+04, 1.707821e+03, 4.699977e+06, 3.510469e-03, 4.849726e-01, 1.609510e-05, 1.904100e-01, 3.847453e-07, 2.787030e-01, 3.168668e-02, 1.057513e-02, 7.200353e-06, 3.899052e-07, 2.931791e-06, 1.652050e-07, 1.595792e-07, 1.508878e-06, 3.005622e-05, 8.547187e-09, 5.394579e-05, 2.863678e-05, 3.072435e-08, 1.587470e-08, 4.569131e-07, 2.890189e-08, 6.204327e-08, 2.396150e-08, 2.624538e-08, 3.983775e-08, 1.388130e-02, 4.594614e+00, 1.070316e+04, 1.081600e+04
9.000000e-02, 1.269283e-02, 1.735181e-01, 2.395960e-03, 1.735181e-01, 7.071007e+00, 7.788893e-02, -2.285342e+06, 1.706609e+03, 2.057880e+04, 1.706609e+03, 4.699978e+06, 3.510126e-03, 4.850958e-01, 1.591699e-05, 1.903171e-01, 3.790575e-07, 2.787018e-01, 3.170775e-02, 1.052715e-02, 7.087043e-06, 3.849581e-07, 2.930627e-06, 1.639802e-07, 1.597624e-07, 1.490070e-06, 2.947754e-05, 8.279275e-09, 5.376130e-05, 2.781959e-05, 3.037586e-08, 1.548853e-08, 4.508495e-07, 2.813015e-08, 5.987119e-08, 2.311521e-08, 2.624281e-08, 3.983299e-08, 1.387995e-02, 4.597427e+00, 1.065223e+04, 1.076468e+04
