Distance_PFRC3_(m), Plug_flow_residence_time_PFRC3_(sec), Internal_surface_area_per_unit_distance_PFRC3_(m), Cross-section_area_PFRC3_(m2), External_surface_area_per_unit_distance_PFRC3_(m), Velocity_PFRC3_(m/sec), Exit_mass_flow_rate_PFRC3_(kg/sec), Volumetric_heat_production_rate_PFRC3_(J/m3-sec), Surface_temperature_PFRC3_(K), Temperature_PFRC3_(K), Pressure_PFRC3_(Pa), Mole_fraction_N2_PFRC3_(), Mole_fraction_H2_PFRC3_(), Mole_fraction_H_PFRC3_(), Mole_fraction_O2_PFRC3_(), Mole_fraction_H2O_PFRC3_(), Mole_fraction_OH_PFRC3_(), Mole_fraction_H2O2_PFRC3_(), Mole_fraction_HO2_PFRC3_(), Mole_fraction_CO_PFRC3_(), Mole_fraction_CO2_PFRC3_(), Mole_fraction_CH4_PFRC3_(), Mole_fraction_CH3_PFRC3_(), Mole_fraction_CH3OH_PFRC3_(), Mole_fraction_CH2O_PFRC3_(), Mole_fraction_HCO_PFRC3_(), Mole_fraction_HOCHO_PFRC3_(), Mole_fraction_C2H6_PFRC3_(), Mole_fraction_C2H5_PFRC3_(), Mole_fraction_C2H4_PFRC3_(), Mole_fraction_C2H3_PFRC3_(), Mole_fraction_CHOCHO_PFRC3_(), Mole_fraction_CHCHO_PFRC3_(), Mole_fraction_C2H2_PFRC3_(), Mole_fraction_CH3CHO_PFRC3_(), Mole_fraction_C2H3OH_PFRC3_(), Mole_fraction_CH2CO_PFRC3_(), Mole_fraction_HCCOH_PFRC3_(), Mole_fraction_C3H8_PFRC3_(), Mole_fraction_C3H6_PFRC3_(), Mole_fraction_C3H5-A_PFRC3_(), Mole_fraction_CH3CHCO_PFRC3_(), Mole_fraction_C3H4-P_PFRC3_(), Mole_fraction_C3H4-A_PFRC3_(), Mole_fraction_C3H3_PFRC3_(), Mole_fraction_C2H3CHO_PFRC3_(), Mole_fraction_CCYCCO-T1_PFRC3_(), Mole_fraction_C4H8-1_PFRC3_(), Mole_fraction_C4H6_PFRC3_(), Mole_fraction_C4H4_PFRC3_(), Mole_fraction_C4H3-I_PFRC3_(), Mole_fraction_C4H2_PFRC3_(), Mole_fraction_C4H612_PFRC3_(), Mole_fraction_C4H6-2_PFRC3_(), Mole_fraction_H2C4O_PFRC3_(), Mole_fraction_L-C6H4_PFRC3_(), Mole_fraction_C-C6H4_PFRC3_(), Mole_fraction_C6H2_PFRC3_(), Mole_fraction_C6H6_PFRC3_(), Mole_fraction_FULVENE_PFRC3_(), Mole_fraction_C6H5OH_PFRC3_(), Mole_fraction_C6H5O_PFRC3_(), Mole_fraction_C5H6_PFRC3_(), Mole_fraction_C5H5_PFRC3_(), Mole_fraction_C5H4O_PFRC3_(), Mole_fraction_OC5H7O_PFRC3_(), Mole_fraction_IND_PFRC3_(), Mole_fraction_C9H7_PFRC3_(), Mole_fraction_C9H6O_PFRC3_(), Molecular_weight_PFRC3_(kg/mole), Mass_density_PFRC3_(kg/m3), Unburned_hydrocarbons_PFRC3_(ppm), Volatile_organic_compounds_PFRC3_(ppm)
0.000000e+00, 0.000000e+00, 1.186247e+00, 1.119800e-01, 1.186247e+00, 6.792098e+00, 3.461730e+00, 1.264432e+09, 1.739456e+03, 1.739456e+03, 4.700000e+06, 3.541881e-03, 4.767509e-01, 2.154472e-05, 1.031811e-04, 1.959990e-01, 6.526344e-07, 9.512536e-09, 3.149742e-07, 2.756623e-01, 3.268021e-02, 1.476070e-02, 1.582100e-05, 1.892358e-06, 4.805066e-06, 1.999794e-07, 1.551301e-07, 8.522897e-06, 3.713016e-08, 1.244102e-04, 6.968459e-08, 8.977692e-08, 6.707935e-05, 2.308709e-04, 2.564991e-07, 3.212971e-07, 4.939902e-06, 2.389049e-07, 2.366082e-08, 1.075278e-06, 3.980613e-08, 1.085200e-07, 5.801481e-06, 2.238977e-06, 6.263459e-07, 1.324481e-08, 2.648004e-08, 1.260122e-08, 3.209720e-07, 1.357128e-06, 1.959689e-08, 2.024773e-06, 5.710134e-08, 3.629830e-08, 3.372311e-08, 1.927237e-08, 4.204035e-08, 2.803159e-08, 4.701790e-06, 9.000339e-08, 2.980537e-07, 1.703957e-08, 2.104004e-07, 3.582796e-08, 5.159316e-08, 4.025166e-08, 1.197258e-07, 2.362796e-08, 1.734832e-08, 1.400551e-02, 4.551440e+00, 1.558120e+04, 1.573729e+04
1.000000e-04, 1.472264e-05, 1.186247e+00, 1.119800e-01, 1.186247e+00, 6.792602e+00, 3.461730e+00, 3.240157e+08, 1.739661e+03, 1.739661e+03, 4.700078e+06, 3.541977e-03, 4.766877e-01, 2.518882e-05, 7.592953e-05, 1.960620e-01, 6.859162e-07, 1.185359e-08, 1.812150e-07, 2.756842e-01, 3.267530e-02, 1.477403e-02, 1.596949e-05, 1.126190e-06, 3.343638e-06, 2.326244e-07, 1.448780e-07, 5.412332e-06, 4.515445e-08, 1.371404e-04, 7.903481e-08, 7.329672e-08, 6.708027e-05, 2.279859e-04, 1.103573e-07, 1.038758e-07, 2.255789e-06, 4.853164e-08, 5.363416e-09, 5.545481e-07, 1.508508e-08, 7.836135e-08, 2.124305e-06, 9.408851e-07, 1.387399e-07, 3.104153e-09, 2.648095e-08, 7.996111e-10, 8.319161e-08, 1.163829e-06, 9.710882e-09, 1.200642e-06, 4.563196e-09, 3.980211e-09, 2.183365e-09, 2.058262e-08, 2.812031e-08, 1.594547e-08, 4.862236e-06, 2.381741e-08, 1.544472e-07, 2.066504e-09, 7.275708e-08, 6.481912e-09, 1.214346e-08, 4.025278e-08, 4.876486e-08, 5.169360e-09, 6.179600e-09, 1.400589e-02, 4.551102e+00, 1.558324e+04, 1.572906e+04
2.000000e-04, 2.944275e-05, 1.186247e+00, 1.119800e-01, 1.186247e+00, 6.793564e+00, 3.461730e+00, 2.336161e+08, 1.739949e+03, 1.739949e+03, 4.700078e+06, 3.542060e-03, 4.766469e-01, 2.434076e-05, 5.691962e-05, 1.961088e-01, 6.626700e-07, 8.646278e-09, 1.322790e-07, 2.757017e-01, 3.266921e-02, 1.477962e-02, 1.543925e-05, 9.096697e-07, 3.150964e-06, 2.245711e-07, 1.447612e-07, 5.147428e-06, 4.513919e-08, 1.437013e-04, 7.588068e-08, 6.002920e-08, 6.708014e-05, 2.228763e-04, 9.687302e-08, 9.850881e-08, 1.472599e-06, 3.492020e-08, 4.577259e-09, 3.517970e-07, 8.646886e-09, 5.713797e-08, 1.204918e-06, 5.094511e-07, 7.585905e-08, 1.709368e-09, 2.648157e-08, 4.289333e-10, 3.895780e-08, 8.826905e-07, 6.506225e-09, 7.624663e-07, 2.333812e-09, 2.308752e-09, 1.329173e-09, 1.691989e-08, 1.766594e-08, 1.046992e-08, 4.882883e-06, 1.236502e-08, 8.608587e-08, 1.139835e-09, 3.231691e-08, 2.898874e-09, 3.656495e-09, 4.025372e-08, 2.053437e-08, 2.171561e-09, 2.442116e-09, 1.400622e-02, 4.550457e+00, 1.558211e+04, 1.572529e+04
3.000000e-04, 4.416076e-05, 1.186247e+00, 1.119800e-01, 1.186247e+00, 6.794191e+00, 3.461730e+00, 1.787438e+08, 1.740136e+03, 1.740136e+03, 4.700078e+06, 3.542116e-03, 4.766176e-01, 2.381271e-05, 4.448020e-05, 1.961418e-01, 6.482121e-07, 6.642060e-09, 1.016602e-07, 2.757165e-01, 3.266221e-02, 1.478384e-02, 1.511270e-05, 8.422696e-07, 3.099185e-06, 2.195859e-07, 1.461580e-07, 5.079856e-06, 4.494882e-08, 1.469777e-04, 7.357087e-08, 5.004216e-08, 6.707882e-05, 2.185411e-04, 9.490104e-08, 9.825839e-08, 1.240148e-06, 3.278176e-08, 4.321656e-09, 2.947887e-07, 6.817424e-09, 4.399211e-08, 9.532865e-07, 3.915016e-07, 5.851194e-08, 1.337333e-09, 2.648199e-08, 3.298080e-10, 2.746258e-08, 6.770024e-07, 4.707884e-09, 5.396323e-07, 1.773980e-09, 1.906515e-09, 9.359885e-10, 1.326540e-08, 1.193466e-08, 7.665087e-09, 4.856178e-06, 1.001837e-08, 5.765785e-08, 7.570177e-10, 2.000742e-08, 1.803221e-09, 1.668997e-09, 4.025434e-08, 1.107498e-08, 1.169232e-09, 1.247609e-09, 1.400644e-02, 4.550038e+00, 1.558022e+04, 1.572254e+04
4.000000e-04, 5.887796e-05, 1.186247e+00, 1.119800e-01, 1.186247e+00, 6.794698e+00, 3.461730e+00, 1.365526e+08, 1.740288e+03, 1.740288e+03, 4.700078e+06, 3.542161e-03, 4.765923e-01, 2.339258e-05, 3.442831e-05, 1.961697e-01, 6.367170e-07, 5.060265e-09, 7.747910e-08, 2.757305e-01, 3.265490e-02, 1.478792e-02, 1.485405e-05, 8.013042e-07, 3.068429e-06, 2.156256e-07, 1.475435e-07, 5.030556e-06, 4.467942e-08, 1.491964e-04, 7.160394e-08, 4.143169e-08, 6.707709e-05, 2.146763e-04, 9.392325e-08, 9.808717e-08, 1.110778e-06, 3.172676e-08, 4.160740e-09, 2.643207e-07, 5.808137e-09, 3.370122e-08, 8.185477e-07, 3.286823e-07, 4.909869e-08, 1.111403e-09, 2.648233e-08, 2.745238e-10, 2.097464e-08, 5.107813e-07, 3.369995e-09, 3.783787e-07, 1.459151e-09, 1.679961e-09, 6.532926e-10, 1.008381e-08, 7.804875e-09, 5.573009e-09, 4.819407e-06, 8.922840e-09, 3.928735e-08, 5.099632e-10, 1.288453e-08, 1.166348e-09, 7.036514e-10, 4.025484e-08, 5.517324e-09, 5.811086e-10, 5.737624e-10, 1.400662e-02, 4.549698e+00, 1.557820e+04, 1.572000e+04
5.000000e-04, 7.359443e-05, 1.186247e+00, 1.119800e-01, 1.186247e+00, 6.795103e+00, 3.461730e+00, 1.044123e+08, 1.740410e+03, 1.740410e+03, 4.700078e+06, 3.542197e-03, 4.765702e-01, 2.306285e-05, 2.645643e-05, 1.961932e-01, 6.277040e-07, 3.848429e-09, 5.893567e-08, 2.757438e-01, 3.264734e-02, 1.479195e-02, 1.465206e-05, 7.769322e-07, 3.050106e-06, 2.125230e-07, 1.487978e-07, 4.988317e-06, 4.433580e-08, 1.505319e-04, 6.994108e-08, 3.408538e-08, 6.707498e-05, 2.112648e-04, 9.332559e-08, 9.776805e-08, 1.046540e-06, 3.113111e-08, 4.059281e-09, 2.501773e-07, 5.316770e-09, 2.585930e-08, 7.546647e-07, 2.993210e-07, 4.458894e-08, 9.714293e-10, 2.648260e-08, 2.464304e-10, 1.740248e-08, 3.816985e-07, 2.422905e-09, 2.658931e-07, 1.289446e-09, 1.555654e-09, 4.579681e-10, 7.439467e-09, 5.001749e-09, 4.036377e-09, 4.775840e-06, 8.478165e-09, 2.837426e-08, 3.647729e-10, 9.077297e-09, 8.282346e-10, 3.183902e-10, 4.025524e-08, 2.550200e-09, 2.689267e-10, 2.480789e-10, 1.400676e-02, 4.549426e+00, 1.557610e+04, 1.571761e+04
6.000000e-04, 8.831004e-05, 1.186247e+00, 1.119800e-01, 1.186247e+00, 6.795392e+00, 3.461730e+00, 8.257929e+07, 1.740497e+03, 1.740497e+03, 4.700078e+06, 3.542223e-03, 4.765520e-01, 2.283173e-05, 2.088175e-05, 1.962115e-01, 6.213976e-07, 3.022294e-09, 4.628537e-08, 2.757562e-01, 3.263954e-02, 1.479599e-02, 1.451173e-05, 7.630641e-07, 3.039369e-06, 2.103521e-07, 1.497449e-07, 4.948783e-06, 4.394215e-08, 1.509456e-04, 6.861816e-08, 2.840129e-08, 6.707245e-05, 2.084265e-04, 9.278628e-08, 9.721771e-08, 1.019173e-06, 3.068586e-08, 3.992133e-09, 2.444223e-07, 5.106185e-09, 2.069409e-08, 7.275311e-07, 2.872708e-07, 4.268011e-08, 8.875100e-10, 2.648279e-08, 2.333183e-10, 1.549714e-08, 2.975533e-07, 1.848308e-09, 1.989844e-07, 1.201508e-09, 1.487865e-09, 3.421911e-10, 5.608270e-09, 3.460519e-09, 3.040515e-09, 4.727890e-06, 8.287634e-09, 2.319181e-08, 2.959598e-10, 7.362861e-09, 6.786311e-10, 1.937785e-10, 4.025552e-08, 1.463472e-09, 1.540053e-10, 1.331769e-10, 1.400687e-02, 4.549233e+00, 1.557398e+04, 1.571534e+04
7.000000e-04, 1.030254e-04, 1.186247e+00, 1.119800e-01, 1.186247e+00, 6.795656e+00, 3.461730e+00, 6.311803e+07, 1.740576e+03, 1.740576e+03, 4.700078e+06, 3.542246e-03, 4.765345e-01, 2.262110e-05, 1.581533e-05, 1.962288e-01, 6.156533e-07, 2.273640e-09, 3.482044e-08, 2.757684e-01, 3.263170e-02, 1.480003e-02, 1.438416e-05, 7.506595e-07, 3.029736e-06, 2.083743e-07, 1.506131e-07, 4.910075e-06, 4.354676e-08, 1.511862e-04, 6.736923e-08, 2.312500e-08, 6.706983e-05, 2.057121e-04, 9.224591e-08, 9.663302e-08, 9.955791e-07, 3.026115e-08, 3.929137e-09, 2.393791e-07, 4.922648e-09, 1.605749e-08, 7.038384e-07, 2.768199e-07, 4.101829e-08, 8.121800e-10, 2.648296e-08, 2.217801e-10, 1.380814e-08, 2.224794e-07, 1.339105e-09, 1.398783e-07, 1.123519e-09, 1.426974e-09, 2.399357e-10, 3.963485e-09, 2.122465e-09, 2.147896e-09, 4.679620e-06, 8.114492e-09, 1.876007e-08, 2.370072e-10, 5.899650e-09, 5.511042e-10, 8.967668e-11, 4.025577e-08, 5.623311e-10, 5.873561e-11, 3.882513e-11, 1.400696e-02, 4.549057e+00, 1.557186e+04, 1.571309e+04
8.000000e-04, 1.177405e-04, 1.186247e+00, 1.119800e-01, 1.186247e+00, 6.795871e+00, 3.461730e+00, 4.779366e+07, 1.740640e+03, 1.740640e+03, 4.700078e+06, 3.542265e-03, 4.765187e-01, 2.245135e-05, 1.176287e-05, 1.962438e-01, 6.110305e-07, 1.679557e-09, 2.572028e-08, 2.757803e-01, 3.262379e-02, 1.480407e-02, 1.428208e-05, 7.411747e-07, 3.022306e-06, 2.067818e-07, 1.513239e-07, 4.873015e-06, 4.314789e-08, 1.510819e-04, 6.626794e-08, 1.866228e-08, 6.706703e-05, 2.032452e-04, 9.170343e-08, 9.597979e-08, 9.795146e-07, 2.987743e-08, 3.874423e-09, 2.357557e-07, 4.793069e-09, 1.247545e-08, 6.870102e-07, 2.695596e-07, 3.984924e-08, 7.539854e-10, 2.648310e-08, 2.133818e-10, 1.255070e-08, 1.655021e-07, 9.603569e-10, 9.633770e-08, 1.065375e-09, 1.379846e-09, 1.646549e-10, 2.690579e-09, 1.189725e-09, 1.461237e-09, 4.630716e-06, 7.976039e-09, 1.582589e-08, 1.977251e-10, 4.937604e-09, 4.676178e-10, 2.648956e-11, 4.025597e-08, 3.141566e-11, 2.668470e-12, -1.453180e-11, 1.400703e-02, 4.548913e+00, 1.556975e+04, 1.571088e+04
9.000000e-04, 1.324552e-04, 1.186247e+00, 1.119800e-01, 1.186247e+00, 6.796045e+00, 3.461730e+00, 3.581107e+07, 1.740692e+03, 1.740692e+03, 4.700078e+06, 3.542280e-03, 4.765042e-01, 2.231556e-05, 8.552695e-06, 1.962570e-01, 6.073392e-07, 1.213871e-09, 1.858446e-08, 2.757918e-01, 3.261583e-02, 1.480809e-02, 1.420117e-05, 7.341151e-07, 3.016705e-06, 2.055095e-07, 1.519039e-07, 4.837325e-06, 4.274613e-08, 1.506909e-04, 6.528929e-08, 1.487537e-08, 6.706409e-05, 2.009838e-04, 9.115921e-08, 9.526964e-08, 9.697040e-07, 2.952776e-08, 3.826589e-09, 2.333118e-07, 4.708311e-09, 9.769387e-09, 6.758842e-07, 2.649496e-07, 3.908951e-08, 7.100246e-10, 2.648322e-08, 2.075917e-10, 1.165176e-08, 1.235572e-07, 6.899732e-10, 6.572692e-08, 1.023715e-09, 1.344151e-09, 1.117812e-10, 1.726584e-09, 5.936683e-10, 9.456651e-10, 4.581284e-06, 7.866402e-09, 1.413570e-08, 1.747826e-10, 4.391862e-09, 4.207146e-10, -2.710992e-12, 4.025613e-08, -1.919652e-10, -2.083429e-11, -3.383556e-11, 1.400709e-02, 4.548796e+00, 1.556765e+04, 1.570871e+04
