Distance_PFRC7_(m), Plug_flow_residence_time_PFRC7_(sec), Internal_surface_area_per_unit_distance_PFRC7_(m), Cross-section_area_PFRC7_(m2), External_surface_area_per_unit_distance_PFRC7_(m), Velocity_PFRC7_(m/sec), Exit_mass_flow_rate_PFRC7_(kg/sec), Volumetric_heat_production_rate_PFRC7_(J/m3-sec), Surface_temperature_PFRC7_(K), Temperature_PFRC7_(K), Pressure_PFRC7_(Pa), Mass_fraction_H2_PFRC7_(), Mass_fraction_H_PFRC7_(), Mass_fraction_OH_PFRC7_(), Mass_fraction_H2O_PFRC7_(), Mass_fraction_CH3_PFRC7_(), Mass_fraction_CH4_PFRC7_(), Mass_fraction_CO_PFRC7_(), Mass_fraction_CO2_PFRC7_(), Mass_fraction_HCO_PFRC7_(), Mass_fraction_CH2O_PFRC7_(), Mass_fraction_CH3OH_PFRC7_(), Mass_fraction_C2H2_PFRC7_(), Mass_fraction_C2H3_PFRC7_(), Mass_fraction_C2H4_PFRC7_(), Mass_fraction_C2H5_PFRC7_(), Mass_fraction_C2H6_PFRC7_(), Mass_fraction_CH2CO_PFRC7_(), Mass_fraction_HCCOH_PFRC7_(), Mass_fraction_N2_PFRC7_(), Mass_fraction_CH3CHO_PFRC7_(), Molecular_weight_PFRC7_(kg/mole), Mass_density_PFRC7_(kg/m3), Unburned_hydrocarbons_PFRC7_(ppm), Volatile_organic_compounds_PFRC7_(ppm)
0.000000e+00, 0.000000e+00, 2.896647e+00, 6.677000e-01, 2.896647e+00, 1.952789e-01, 8.578851e-01, 3.087980e+08, 1.644510e+03, 1.644510e+03, 4.700000e+06, 2.944665e-02, 3.671718e-07, 3.157106e-07, 2.868885e-01, 6.619048e-06, 1.321839e-02, 4.306157e-01, 2.348796e-01, 1.349195e-07, 3.076554e-06, 6.449520e-07, 2.520157e-04, 3.685326e-08, 2.216012e-04, 4.604190e-08, 8.605170e-06, 2.192469e-06, 8.509738e-08, 4.455469e-03, 3.244935e-08, 1.914105e-02, 6.579494e+00, 1.646337e+04, 1.646791e+04
1.000000e-04, 5.120843e-04, 2.896647e+00, 6.677000e-01, 2.896647e+00, 1.952801e-01, 8.578851e-01, -6.865023e+05, 1.644530e+03, 1.644530e+03, 4.700000e+06, 2.943640e-02, 3.516690e-07, 2.880577e-07, 2.869634e-01, 6.014147e-06, 1.322821e-02, 4.307697e-01, 2.346673e-01, 1.331860e-07, 3.028376e-06, 5.949154e-07, 2.261230e-04, 3.031766e-08, 2.316338e-04, 4.490339e-08, 9.195303e-06, 2.043391e-06, 6.588391e-08, 4.455469e-03, 3.238877e-08, 1.914117e-02, 6.579452e+00, 1.645079e+04, 1.645511e+04
2.000000e-04, 1.024172e-03, 2.896647e+00, 6.677000e-01, 2.896647e+00, 1.952775e-01, 8.578851e-01, -1.050476e+06, 1.644498e+03, 1.644498e+03, 4.700000e+06, 2.942868e-02, 3.512396e-07, 2.877854e-07, 2.870277e-01, 6.012267e-06, 1.323715e-02, 4.309067e-01, 2.344811e-01, 1.330793e-07, 3.028340e-06, 5.947757e-07, 2.164828e-04, 2.935021e-08, 2.250616e-04, 4.373608e-08, 9.045337e-06, 2.033049e-06, 6.307246e-08, 4.455469e-03, 3.223001e-08, 1.914104e-02, 6.579539e+00, 1.643801e+04, 1.644232e+04
3.000000e-04, 1.536268e-03, 2.896647e+00, 6.677000e-01, 2.896647e+00, 1.952747e-01, 8.578851e-01, -1.195851e+06, 1.644458e+03, 1.644458e+03, 4.700000e+06, 2.942247e-02, 3.507898e-07, 2.874706e-07, 2.870826e-01, 6.008620e-06, 1.324366e-02, 4.310291e-01, 2.343179e-01, 1.329631e-07, 3.028210e-06, 5.944695e-07, 2.089975e-04, 2.841913e-08, 2.183526e-04, 4.254086e-08, 8.888155e-06, 2.024301e-06, 6.089344e-08, 4.455469e-03, 3.208986e-08, 1.914085e-02, 6.579635e+00, 1.642524e+04, 1.642955e+04
4.000000e-04, 2.048371e-03, 2.896647e+00, 6.677000e-01, 2.896647e+00, 1.952717e-01, 8.578851e-01, -1.299158e+06, 1.644414e+03, 1.644414e+03, 4.700000e+06, 2.941752e-02, 3.503682e-07, 2.871590e-07, 2.871295e-01, 6.004221e-06, 1.324798e-02, 4.311387e-01, 2.341745e-01, 1.328550e-07, 3.028058e-06, 5.940889e-07, 2.025937e-04, 2.760031e-08, 2.124194e-04, 4.148343e-08, 8.748338e-06, 2.016459e-06, 5.902624e-08, 4.455469e-03, 3.196607e-08, 1.914063e-02, 6.579734e+00, 1.641251e+04, 1.641680e+04
5.000000e-04, 2.560482e-03, 2.896647e+00, 6.677000e-01, 2.896647e+00, 1.952687e-01, 8.578851e-01, -1.379755e+06, 1.644367e+03, 1.644367e+03, 4.700000e+06, 2.941365e-02, 3.499750e-07, 2.868538e-07, 2.871694e-01, 5.999253e-06, 1.325042e-02, 4.312372e-01, 2.340484e-01, 1.327554e-07, 3.027891e-06, 5.936504e-07, 1.970478e-04, 2.688466e-08, 2.072301e-04, 4.055802e-08, 8.625459e-06, 2.009374e-06, 5.740587e-08, 4.455469e-03, 3.185630e-08, 1.914038e-02, 6.579835e+00, 1.639981e+04, 1.640409e+04
6.000000e-04, 3.072600e-03, 2.896647e+00, 6.677000e-01, 2.896647e+00, 1.952657e-01, 8.578851e-01, -1.446892e+06, 1.644317e+03, 1.644317e+03, 4.700000e+06, 2.941070e-02, 3.496079e-07, 2.865558e-07, 2.872032e-01, 5.993836e-06, 1.325127e-02, 4.313262e-01, 2.339372e-01, 1.326635e-07, 3.027712e-06, 5.931654e-07, 1.922021e-04, 2.625939e-08, 2.027045e-04, 3.975025e-08, 8.517778e-06, 2.002911e-06, 5.598680e-08, 4.455469e-03, 3.175806e-08, 1.914010e-02, 6.579937e+00, 1.638713e+04, 1.639141e+04
7.000000e-04, 3.584727e-03, 2.896647e+00, 6.677000e-01, 2.896647e+00, 1.952627e-01, 8.578851e-01, -1.501864e+06, 1.644265e+03, 1.644265e+03, 4.700000e+06, 2.940858e-02, 3.492639e-07, 2.862641e-07, 2.872316e-01, 5.988028e-06, 1.325072e-02, 4.314066e-01, 2.338394e-01, 1.325785e-07, 3.027525e-06, 5.926394e-07, 1.879764e-04, 2.571340e-08, 1.987618e-04, 3.904547e-08, 8.423412e-06, 1.996995e-06, 5.474618e-08, 4.455469e-03, 3.166995e-08, 1.913979e-02, 6.580040e+00, 1.637449e+04, 1.637876e+04
8.000000e-04, 4.096862e-03, 2.896647e+00, 6.677000e-01, 2.896647e+00, 1.952596e-01, 8.578851e-01, -1.546185e+06, 1.644212e+03, 1.644212e+03, 4.700000e+06, 2.940722e-02, 3.489413e-07, 2.859783e-07, 2.872549e-01, 5.981865e-06, 1.324888e-02, 4.314791e-01, 2.337539e-01, 1.324997e-07, 3.027329e-06, 5.920761e-07, 1.843179e-04, 2.524004e-08, 1.953539e-04, 3.843505e-08, 8.341254e-06, 1.991580e-06, 5.366896e-08, 4.455469e-03, 3.159111e-08, 1.913947e-02, 6.580142e+00, 1.636187e+04, 1.636613e+04
9.000000e-04, 4.609004e-03, 2.896647e+00, 6.677000e-01, 2.896647e+00, 1.952566e-01, 8.578851e-01, -1.582409e+06, 1.644157e+03, 1.644157e+03, 4.700000e+06, 2.940647e-02, 3.486361e-07, 2.856977e-07, 2.872742e-01, 5.975431e-06, 1.324602e-02, 4.315451e-01, 2.336784e-01, 1.324261e-07, 3.027126e-06, 5.914837e-07, 1.811097e-04, 2.482454e-08, 1.923737e-04, 3.789984e-08, 8.268843e-06, 1.986564e-06, 5.272159e-08, 4.455469e-03, 3.151959e-08, 1.913913e-02, 6.580245e+00, 1.634929e+04, 1.635354e+04
1.000000e-03, 5.121155e-03, 2.896647e+00, 6.677000e-01, 2.896647e+00, 1.952535e-01, 8.578851e-01, -1.611802e+06, 1.644101e+03, 1.644101e+03, 4.700000e+06, 2.940626e-02, 3.483463e-07, 2.854216e-07, 2.872900e-01, 5.968766e-06, 1.324228e-02, 4.316054e-01, 2.336119e-01, 1.323568e-07, 3.026918e-06, 5.908663e-07, 1.782923e-04, 2.445905e-08, 1.897626e-04, 3.742957e-08, 8.204842e-06, 1.981893e-06, 5.188695e-08, 4.455469e-03, 3.145444e-08, 1.913877e-02, 6.580348e+00, 1.633673e+04, 1.634098e+04
