Distance_PFRC9_(m), Plug_flow_residence_time_PFRC9_(sec), Internal_surface_area_per_unit_distance_PFRC9_(m), Cross-section_area_PFRC9_(m2), External_surface_area_per_unit_distance_PFRC9_(m), Velocity_PFRC9_(m/sec), Exit_mass_flow_rate_PFRC9_(kg/sec), Volumetric_heat_production_rate_PFRC9_(J/m3-sec), Surface_temperature_PFRC9_(K), Heat_loss_rate_PFRC9_(J/m-sec), Temperature_PFRC9_(K), Pressure_PFRC9_(Pa), Mass_fraction_H2_PFRC9_(), Mass_fraction_H_PFRC9_(), Mass_fraction_OH_PFRC9_(), Mass_fraction_H2O_PFRC9_(), Mass_fraction_CH3_PFRC9_(), Mass_fraction_CH4_PFRC9_(), Mass_fraction_CO_PFRC9_(), Mass_fraction_CO2_PFRC9_(), Mass_fraction_HCO_PFRC9_(), Mass_fraction_CH2O_PFRC9_(), Mass_fraction_CH3OH_PFRC9_(), Mass_fraction_C2H2_PFRC9_(), Mass_fraction_C2H3_PFRC9_(), Mass_fraction_C2H4_PFRC9_(), Mass_fraction_C2H5_PFRC9_(), Mass_fraction_C2H6_PFRC9_(), Mass_fraction_CH2CO_PFRC9_(), Mass_fraction_HCCOH_PFRC9_(), Mass_fraction_N2_PFRC9_(), Mass_fraction_C3H8_PFRC9_(), Mass_fraction_CH3CHO_PFRC9_(), Molecular_weight_PFRC9_(kg/mole), Mass_density_PFRC9_(kg/m3), Unburned_hydrocarbons_PFRC9_(ppm), Volatile_organic_compounds_PFRC9_(ppm)
0.000000e+00, 0.000000e+00, 1.735181e-01, 2.395960e-03, 1.735181e-01, 9.176463e+00, 1.081631e-01, -1.605472e+06, 1.653617e+03, 0.000000e+00, 1.653617e+03, 4.700000e+06, 6.339779e-02, 6.498936e-07, 2.314976e-07, 2.623271e-01, 1.338108e-05, 3.431267e-02, 5.158471e-01, 1.163421e-01, 2.150002e-07, 5.405892e-06, 6.624893e-07, 2.327918e-04, 4.213395e-08, 3.741957e-04, 9.762503e-08, 2.551876e-05, 2.994903e-06, 3.009473e-08, 7.116943e-03, 3.737976e-08, 7.311149e-08, 1.439116e-02, 4.919536e+00, 3.145832e+04, 3.146343e+04
1.000000e-02, 1.089987e-03, 1.735181e-01, 2.395960e-03, 1.735181e-01, 9.172416e+00, 1.081631e-01, -1.387829e+06, 1.652812e+03, 2.057880e+04, 1.652812e+03, 4.699998e+06, 6.340765e-02, 6.448932e-07, 2.291356e-07, 2.622936e-01, 1.326743e-05, 3.428981e-02, 5.158888e-01, 1.163502e-01, 2.139217e-07, 5.404276e-06, 6.582718e-07, 2.308687e-04, 4.163171e-08, 3.729170e-04, 9.699044e-08, 2.549585e-05, 2.976976e-06, 2.972020e-08, 7.116943e-03, 3.730963e-08, 7.301152e-08, 1.439051e-02, 4.921707e+00, 3.143281e+04, 3.143791e+04
2.000000e-02, 2.180450e-03, 1.735181e-01, 2.395960e-03, 1.735181e-01, 9.168414e+00, 1.081631e-01, -1.265004e+06, 1.652019e+03, 2.057880e+04, 1.652019e+03, 4.699998e+06, 6.341774e-02, 6.399581e-07, 2.268103e-07, 2.622544e-01, 1.315615e-05, 3.426935e-02, 5.159200e-01, 1.163736e-01, 2.128455e-07, 5.402590e-06, 6.540730e-07, 2.281776e-04, 4.103622e-08, 3.707778e-04, 9.617869e-08, 2.544207e-05, 2.958388e-06, 2.925001e-08, 7.116943e-03, 3.716164e-08, 7.288711e-08, 1.438989e-02, 4.923855e+00, 3.140778e+04, 3.141286e+04
3.000000e-02, 3.271388e-03, 1.735181e-01, 2.395960e-03, 1.735181e-01, 9.164443e+00, 1.081631e-01, -1.182674e+06, 1.651235e+03, 2.057880e+04, 1.651235e+03, 4.699998e+06, 6.342802e-02, 6.350825e-07, 2.245179e-07, 2.622111e-01, 1.304673e-05, 3.425031e-02, 5.159434e-01, 1.164081e-01, 2.117739e-07, 5.400890e-06, 6.499268e-07, 2.251576e-04, 4.039483e-08, 3.681536e-04, 9.526969e-08, 2.537006e-05, 2.939814e-06, 2.874179e-08, 7.116943e-03, 3.696890e-08, 7.275759e-08, 1.438929e-02, 4.925988e+00, 3.138318e+04, 3.138825e+04
4.000000e-02, 4.362797e-03, 1.735181e-01, 2.395960e-03, 1.735181e-01, 9.160493e+00, 1.081631e-01, -1.123452e+06, 1.650456e+03, 2.057880e+04, 1.650456e+03, 4.699998e+06, 6.343845e-02, 6.302614e-07, 2.222555e-07, 2.621650e-01, 1.293886e-05, 3.423215e-02, 5.159609e-01, 1.164508e-01, 2.107081e-07, 5.399185e-06, 6.458272e-07, 2.219978e-04, 3.973654e-08, 3.652957e-04, 9.431716e-08, 2.528893e-05, 2.921332e-06, 2.821993e-08, 7.116943e-03, 3.675420e-08, 7.262589e-08, 1.438870e-02, 4.928113e+00, 3.135901e+04, 3.136406e+04
5.000000e-02, 5.454676e-03, 1.735181e-01, 2.395960e-03, 1.735181e-01, 9.156556e+00, 1.081631e-01, -1.078154e+06, 1.649681e+03, 2.057880e+04, 1.649681e+03, 4.699999e+06, 6.344897e-02, 6.254910e-07, 2.200216e-07, 2.621168e-01, 1.283237e-05, 3.421460e-02, 5.159737e-01, 1.164996e-01, 2.096483e-07, 5.397480e-06, 6.417714e-07, 2.187915e-04, 3.907563e-08, 3.623308e-04, 9.334797e-08, 2.520331e-05, 2.902980e-06, 2.769629e-08, 7.116943e-03, 3.652906e-08, 7.249351e-08, 1.438813e-02, 4.930231e+00, 3.133524e+04, 3.134028e+04
6.000000e-02, 6.547024e-03, 1.735181e-01, 2.395960e-03, 1.735181e-01, 9.152630e+00, 1.081631e-01, -1.041430e+06, 1.648909e+03, 2.057880e+04, 1.648909e+03, 4.699999e+06, 6.345954e-02, 6.207684e-07, 2.178148e-07, 2.620673e-01, 1.272715e-05, 3.419750e-02, 5.159829e-01, 1.165529e-01, 2.085947e-07, 5.395782e-06, 6.377575e-07, 2.155876e-04, 3.841946e-08, 3.593260e-04, 9.237626e-08, 2.511567e-05, 2.884777e-06, 2.717703e-08, 7.116943e-03, 3.629962e-08, 7.236128e-08, 1.438756e-02, 4.932346e+00, 3.131188e+04, 3.131689e+04
7.000000e-02, 7.639840e-03, 1.735181e-01, 2.395960e-03, 1.735181e-01, 9.148712e+00, 1.081631e-01, -1.010206e+06, 1.648140e+03, 2.057880e+04, 1.648140e+03, 4.699999e+06, 6.347011e-02, 6.160910e-07, 2.156342e-07, 2.620168e-01, 1.262312e-05, 3.418078e-02, 5.159892e-01, 1.166096e-01, 2.075474e-07, 5.394092e-06, 6.337843e-07, 2.124118e-04, 3.777187e-08, 3.563178e-04, 9.140961e-08, 2.502739e-05, 2.866732e-06, 2.666535e-08, 7.116943e-03, 3.606924e-08, 7.222966e-08, 1.438701e-02, 4.934458e+00, 3.128890e+04, 3.129390e+04
8.000000e-02, 8.733124e-03, 1.735181e-01, 2.395960e-03, 1.735181e-01, 9.144800e+00, 1.081631e-01, -9.825982e+05, 1.647373e+03, 2.057880e+04, 1.647373e+03, 4.699999e+06, 6.348067e-02, 6.114572e-07, 2.134790e-07, 2.619657e-01, 1.252023e-05, 3.416439e-02, 5.159932e-01, 1.166689e-01, 2.065063e-07, 5.392414e-06, 6.298509e-07, 2.092771e-04, 3.713469e-08, 3.533249e-04, 9.045184e-08, 2.493917e-05, 2.848849e-06, 2.616276e-08, 7.116943e-03, 3.583965e-08, 7.209888e-08, 1.438647e-02, 4.936569e+00, 3.126630e+04, 3.127129e+04
9.000000e-02, 9.826875e-03, 1.735181e-01, 2.395960e-03, 1.735181e-01, 9.140894e+00, 1.081631e-01, -9.575085e+05, 1.646608e+03, 2.057880e+04, 1.646608e+03, 4.699999e+06, 6.349117e-02, 6.068653e-07, 2.113487e-07, 2.619143e-01, 1.241843e-05, 3.414831e-02, 5.159953e-01, 1.167300e-01, 2.054712e-07, 5.390748e-06, 6.259567e-07, 2.061890e-04, 3.650862e-08, 3.503563e-04, 8.950466e-08, 2.485135e-05, 2.831129e-06, 2.566986e-08, 7.116943e-03, 3.561170e-08, 7.196907e-08, 1.438593e-02, 4.938679e+00, 3.124408e+04, 3.124905e+04
1.000000e-01, 1.092109e-02, 1.735181e-01, 2.395960e-03, 1.735181e-01, 9.136991e+00, 1.081631e-01, -9.342812e+05, 1.645845e+03, 2.057880e+04, 1.645845e+03, 4.699999e+06, 6.350162e-02, 6.023141e-07, 2.092426e-07, 2.618627e-01, 1.231770e-05, 3.413251e-02, 5.159958e-01, 1.167927e-01, 2.044421e-07, 5.389096e-06, 6.221010e-07, 2.031501e-04, 3.589396e-08, 3.474163e-04, 8.856888e-08, 2.476412e-05, 2.813570e-06, 2.518686e-08, 7.116943e-03, 3.538580e-08, 7.184029e-08, 1.438541e-02, 4.940789e+00, 3.122222e+04, 3.122718e+04
1.100000e-01, 1.201578e-02, 1.735181e-01, 2.395960e-03, 1.735181e-01, 9.133092e+00, 1.081631e-01, -9.123787e+05, 1.645084e+03, 2.057880e+04, 1.645084e+03, 4.700000e+06, 6.351199e-02, 5.978026e-07, 2.071603e-07, 2.618110e-01, 1.221801e-05, 3.411700e-02, 5.159949e-01, 1.168565e-01, 2.034190e-07, 5.387457e-06, 6.182833e-07, 2.001611e-04, 3.529068e-08, 3.445076e-04, 8.764488e-08, 2.467759e-05, 2.796172e-06, 2.471374e-08, 7.116943e-03, 3.516221e-08, 7.171257e-08, 1.438489e-02, 4.942898e+00, 3.120073e+04, 3.120566e+04
1.200000e-01, 1.311093e-02, 1.735181e-01, 2.395960e-03, 1.735181e-01, 9.129197e+00, 1.081631e-01, -8.915022e+05, 1.644324e+03, 2.057880e+04, 1.644324e+03, 4.700000e+06, 6.352228e-02, 5.933298e-07, 2.051014e-07, 2.617594e-01, 1.211933e-05, 3.410175e-02, 5.159928e-01, 1.169212e-01, 2.024016e-07, 5.385834e-06, 6.145029e-07, 1.972225e-04, 3.469876e-08, 3.416315e-04, 8.673284e-08, 2.459182e-05, 2.778932e-06, 2.425046e-08, 7.116943e-03, 3.494107e-08, 7.158592e-08, 1.438438e-02, 4.945007e+00, 3.117958e+04, 3.118450e+04
1.300000e-01, 1.420655e-02, 1.735181e-01, 2.395960e-03, 1.735181e-01, 9.125305e+00, 1.081631e-01, -8.714320e+05, 1.643566e+03, 2.057880e+04, 1.643566e+03, 4.700000e+06, 6.353248e-02, 5.888950e-07, 2.030653e-07, 2.617080e-01, 1.202165e-05, 3.408677e-02, 5.159896e-01, 1.169866e-01, 2.013900e-07, 5.384225e-06, 6.107594e-07, 1.943335e-04, 3.411796e-08, 3.387879e-04, 8.583264e-08, 2.450681e-05, 2.761848e-06, 2.379681e-08, 7.116943e-03, 3.472237e-08, 7.146036e-08, 1.438388e-02, 4.947116e+00, 3.115878e+04, 3.116369e+04
