Distance_PFRC2_(m), Plug_flow_residence_time_PFRC2_(sec), Internal_surface_area_per_unit_distance_PFRC2_(m), Cross-section_area_PFRC2_(m2), External_surface_area_per_unit_distance_PFRC2_(m), Velocity_PFRC2_(m/sec), Exit_mass_flow_rate_PFRC2_(kg/sec), Volumetric_heat_production_rate_PFRC2_(J/m3-sec), Surface_temperature_PFRC2_(K), Heat_loss_rate_PFRC2_(J/m-sec), Temperature_PFRC2_(K), Pressure_PFRC2_(Pa), Mass_fraction_H2_PFRC2_(), Mass_fraction_H_PFRC2_(), Mass_fraction_O2_PFRC2_(), Mass_fraction_OH_PFRC2_(), Mass_fraction_H2O_PFRC2_(), Mass_fraction_HO2_PFRC2_(), Mass_fraction_H2O2_PFRC2_(), Mass_fraction_CH3_PFRC2_(), Mass_fraction_CH4_PFRC2_(), Mass_fraction_CO_PFRC2_(), Mass_fraction_CO2_PFRC2_(), Mass_fraction_HCO_PFRC2_(), Mass_fraction_CH2O_PFRC2_(), Mass_fraction_CH3OH_PFRC2_(), Mass_fraction_C2H2_PFRC2_(), Mass_fraction_C2H3_PFRC2_(), Mass_fraction_C2H4_PFRC2_(), Mass_fraction_C2H5_PFRC2_(), Mass_fraction_C2H6_PFRC2_(), Mass_fraction_CH2CO_PFRC2_(), Mass_fraction_N2_PFRC2_(), Molecular_weight_PFRC2_(kg/mole), Mass_density_PFRC2_(kg/m3), Unburned_hydrocarbons_PFRC2_(ppm), Volatile_organic_compounds_PFRC2_(ppm)
0.000000e+00, 0.000000e+00, 1.130973e+00, 1.017876e-01, 1.130973e+00, 1.621438e-01, 1.317000e-01, 1.243330e+08, 1.445342e+03, 0.000000e+00, 1.445342e+03, 4.700000e+06, 8.038381e-03, 2.023110e-08, 7.749638e-04, 4.862211e-08, 4.193547e-01, 5.251848e-07, 1.569092e-07, 1.644256e-05, 1.734607e-01, 7.332793e-02, 2.584455e-01, 3.927743e-09, 6.258793e-05, 1.673924e-05, 1.870603e-02, 8.145426e-07, 3.917272e-02, 2.504177e-06, 2.368566e-03, 2.822574e-05, 6.222399e-03, 2.040319e-02, 7.979773e+00, 3.101395e+05, 3.102201e+05
1.734973e-05, 1.069801e-04, 1.130973e+00, 1.017876e-01, 1.130973e+00, 1.622083e-01, 1.317000e-01, 9.681484e+07, 1.445878e+03, -3.276450e+05, 1.445878e+03, 4.700002e+06, 8.041256e-03, 2.002118e-08, 6.393448e-04, 4.785341e-08, 4.194385e-01, 4.278172e-07, 1.277309e-07, 1.625521e-05, 1.734087e-01, 7.335035e-02, 2.585146e-01, 3.792592e-09, 5.962766e-05, 1.650140e-05, 1.871264e-02, 8.066013e-07, 3.918506e-02, 2.468213e-06, 2.362644e-03, 2.817812e-05, 6.222399e-03, 2.040263e-02, 7.976600e+00, 3.100849e+05, 3.101632e+05
1.168758e-04, 7.201108e-04, 1.130973e+00, 1.017876e-01, 1.130973e+00, 1.624029e-01, 1.317000e-01, 2.010836e+07, 1.447322e+03, -3.276450e+05, 1.447322e+03, 4.700002e+06, 8.063458e-03, 1.909903e-08, 2.204528e-04, 4.482259e-08, 4.196816e-01, 1.397215e-07, 4.151461e-08, 1.544579e-05, 1.732399e-01, 7.344480e-02, 2.587474e-01, 3.117047e-09, 2.696047e-05, 1.251526e-05, 1.877321e-02, 7.708314e-07, 3.924513e-02, 2.315516e-06, 2.276505e-03, 2.687475e-05, 6.222399e-03, 2.039854e-02, 7.967042e+00, 3.098719e+05, 3.099243e+05
3.307553e-04, 2.036627e-03, 1.130973e+00, 1.017876e-01, 1.130973e+00, 1.624844e-01, 1.317000e-01, -5.735180e+06, 1.447606e+03, -3.276450e+05, 1.447606e+03, 4.700002e+06, 8.102308e-03, 1.842270e-08, 2.499596e-05, 4.269557e-08, 4.197385e-01, 1.528878e-08, 4.536777e-09, 1.482328e-05, 1.731154e-01, 7.349923e-02, 2.589227e-01, 2.741030e-09, 6.805944e-06, 8.784836e-06, 1.890507e-02, 7.424150e-07, 3.924279e-02, 2.206383e-06, 2.168551e-03, 2.460900e-05, 6.222399e-03, 2.039230e-02, 7.963046e+00, 3.096746e+05, 3.097087e+05
9.084273e-04, 5.591576e-03, 1.130973e+00, 1.017876e-01, 1.130973e+00, 1.625116e-01, 1.317000e-01, -3.730792e+06, 1.447272e+03, -3.276450e+05, 1.447272e+03, 4.700002e+06, 8.167059e-03, 1.838446e-08, 7.972059e-08, 4.218515e-08, 4.195666e-01, 1.553917e-10, 1.698763e-10, 1.466614e-05, 1.729464e-01, 7.352686e-02, 2.591480e-01, 2.700189e-09, 4.126043e-06, 8.108397e-06, 1.904667e-02, 7.360414e-07, 3.916833e-02, 2.197070e-06, 2.153691e-03, 2.390362e-05, 6.222399e-03, 2.038419e-02, 7.961713e+00, 3.094298e+05, 3.094610e+05
2.195019e-03, 1.350614e-02, 1.130973e+00, 1.017876e-01, 1.130973e+00, 1.626145e-01, 1.317000e-01, -2.195571e+06, 1.447434e+03, -3.276450e+05, 1.447434e+03, 4.700002e+06, 8.267601e-03, 1.870725e-08, 2.080083e-12, 4.240765e-08, 4.191724e-01, 2.870633e-15, 5.899735e-13, 1.472424e-05, 1.726684e-01, 7.361299e-02, 2.595621e-01, 2.751426e-09, 4.103262e-06, 8.054409e-06, 1.901697e-02, 7.424607e-07, 3.924932e-02, 2.234570e-06, 2.173989e-03, 2.384081e-05, 6.222399e-03, 2.037357e-02, 7.956677e+00, 3.090144e+05, 3.090455e+05
1.184932e-02, 7.270059e-02, 1.130973e+00, 1.017876e-01, 1.130973e+00, 1.635973e-01, 1.317000e-01, -1.375338e+06, 1.451775e+03, -3.276450e+05, 1.451775e+03, 4.700002e+06, 8.769577e-03, 2.080211e-08, 6.364737e-13, 4.496422e-08, 4.168477e-01, 2.163473e-15, 6.261988e-13, 1.539578e-05, 1.720500e-01, 7.540989e-02, 2.609905e-01, 3.065948e-09, 4.101851e-06, 7.921234e-06, 1.862972e-02, 7.755936e-07, 3.884399e-02, 2.352197e-06, 2.182478e-03, 2.314587e-05, 6.222399e-03, 2.031190e-02, 7.908876e+00, 3.061176e+05, 3.061478e+05
1.200000e-02, 7.362162e-02, 1.130973e+00, 1.017876e-01, 1.130973e+00, 1.636132e-01, 1.317000e-01, -1.375625e+06, 1.451850e+03, -3.276450e+05, 1.451850e+03, 4.700002e+06, 8.776063e-03, 2.083148e-08, 6.359181e-13, 4.500377e-08, 4.168171e-01, 2.166983e-15, 6.266846e-13, 1.540610e-05, 1.720480e-01, 7.544922e-02, 2.609970e-01, 3.070731e-09, 4.102144e-06, 7.920086e-06, 1.862497e-02, 7.759202e-07, 3.882970e-02, 2.352896e-06, 2.181808e-03, 2.313681e-05, 6.222399e-03, 2.031098e-02, 7.908106e+00, 3.060722e+05, 3.061024e+05
2.400000e-02, 1.466834e-01, 1.130973e+00, 1.017876e-01, 1.130973e+00, 1.648741e-01, 1.317000e-01, -1.522835e+06, 1.457647e+03, -3.276450e+05, 1.457647e+03, 4.700002e+06, 9.265462e-03, 2.310611e-08, 6.792227e-13, 4.804130e-08, 4.146267e-01, 2.376741e-15, 6.623216e-13, 1.618776e-05, 1.719502e-01, 7.920855e-02, 2.607195e-01, 3.474088e-09, 4.123964e-06, 7.833458e-06, 1.823795e-02, 7.964003e-07, 3.759610e-02, 2.387014e-06, 2.119300e-03, 2.246755e-05, 6.222399e-03, 2.023613e-02, 7.847628e+00, 3.023566e+05, 3.023860e+05
3.600000e-02, 2.191921e-01, 1.130973e+00, 1.017876e-01, 1.130973e+00, 1.661217e-01, 1.317000e-01, -1.636298e+06, 1.462974e+03, -3.276450e+05, 1.462974e+03, 4.700002e+06, 9.747526e-03, 2.540140e-08, 7.214948e-13, 5.092570e-08, 4.126401e-01, 2.568844e-15, 6.944792e-13, 1.691249e-05, 1.718208e-01, 8.371629e-02, 2.596052e-01, 3.929141e-09, 4.135675e-06, 7.733081e-06, 1.779863e-02, 8.109563e-07, 3.633870e-02, 2.406850e-06, 2.056421e-03, 2.182184e-05, 6.222399e-03, 2.015754e-02, 7.788691e+00, 2.984496e+05, 2.984781e+05
4.800000e-02, 2.911582e-01, 1.130973e+00, 1.017876e-01, 1.130973e+00, 1.673709e-01, 1.317000e-01, -1.709176e+06, 1.468003e+03, -3.276450e+05, 1.468003e+03, 4.700002e+06, 1.024283e-02, 2.779830e-08, 7.587271e-13, 5.373227e-08, 4.106558e-01, 2.757538e-15, 7.242701e-13, 1.760568e-05, 1.716597e-01, 8.861099e-02, 2.581841e-01, 4.435568e-09, 4.137455e-06, 7.615730e-06, 1.730519e-02, 8.213083e-07, 3.507012e-02, 2.419063e-06, 1.995004e-03, 2.115703e-05, 6.222399e-03, 2.007589e-02, 7.730562e+00, 2.943814e+05, 2.944091e+05
6.000000e-02, 3.625879e-01, 1.130973e+00, 1.017876e-01, 1.130973e+00, 1.686266e-01, 1.317000e-01, -1.770860e+06, 1.472813e+03, -3.276450e+05, 1.472813e+03, 4.700002e+06, 1.075602e-02, 3.031782e-08, 7.896345e-13, 5.647782e-08, 4.086142e-01, 2.898257e-15, 7.517896e-13, 1.827409e-05, 1.714763e-01, 9.375973e-02, 2.566335e-01, 4.993093e-09, 4.130510e-06, 7.483314e-06, 1.676454e-02, 8.277161e-07, 3.378543e-02, 2.423887e-06, 1.934266e-03, 2.046744e-05, 6.222399e-03, 1.999167e-02, 7.672991e+00, 2.901768e+05, 2.902037e+05
