Distance_PFRC2_(m), Plug_flow_residence_time_PFRC2_(sec), Internal_surface_area_per_unit_distance_PFRC2_(m), Cross-section_area_PFRC2_(m2), External_surface_area_per_unit_distance_PFRC2_(m), Velocity_PFRC2_(m/sec), Exit_mass_flow_rate_PFRC2_(kg/sec), Volumetric_heat_production_rate_PFRC2_(J/m3-sec), Surface_temperature_PFRC2_(K), Heat_loss_rate_PFRC2_(J/m-sec), Temperature_PFRC2_(K), Pressure_PFRC2_(Pa), Mole_fraction_N2_PFRC2_(), Mole_fraction_H2_PFRC2_(), Mole_fraction_H_PFRC2_(), Mole_fraction_O2_PFRC2_(), Mole_fraction_H2O_PFRC2_(), Mole_fraction_OH_PFRC2_(), Mole_fraction_H2O2_PFRC2_(), Mole_fraction_HO2_PFRC2_(), Mole_fraction_CO_PFRC2_(), Mole_fraction_CO2_PFRC2_(), Mole_fraction_CH4_PFRC2_(), Mole_fraction_CH3_PFRC2_(), Mole_fraction_CH3OH_PFRC2_(), Mole_fraction_CH2O_PFRC2_(), Mole_fraction_HCO_PFRC2_(), Mole_fraction_HOCHO_PFRC2_(), Mole_fraction_C2H6_PFRC2_(), Mole_fraction_C2H5_PFRC2_(), Mole_fraction_C2H4_PFRC2_(), Mole_fraction_C2H3_PFRC2_(), Mole_fraction_CHOCHO_PFRC2_(), Mole_fraction_CHCHO_PFRC2_(), Mole_fraction_C2H2_PFRC2_(), Mole_fraction_C2H5OH_PFRC2_(), Mole_fraction_C2H4O1-2_PFRC2_(), Mole_fraction_CH3CHO_PFRC2_(), Mole_fraction_C2H3OH_PFRC2_(), Mole_fraction_CH2CO_PFRC2_(), Mole_fraction_HCCOH_PFRC2_(), Mole_fraction_C3H8_PFRC2_(), Mole_fraction_C3H6_PFRC2_(), Mole_fraction_C3H5-A_PFRC2_(), Mole_fraction_CC3H6_PFRC2_(), Mole_fraction_CH3CHCO_PFRC2_(), Mole_fraction_C3H4-P_PFRC2_(), Mole_fraction_C3H4-A_PFRC2_(), Mole_fraction_C3H3_PFRC2_(), Mole_fraction_CC3H4_PFRC2_(), Mole_fraction_C2HCHO_PFRC2_(), Mole_fraction_C3H5OH_PFRC2_(), Mole_fraction_SC3H5OH_PFRC2_(), Mole_fraction_IC3H5OH_PFRC2_(), Mole_fraction_CH3COCH3_PFRC2_(), Mole_fraction_C2H3CHO_PFRC2_(), Mole_fraction_C2H5CHO_PFRC2_(), Mole_fraction_C4H10_PFRC2_(), Mole_fraction_IC4H10_PFRC2_(), Mole_fraction_IC4H8_PFRC2_(), Mole_fraction_IC4H7_PFRC2_(), Mole_fraction_CVCYCCOC_PFRC2_(), Mole_fraction_CCYCCO-T1_PFRC2_(), Mole_fraction_C4H8-1_PFRC2_(), Mole_fraction_C4H71-3_PFRC2_(), Mole_fraction_SC3H5CHO_PFRC2_(), Mole_fraction_C4H8-2_PFRC2_(), Mole_fraction_C4H6_PFRC2_(), Mole_fraction_C4H5-2_PFRC2_(), Mole_fraction_C4H4_PFRC2_(), Mole_fraction_C4H3-I_PFRC2_(), Mole_fraction_C4H2_PFRC2_(), Mole_fraction_CHCC(CH2)CHCH2_PFRC2_(), Mole_fraction_CH2CHCHCHCCH_PFRC2_(), Mole_fraction_CYHEXDN13_PFRC2_(), Mole_fraction_CYHEXDN14_PFRC2_(), Mole_fraction_C6H8_PFRC2_(), Mole_fraction_CYPENTN-4MTHNE_PFRC2_(), Mole_fraction_C4H612_PFRC2_(), Mole_fraction_C4H6-2_PFRC2_(), Mole_fraction_H2C4O_PFRC2_(), Mole_fraction_C2H3COCH3_PFRC2_(), Mole_fraction_C5H10-1_PFRC2_(), Mole_fraction_C5H10-2_PFRC2_(), Mole_fraction_C5H81-3_PFRC2_(), Mole_fraction_BC5H10_PFRC2_(), Mole_fraction_CC5H10_PFRC2_(), Mole_fraction_AC5H10_PFRC2_(), Mole_fraction_B13DE2M_PFRC2_(), Mole_fraction_B12DE3M_PFRC2_(), Mole_fraction_L-C6H4_PFRC2_(), Mole_fraction_C-C6H4_PFRC2_(), Mole_fraction_C6H2_PFRC2_(), Mole_fraction_C6H6_PFRC2_(), Mole_fraction_FULVENE_PFRC2_(), Mole_fraction_C6H5OH_PFRC2_(), Mole_fraction_C6H5O_PFRC2_(), Mole_fraction_C5H6_PFRC2_(), Mole_fraction_C5H5_PFRC2_(), Mole_fraction_C5H6-L_PFRC2_(), Mole_fraction_CVCCJCVC_PFRC2_(), Mole_fraction_CVCCVCCJ_PFRC2_(), Mole_fraction_C5H5OH_PFRC2_(), Mole_fraction_C5H4O_PFRC2_(), Mole_fraction_OC5H7O_PFRC2_(), Mole_fraction_C7H6_PFRC2_(), Mole_fraction_C7H5_PFRC2_(), Mole_fraction_IND_PFRC2_(), Mole_fraction_C5H5CH3_PFRC2_(), Mole_fraction_C9H7_PFRC2_(), Mole_fraction_C9H6O_PFRC2_(), Mole_fraction_NAPH_PFRC2_(), Mole_fraction_FLUORENE_PFRC2_(), Mole_fraction_C14H10_PFRC2_(), Mole_fraction_C16H10_PFRC2_(), Molecular_weight_PFRC2_(kg/mole), Mass_density_PFRC2_(kg/m3), Unburned_hydrocarbons_PFRC2_(ppm), Volatile_organic_compounds_PFRC2_(ppm)
1.350000e-01, 0.000000e+00, 1.130973e+00, 1.017876e-01, 1.130973e+00, 1.689064e-01, 1.314957e-01, 5.363736e+07, 1.436951e+03, 0.000000e+00, 1.436951e+03, 4.700000e+06, 4.946462e-03, 1.573121e-01, 5.784317e-07, 3.265308e-04, 4.038504e-01, 4.084666e-08, 4.628775e-08, 3.181331e-07, 1.193124e-01, 1.098031e-01, 1.924525e-01, 1.442715e-05, 6.116658e-06, 1.060725e-05, 7.002671e-09, 1.861216e-07, 7.671542e-04, 5.197886e-07, 6.629823e-03, 1.474216e-07, 3.684403e-06, 1.007725e-03, 1.538504e-03, 4.791488e-07, 5.476018e-08, 1.012532e-05, 3.940543e-06, 1.498544e-05, 2.318801e-07, 8.493815e-06, 1.659613e-04, 6.254833e-07, 4.731700e-07, 9.352435e-07, 1.053222e-04, 3.761778e-05, 8.514343e-07, 2.266543e-08, 1.675751e-08, 2.825907e-08, 1.183520e-08, 1.320682e-07, 7.086276e-08, 2.522314e-07, 2.408015e-08, 8.869442e-08, 3.681702e-08, 2.239020e-06, 2.177063e-08, 3.103514e-08, 2.590525e-07, 2.441543e-06, 4.653466e-08, 2.128570e-08, 1.455044e-06, 3.275745e-05, 2.390640e-08, 3.941976e-05, 1.670039e-08, 3.154984e-06, 6.889681e-08, 4.698324e-08, 9.256998e-08, 3.670702e-08, 1.088958e-07, 8.801255e-08, 1.362619e-06, 1.219933e-06, 2.795429e-08, 2.022783e-08, 2.624872e-08, 3.251453e-08, 5.855463e-07, 2.775165e-08, 2.080665e-08, 4.030106e-08, 5.513981e-07, 1.060022e-08, 7.093078e-07, 2.631585e-06, 5.955137e-08, 1.426333e-03, 1.909741e-06, 1.766127e-05, 9.235116e-08, 3.111138e-05, 7.393635e-07, 1.889076e-07, 1.627931e-08, 4.920813e-08, 2.681623e-08, 3.817035e-07, 1.545195e-06, 8.726802e-08, 2.506746e-08, 8.284338e-05, 3.991421e-07, 2.476717e-06, 7.551404e-06, 1.557036e-06, 3.960321e-07, 3.439008e-07, 3.393829e-07, 1.944238e-02, 7.648401e+00, 2.211963e+05, 2.234858e+05
1.350587e-01, 3.473822e-04, 1.130973e+00, 1.017876e-01, 1.130973e+00, 1.690059e-01, 1.314957e-01, 3.105573e+07, 1.437691e+03, -3.279871e+05, 1.437691e+03, 4.700009e+06, 4.946085e-03, 1.573828e-01, 5.558236e-07, 2.157913e-04, 4.039139e-01, 3.902469e-08, 2.942618e-08, 2.028943e-07, 1.193517e-01, 1.098365e-01, 1.923733e-01, 1.385189e-05, 6.020025e-06, 8.903902e-06, 6.678192e-09, 1.872233e-07, 7.512577e-04, 4.951438e-07, 6.629449e-03, 1.419420e-07, 3.461384e-06, 1.007977e-03, 1.542217e-03, 4.767594e-07, 3.502401e-08, 9.907053e-06, 3.795351e-06, 1.361470e-05, 2.319503e-07, 7.993559e-06, 1.658317e-04, 6.050001e-07, 4.729515e-07, 9.301158e-07, 1.057054e-04, 3.779134e-05, 8.296362e-07, 2.283872e-08, 1.510393e-08, 2.818453e-08, 1.129247e-08, 1.310719e-07, 6.684967e-08, 2.270444e-07, 2.283773e-08, 8.275328e-08, 3.387772e-08, 2.197538e-06, 2.098250e-08, 3.104367e-08, 2.591236e-07, 2.331082e-06, 4.428419e-08, 1.595737e-08, 1.444274e-06, 3.267077e-05, 2.299909e-08, 3.947250e-05, 1.605622e-08, 3.160372e-06, 6.892316e-08, 4.698821e-08, 9.250133e-08, 3.665739e-08, 1.089341e-07, 8.803352e-08, 1.347129e-06, 1.216611e-06, 2.781462e-08, 1.982710e-08, 2.485963e-08, 2.953471e-08, 5.844380e-07, 2.600284e-08, 1.892362e-08, 3.733856e-08, 5.472509e-07, 1.056545e-08, 7.100972e-07, 2.650877e-06, 5.967958e-08, 1.427135e-03, 1.895569e-06, 1.727206e-05, 7.451034e-08, 3.118798e-05, 7.151018e-07, 1.889748e-07, 1.561142e-08, 4.719551e-08, 2.457761e-08, 3.262089e-07, 1.545617e-06, 8.799019e-08, 2.426948e-08, 8.343671e-05, 3.716427e-07, 2.413587e-06, 7.273635e-06, 1.560605e-06, 3.961727e-07, 3.440224e-07, 3.395025e-07, 1.944090e-02, 7.643898e+00, 2.210997e+05, 2.233786e+05
1.354293e-01, 2.538615e-03, 1.130973e+00, 1.017876e-01, 1.130973e+00, 1.692282e-01, 1.314957e-01, 1.157416e+06, 1.438975e+03, -3.279871e+05, 1.438975e+03, 4.700009e+06, 4.943999e-03, 1.578926e-01, 5.035622e-07, 1.928372e-05, 4.036422e-01, 3.489914e-08, 2.309991e-09, 1.609823e-08, 1.194553e-01, 1.099756e-01, 1.922863e-01, 1.250743e-05, 5.008692e-06, 3.454183e-06, 5.933194e-09, 1.894774e-07, 6.776516e-04, 4.301071e-07, 6.490845e-03, 1.288563e-07, 9.252109e-07, 1.007597e-03, 1.573987e-03, 4.595189e-07, 2.800524e-09, 8.735893e-06, 3.332898e-06, 6.785193e-06, 2.353541e-07, 6.657104e-06, 1.619387e-04, 5.487614e-07, 4.619703e-07, 7.942227e-07, 1.093357e-04, 3.903130e-05, 8.033047e-07, 2.377744e-08, 1.182962e-08, 2.728762e-08, 9.710204e-09, 1.175540e-07, 4.913195e-08, 1.073417e-07, 1.922384e-08, 6.616430e-08, 2.661247e-08, 2.019281e-06, 1.928250e-08, 3.105000e-08, 2.591759e-07, 2.001748e-06, 3.790851e-08, 4.737976e-09, 1.373365e-06, 3.122831e-05, 2.075787e-08, 4.002188e-05, 1.471722e-08, 3.218434e-06, 6.894610e-08, 4.644529e-08, 8.892347e-08, 3.515100e-08, 1.077581e-07, 8.666692e-08, 1.304574e-06, 1.205401e-06, 2.783108e-08, 1.468600e-08, 2.030303e-08, 2.248534e-08, 5.505875e-07, 2.149232e-08, 1.449916e-08, 3.085544e-08, 5.132193e-07, 9.794274e-09, 6.401051e-07, 1.773651e-06, 5.765501e-08, 1.438364e-03, 1.792361e-06, 1.180715e-05, 3.207913e-08, 3.097755e-05, 6.491780e-07, 1.893833e-07, 1.399566e-08, 4.232093e-08, 1.962177e-08, 5.282748e-08, 1.545914e-06, 9.102437e-08, 2.261053e-08, 9.074104e-05, 3.046531e-07, 2.412053e-06, 3.120077e-06, 1.641117e-06, 3.970742e-07, 3.447687e-07, 3.402302e-07, 1.943269e-02, 7.633855e+00, 2.207683e+05, 2.229450e+05
1.359628e-01, 5.689724e-03, 1.130973e+00, 1.017876e-01, 1.130973e+00, 1.693501e-01, 1.314957e-01, -6.723078e+05, 1.439417e+03, -3.279871e+05, 1.439417e+03, 4.700009e+06, 4.941959e-03, 1.585407e-01, 4.964343e-07, 8.404202e-07, 4.029772e-01, 3.423442e-08, 1.045073e-10, 7.240832e-10, 1.195172e-01, 1.101473e-01, 1.923647e-01, 1.228646e-05, 4.749881e-06, 2.869746e-06, 5.830369e-09, 1.892109e-07, 6.497628e-04, 4.074111e-07, 6.266959e-03, 1.237259e-07, 8.188470e-08, 1.006198e-03, 1.551333e-03, 4.416555e-07, 1.325104e-10, 8.284699e-06, 3.152810e-06, 5.906952e-06, 2.316805e-07, 6.241670e-06, 1.563347e-04, 5.246625e-07, 4.461823e-07, 7.133957e-07, 1.084929e-04, 3.870576e-05, 7.915133e-07, 2.364690e-08, 1.140087e-08, 2.625847e-08, 9.141705e-09, 1.105984e-07, 4.513276e-08, 9.117077e-08, 1.802080e-08, 6.067835e-08, 2.468328e-08, 1.950662e-06, 1.866709e-08, 3.103906e-08, 2.590846e-07, 1.880655e-06, 3.534902e-08, 3.582079e-09, 1.311852e-06, 2.970903e-05, 1.991823e-08, 3.903736e-05, 1.411240e-08, 3.162612e-06, 6.765207e-08, 4.506204e-08, 8.254974e-08, 3.260807e-08, 1.028180e-07, 8.198745e-08, 1.266211e-06, 1.175713e-06, 2.721732e-08, 1.237535e-08, 1.848303e-08, 2.045214e-08, 5.121497e-07, 2.031766e-08, 1.321616e-08, 2.914756e-08, 4.896144e-07, 9.303551e-09, 3.202085e-07, 5.039660e-07, 3.323973e-08, 1.459095e-03, 1.751482e-06, 9.395865e-06, 2.349847e-08, 2.937027e-05, 6.051021e-07, 1.899608e-07, 1.305759e-08, 3.948747e-08, 3.953606e-08, 9.914291e-09, 1.545365e-06, 9.244892e-08, 2.247151e-08, 9.310639e-05, 2.793197e-07, 2.435164e-06, 7.588532e-07, 1.778336e-06, 3.985430e-07, 3.459049e-07, 3.413882e-07, 1.942468e-02, 7.628360e+00, 2.203927e+05, 2.225248e+05
1.390042e-01, 2.361995e-02, 1.130973e+00, 1.017876e-01, 1.130973e+00, 1.698725e-01, 1.314957e-01, -2.442666e+06, 1.440762e+03, -3.279871e+05, 1.440762e+03, 4.700009e+06, 4.931365e-03, 1.620678e-01, 4.942167e-07, 1.903179e-07, 3.994649e-01, 3.324613e-08, 2.336578e-11, 1.609086e-10, 1.198361e-01, 1.109535e-01, 1.923434e-01, 1.196329e-05, 4.477465e-06, 2.584553e-06, 5.776501e-09, 1.862786e-07, 5.789179e-04, 3.491633e-07, 5.452638e-03, 1.052896e-07, 1.076114e-08, 9.981915e-04, 1.343799e-03, 3.788978e-07, 3.638604e-11, 6.982536e-06, 2.638684e-06, 5.127708e-06, 1.967212e-07, 5.190139e-06, 1.333386e-04, 4.397623e-07, 3.812323e-07, 5.881268e-07, 9.253765e-05, 3.306617e-05, 6.610699e-07, 2.031573e-08, 9.880424e-09, 2.190866e-08, 7.417816e-09, 9.093887e-08, 3.669298e-08, 7.449249e-08, 1.456333e-08, 4.686716e-08, 1.974806e-08, 1.604153e-06, 1.529197e-08, 3.097290e-08, 2.585323e-07, 1.501377e-06, 2.679610e-08, 2.630638e-09, 1.060072e-06, 2.276778e-05, 1.620488e-08, 2.908654e-05, 1.024896e-08, 2.336567e-06, 4.645602e-08, 3.188914e-08, 5.377236e-08, 2.127136e-08, 6.784000e-08, 5.368350e-08, 1.018100e-06, 9.564731e-07, 1.955303e-08, 9.681006e-09, 1.321392e-08, 1.475885e-08, 3.793887e-07, 1.576357e-08, 9.559275e-09, 2.258600e-08, 3.704756e-07, 7.038318e-09, 4.035647e-08, 9.352482e-08, 3.706924e-09, 1.541683e-03, 1.431050e-06, 9.284305e-06, 2.259098e-08, 2.198250e-05, 4.417431e-07, 1.925717e-07, 9.537350e-09, 2.884831e-08, 3.481855e-08, 3.994162e-09, 1.542064e-06, 5.965800e-08, 1.400833e-08, 8.252121e-05, 2.010369e-07, 2.099394e-06, 1.941852e-07, 2.309391e-06, 4.078791e-07, 3.523910e-07, 3.497623e-07, 1.938303e-02, 7.604902e+00, 2.183267e+05, 2.204303e+05
1.470000e-01, 7.055315e-02, 1.130973e+00, 1.017876e-01, 1.130973e+00, 1.708003e-01, 1.314957e-01, -3.396483e+06, 1.440962e+03, -3.279871e+05, 1.440962e+03, 4.700009e+06, 4.905258e-03, 1.701948e-01, 4.959225e-07, 1.846503e-07, 3.922909e-01, 3.128830e-08, 2.259138e-11, 1.535807e-10, 1.209758e-01, 1.120181e-01, 1.906002e-01, 1.133017e-05, 4.020307e-06, 2.239066e-06, 5.832433e-09, 1.830803e-07, 5.061678e-04, 2.894071e-07, 4.506064e-03, 8.332938e-08, 1.023120e-08, 9.785324e-04, 1.062030e-03, 3.069350e-07, 2.884604e-11, 5.461656e-06, 2.049627e-06, 4.086415e-06, 1.458349e-07, 4.133504e-06, 1.041899e-04, 3.330625e-07, 2.978962e-07, 4.212978e-07, 6.945034e-05, 2.485931e-05, 4.785021e-07, 1.526627e-08, 7.879155e-09, 1.606444e-08, 5.412290e-09, 6.644634e-08, 2.755160e-08, 5.345206e-08, 1.070787e-08, 3.395048e-08, 1.466196e-08, 1.169392e-06, 1.086438e-08, 3.080955e-08, 2.571688e-07, 1.074113e-06, 1.804709e-08, 1.693660e-09, 7.643123e-07, 1.520053e-05, 1.132341e-08, 1.822455e-05, 6.143679e-09, 1.393654e-06, 2.286736e-08, 1.492011e-08, 2.823676e-08, 1.118958e-08, 3.469598e-08, 2.776954e-08, 7.036490e-07, 6.685366e-07, 1.093349e-08, 6.529793e-09, 8.374223e-09, 9.390396e-09, 2.361688e-07, 1.055434e-08, 6.092458e-09, 1.510095e-08, 2.346721e-07, 4.439445e-09, 2.379885e-08, 6.219417e-08, 2.047394e-09, 1.592802e-03, 1.083641e-06, 9.062700e-06, 2.127602e-08, 1.398978e-05, 2.710737e-07, 1.963986e-07, 5.974307e-09, 1.807097e-08, 2.008230e-08, 2.345748e-09, 1.533913e-06, 2.626657e-08, 5.900117e-09, 6.156381e-05, 1.254070e-07, 1.502004e-06, 1.294667e-07, 2.870621e-06, 4.319133e-07, 3.664929e-07, 3.783954e-07, 1.928042e-02, 7.563591e+00, 2.137832e+05, 2.158372e+05
1.590000e-01, 1.405809e-01, 1.130973e+00, 1.017876e-01, 1.130973e+00, 1.718982e-01, 1.314957e-01, -3.235340e+06, 1.440564e+03, -3.279871e+05, 1.440564e+03, 4.700009e+06, 4.872583e-03, 1.791458e-01, 5.039231e-07, 1.744465e-07, 3.848418e-01, 2.964142e-08, 2.165320e-11, 1.450953e-10, 1.234236e-01, 1.120747e-01, 1.876603e-01, 1.077222e-05, 3.633398e-06, 2.014406e-06, 6.045753e-09, 1.822820e-07, 4.611239e-04, 2.546653e-07, 3.887406e-03, 6.950724e-08, 9.753639e-09, 9.522451e-04, 8.693495e-04, 2.598133e-07, 2.376085e-11, 4.477534e-06, 1.677548e-06, 3.384542e-06, 1.110983e-07, 3.503223e-06, 8.429138e-05, 2.626815e-07, 2.408309e-07, 3.113763e-07, 5.348695e-05, 1.915653e-05, 3.597392e-07, 1.173365e-08, 6.581579e-09, 1.211374e-08, 4.149785e-09, 5.049555e-08, 2.196812e-08, 3.994366e-08, 8.321357e-09, 2.675380e-08, 1.161403e-08, 8.856360e-07, 7.994798e-09, 3.060496e-08, 2.554611e-07, 8.105800e-07, 1.316078e-08, 1.181867e-09, 5.771479e-07, 1.085285e-05, 8.198196e-09, 1.231014e-05, 4.010462e-09, 8.907643e-07, 1.273737e-08, 8.092103e-09, 1.658101e-08, 6.574329e-09, 2.013011e-08, 1.620541e-08, 5.066449e-07, 4.836504e-07, 6.525034e-09, 4.607690e-09, 5.864685e-09, 6.559076e-09, 1.572393e-07, 7.442963e-09, 4.257377e-09, 1.064108e-08, 1.569496e-07, 2.959948e-09, 1.444740e-08, 4.003430e-08, 1.163909e-09, 1.523584e-03, 8.775145e-07, 8.204690e-06, 1.876571e-08, 9.498150e-06, 1.791954e-07, 1.990408e-07, 4.067578e-09, 1.230229e-08, 1.263850e-08, 1.487840e-09, 1.523701e-06, 1.303501e-08, 2.835495e-09, 4.369027e-05, 8.631398e-08, 1.032500e-06, 8.477907e-08, 3.139760e-06, 4.621901e-07, 3.816295e-07, 4.251181e-07, 1.915199e-02, 7.515282e+00, 2.083526e+05, 2.103429e+05
1.710000e-01, 2.101826e-01, 1.130973e+00, 1.017876e-01, 1.130973e+00, 1.729152e-01, 1.314957e-01, -3.033860e+06, 1.440879e+03, -3.279871e+05, 1.440879e+03, 4.700009e+06, 4.844983e-03, 1.858560e-01, 5.149015e-07, 1.664292e-07, 3.794136e-01, 2.883962e-08, 2.089472e-11, 1.390088e-10, 1.262531e-01, 1.113102e-01, 1.850214e-01, 1.046256e-05, 3.400140e-06, 1.901192e-06, 6.304037e-09, 1.831707e-07, 4.325676e-04, 2.354088e-07, 3.527194e-03, 6.221340e-08, 9.370851e-09, 9.284402e-04, 7.642797e-04, 2.319675e-07, 2.079228e-11, 3.922490e-06, 1.472734e-06, 3.019360e-06, 9.309497e-08, 3.128305e-06, 7.292249e-05, 2.244062e-07, 2.084592e-07, 2.550803e-07, 4.492377e-05, 1.609037e-05, 3.000824e-07, 9.871453e-09, 5.916620e-09, 9.991551e-09, 3.467022e-09, 4.195380e-08, 1.888846e-08, 3.297396e-08, 7.008824e-09, 2.273672e-08, 9.879323e-09, 7.305365e-07, 6.497264e-09, 3.043207e-08, 2.540180e-07, 6.681922e-07, 1.068014e-08, 9.285086e-10, 4.756074e-07, 8.659105e-06, 6.604802e-09, 9.514652e-06, 3.054408e-09, 6.662957e-07, 8.668270e-09, 5.456527e-09, 1.157943e-08, 4.592920e-09, 1.401583e-08, 1.130453e-08, 4.062004e-07, 3.883007e-07, 4.645123e-09, 3.657053e-09, 4.606221e-09, 5.140906e-09, 1.194008e-07, 5.842398e-09, 3.337610e-09, 8.352058e-09, 1.192948e-07, 2.249808e-09, 1.010242e-08, 2.855061e-08, 7.839437e-10, 1.406373e-03, 7.570893e-07, 7.291210e-06, 1.647406e-08, 7.283726e-06, 1.356310e-07, 2.002122e-07, 3.144613e-09, 9.511134e-09, 9.243216e-09, 1.088743e-09, 1.515069e-06, 8.194766e-09, 1.752988e-09, 3.293752e-05, 6.735046e-08, 7.656863e-07, 6.065502e-08, 3.224004e-06, 4.872073e-07, 3.925849e-07, 4.696604e-07, 1.904351e-02, 7.471081e+00, 2.038186e+05, 2.057526e+05
1.830000e-01, 2.793821e-01, 1.130973e+00, 1.017876e-01, 1.130973e+00, 1.739067e-01, 1.314957e-01, -2.890294e+06, 1.441777e+03, -3.279871e+05, 1.441777e+03, 4.700009e+06, 4.820362e-03, 1.914100e-01, 5.284302e-07, 1.598245e-07, 3.750255e-01, 2.851068e-08, 2.023798e-11, 1.342696e-10, 1.291715e-01, 1.102043e-01, 1.825860e-01, 1.029066e-05, 3.242347e-06, 1.835828e-06, 6.589380e-09, 1.846296e-07, 4.107378e-04, 2.226798e-07, 3.278122e-03, 5.772693e-08, 9.021989e-09, 9.062172e-04, 6.971603e-04, 2.123028e-07, 1.873005e-11, 3.547776e-06, 1.338129e-06, 2.795535e-06, 8.206209e-08, 2.857298e-06, 6.521349e-05, 1.996791e-07, 1.867046e-07, 2.203422e-07, 3.947603e-05, 1.413814e-05, 2.643497e-07, 8.715171e-09, 5.516965e-09, 8.628549e-09, 3.021347e-09, 3.645880e-08, 1.682402e-08, 2.862864e-08, 6.133509e-09, 1.997479e-08, 8.678905e-09, 6.285818e-07, 5.556493e-09, 3.027779e-08, 2.527303e-07, 5.749294e-07, 9.127489e-09, 7.719533e-10, 4.090466e-07, 7.295049e-06, 5.623466e-09, 7.867301e-06, 2.517160e-09, 5.404419e-07, 6.508346e-09, 4.078999e-09, 8.789920e-09, 3.487961e-09, 1.065190e-08, 8.590936e-09, 3.440040e-07, 3.287886e-07, 3.621609e-09, 3.078955e-09, 3.815436e-09, 4.252258e-09, 9.674962e-08, 4.832876e-09, 2.761274e-09, 6.911298e-09, 9.666317e-08, 1.826630e-09, 7.590759e-09, 2.152136e-08, 5.766354e-10, 1.278433e-03, 6.673609e-07, 6.438465e-06, 1.448290e-08, 5.915508e-06, 1.095221e-07, 2.006537e-07, 2.582026e-09, 7.810666e-09, 7.256055e-09, 8.522122e-10, 1.507365e-06, 5.791703e-09, 1.228357e-09, 2.566541e-05, 5.544680e-08, 5.918754e-07, 4.541034e-08, 3.242518e-06, 5.087590e-07, 4.009943e-07, 5.102447e-07, 1.894673e-02, 7.428487e+00, 1.998050e+05, 2.016874e+05
1.950000e-01, 3.481903e-01, 1.130973e+00, 1.017876e-01, 1.130973e+00, 1.748890e-01, 1.314957e-01, -2.790854e+06, 1.443084e+03, -3.279871e+05, 1.443084e+03, 4.700009e+06, 4.797633e-03, 1.963196e-01, 5.441859e-07, 1.541231e-07, 3.712299e-01, 2.847652e-08, 1.965176e-11, 1.303844e-10, 1.320669e-01, 1.089552e-01, 1.802705e-01, 1.020342e-05, 3.127352e-06, 1.795857e-06, 6.896009e-09, 1.862481e-07, 3.927213e-04, 2.135926e-07, 3.090254e-03, 5.475886e-08, 8.692447e-09, 8.850903e-04, 6.502876e-04, 1.971252e-07, 1.716831e-11, 3.269685e-06, 1.241041e-06, 2.644561e-06, 7.458909e-08, 2.643821e-06, 5.947307e-05, 1.820905e-07, 1.706455e-07, 1.963968e-07, 3.564005e-05, 1.276340e-05, 2.405978e-07, 7.922162e-09, 5.254917e-09, 7.657471e-09, 2.699353e-09, 3.253920e-08, 1.529458e-08, 2.560628e-08, 5.488612e-09, 1.788678e-08, 7.767445e-09, 5.544284e-07, 4.898772e-09, 3.013534e-08, 2.515412e-07, 5.073056e-07, 8.043507e-09, 6.633057e-10, 3.607336e-07, 6.346111e-06, 4.948600e-09, 6.771942e-06, 2.175478e-09, 4.601962e-07, 5.178451e-09, 3.239071e-09, 7.005710e-09, 2.781327e-09, 8.521048e-09, 6.863660e-09, 3.009464e-07, 2.873090e-07, 2.981174e-09, 2.682960e-09, 3.260167e-09, 3.629317e-09, 8.144604e-08, 4.122255e-09, 2.357285e-09, 5.898957e-09, 8.133043e-08, 1.542010e-09, 5.949245e-09, 1.676385e-08, 4.468397e-10, 1.151818e-03, 5.935011e-07, 5.665178e-06, 1.275035e-08, 4.961897e-06, 9.175966e-08, 2.006498e-07, 2.194558e-09, 6.640024e-09, 5.929204e-09, 6.926259e-10, 1.500250e-06, 4.383633e-09, 9.265322e-10, 2.038369e-05, 4.692850e-08, 4.688121e-07, 3.489829e-08, 3.231305e-06, 5.279090e-07, 4.076753e-07, 5.466301e-07, 1.885740e-02, 7.386764e+00, 1.961275e+05, 1.979614e+05
